ward,alderman,start_date,end_date
23,Silvana Tabares,2018-06-27,2025-06-24
24,Michael Chandler,1998-01-01,2007-05-20
24,Sharon Denise Dixon,2007-05-21,2011-05-15
24,Michael Chandler,2011-05-16,2015-05-17
24,Michael Scott Jr.,2015-05-18,2022-06-15
24,Monique Scott,2022-07-05,2025-06-24
25,Daniel Solis,1998-01-01,2019-05-19
25,Byron Sigcho-Lopez,2019-05-20,2025-06-24
26,Billy Ocasio,1998-01-01,2009-05-28
26,Roberto Maldonado,2009-07-29,2023-05-14
26,Jessie Fuentes,2023-05-15,2025-06-24
27,"Walter Burnett, Jr.",1998-01-01,2025-06-24
28,Ed Smith,1998-01-01,2010-12-31
28,Jason Ervin,2011-01-01,2025-06-24
29,Sam Burrell,1998-01-01,1999-05-02
29,Isaac Carothers,1999-05-03,2010-02-28
29,Deborah Graham,2010-03-01,2015-05-17
29,Chris Taliaferro,2015-05-18,2025-06-24
30,Michael Wojcik,1998-01-01,2003-05-04
30,Ariel Reboyras,2003-05-05,2023-05-14
30,Ruth Cruz,2023-05-15,2025-06-24
31,Ray Suarez,1998-01-01,2015-05-17
31,Milagros Santiago,2015-05-18,2019-05-19
31,Felix Cardona Jr.,2019-05-20,2025-06-24
32,Terry Gabinski,1998-01-01,1998-05-20
32,Theodore Matlak,1998-05-21,2007-05-20
32,Scott Waguespack,2007-05-21,2025-06-24
33,Dick Mell,1998-01-01,2013-07-23
33,Deb Mell,2013-07-24,2019-05-19
33,Rossana Rodriguez-Sanchez,2019-05-20,2025-06-24
34,Carrie Austin,1998-01-01,2023-05-14
34,Bill Conway,2023-05-15,2025-06-24
35,Vilma Colom,1998-01-01,2003-05-04
35,Rey Colon,2003-05-05,2015-05-17
35,Carlos Ramirez-Rosa,2015-05-18,2025-06-24
36,William Banks,1998-01-01,2009-10-31
36,John Rice,2009-11-01,2011-05-15
36,Nicholas Sposato,2011-05-16,2015-05-17
36,Gilbert Villegas,2015-05-18,2025-06-24
37,Percy Z. Giles,1998-01-01,2000-01-06
37,Emma Mitts,2000-01-07,2025-06-24
38,Thomas Allen,1998-01-01,2011-05-15
38,Timothy Cullerton,2011-05-16,2015-05-17
38,Nicholas Sposato,2015-05-18,2025-06-24
39,Margaret Laurino,1998-01-01,2019-05-19
39,Samantha Nugent,2019-05-20,2025-06-24
40,Patrick O'Connor,1998-01-01,2019-05-19
40,Andre Vasquez,2019-05-20,2025-06-24
41,Brian Doherty,1998-01-01,2011-05-15
41,Mary O'Connor,2011-05-16,2015-05-17
41,Anthony Napolitano,2015-05-18,2025-06-24
42,Burton Natarus,1998-01-01,2007-05-20
42,Brendan Reilly,2007-05-21,2025-06-24
43,Charles Bernardini,1998-01-01,1999-05-02
43,Vi Daley,1999-05-03,2011-05-15
43,Michele Smith,2011-05-16,2022-08-12
43,Timmy Knudsen,2022-09-21,2025-06-24
44,Bernie Hansen,1998-01-01,2003-01-15
44,Tom Tunney,2003-01-16,2023-05-14
44,Bennett Lawson,2023-05-15,2025-06-24
45,Patrick Levar,1998-01-01,2011-05-15
45,John Arena,2011-05-16,2019-05-19
45,Jim Gardiner,2019-05-20,2025-06-24
46,Helen Shiller,1998-01-01,2011-05-15
46,James Cappleman,2011-05-16,2023-05-14
46,Angela Clay,2023-05-15,2025-06-24
47,Eugene Schulter,1998-01-01,2011-05-15
47,Ameya Pawar,2011-05-16,2019-05-19
47,Matt Martin,2019-05-20,2025-06-24
48,Mary Ann Smith,1998-01-01,2011-05-15
48,Harry Osterman,2011-05-16,2023-05-14
48,Leni Manaa-Hoppenworth,2023-05-15,2025-06-24
49,Joe Moore,1998-01-01,2019-05-19
49,Maria Hadden,2019-05-20,2025-06-24
50,Bernard Stone,1998-01-01,2011-05-15
50,Debra Silverstein,2011-05-16,2025-06-24
