project_id,action,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status,decision_source
commercial_17103180710000,retain_override,2009,474,449445,341770,FALSE,FALSE,commercial_2024_rows:45753,commercial_2024_apartment_unit_sum_rows:45753,commercial_2024_rows:45753,commercial_2024_rows:45753,,https://studiogang.com/projects/aqua-tower/,high,Rental apartments describe only part of Aqua while the tower also contains condominiums and a hotel. Retain source fields for traceability but exclude density without coherent building and site measurements.,Do not allocate common land or substitute whole-tower floor area for the partial rental record.,codex_source_review,2026-09-08,reviewed_evidence,field_ledger
commercial_17104000510000,retain_override,2021,503,507390,65700,TRUE,TRUE,developer_initial_occupancy,developer_building_statistics,developer_building_statistics,developer_site_size,magellan_cascade/permit_100799477,https://www.magellandevelopment.com/projects/cascade/,high,User approved the developer-reported figures for Cascade as a separate building from Cirrus; first occupancy is 2021 Q3.,,jacob_confirmed,2026-09-08,reviewed_evidence,field_ledger
commercial_17084220290000,retain_corrected_measurements,2007,2,4375,2516,TRUE,TRUE,residential_assessor_2025,residential_assessor_2025_apartments_excluding_commercial_unit,residential_assessor_2025,residential_assessor_2025,assessor_row_1708422029000022025,https://webapps1.chicago.gov/buildingrecords/home,high,The completed residential assessment distinguishes two apartments from one commercial unit on the exact parcel. Retain its coherent floor and land measurements and 2007 construction proxy; City new-construction inspections passed in early 2008. Suppress the older residential duplicate and the commercial-only one-unit measurement.,2007 is the Assessor completion proxy; the final recorded inspection occurred in 2008.,codex_audit,2026-09-09,reviewed_evidence,field_ledger
commercial_17084220340000,retain_corrected_measurements,2007,2,4750,2517,TRUE,TRUE,residential_assessor_2025,residential_assessor_2025_apartments_excluding_commercial_unit,residential_assessor_2025,residential_assessor_2025,assessor_row_1708422034000022025,https://webapps1.chicago.gov/buildingrecords/home,high,The completed residential assessment distinguishes two apartments from one commercial unit on the exact parcel. Retain its coherent floor and land measurements and 2007 construction proxy; City new-construction inspections passed in early 2008. Suppress the older residential duplicate and the commercial-only one-unit measurement.,2007 is the Assessor completion proxy; the final recorded inspection occurred in 2008.,codex_audit,2026-09-09,reviewed_evidence,field_ledger
commercial_11321040200000,retain_corrected_measurements,2007,18,24906,17200,TRUE,TRUE,city_passed_new_construction_inspections_2007_06_06,original_new_building_permits_100010473_100010476,commercial_2024_rows:44799,commercial_2024_rows:44799,permits_100010473_100010476/inspections_1481062_1481065/commercial_2024_row_44799,https://webapps1.chicago.gov/buildingrecords/,high,The two original new-building permits authorize nine apartments each; both passed construction inspections on June 6 2007. Retain the reported commercial whole-pair building and land measurements and retire the partial six-home residential copy.,Completion year uses passed construction inspections as a proxy.,codex_audit,2026-09-09,reviewed_evidence,field_ledger
commercial_20153010080000,retain_density_withheld,2009,24,23958,15989,FALSE,FALSE,commercial_2024_rows:15930,stable_commercial_2021_2024_reports,commercial_2024_rows:15930,commercial_2021_field_fallback_rows:25271,permits_100163994_100185626_100185763/user_approval_2026_09_09,https://www.stedmundsrc.org/properties,approved_treatment,User approved exclusion from both density measures. Preserve reported fields as unverified source values: the four commercial counts total 77 versus the developer 53 and parcel-specific permit counts do not reconcile.,Counts and area coverage remain unresolved; do not use for density.,Codex,2026-09-09,reviewed_evidence,field_ledger
commercial_20153020050000,retain_density_withheld,2009,10,12408,11340,FALSE,FALSE,commercial_2024_rows:15933,stable_commercial_2021_2024_reports,commercial_2024_rows:15933,commercial_2021_field_fallback_rows:25300,permits_100163994_100185626_100185763/user_approval_2026_09_09,https://www.stedmundsrc.org/properties,approved_treatment,User approved exclusion from both density measures. Preserve reported fields as unverified source values: the four commercial counts total 77 versus the developer 53 and parcel-specific permit counts do not reconcile.,Counts and area coverage remain unresolved; do not use for density.,Codex,2026-09-09,reviewed_evidence,field_ledger
commercial_20153020060000,retain_density_withheld,2009,24,24303,20095,FALSE,FALSE,commercial_2024_rows:15934,commercial_2024_apartment_unit_sum_rows:15934,commercial_2024_rows:15934,commercial_2021_field_fallback_rows:25274,permits_100163994_100185626_100185763/user_approval_2026_09_09,https://www.stedmundsrc.org/properties,approved_treatment,User approved exclusion from both density measures. Preserve reported fields as unverified source values: the four commercial counts total 77 versus the developer 53 and parcel-specific permit counts do not reconcile.,Counts and area coverage remain unresolved; do not use for density.,Codex,2026-09-09,reviewed_evidence,field_ledger
commercial_11323200060000,retain_unit_override,2021,11,28487,11284,TRUE,TRUE,commercial_2024,permit_100802483,commercial_2024,commercial_2024,permit_100802483,,high,The completed permit and bedroom breakdown identify eleven apartments; the generic total includes one non-apartment unit,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_13134040530000,retain_unit_override,2020,9,15477,8100,TRUE,TRUE,commercial_2021,permit_100855141,commercial_2021,commercial_2021,permit_100855141,,high,The completed permit identifies nine dwelling units and confirms that the source row is residential new construction,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_13184090850000,retain_source_units,2007,133,128542,163748,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,commercial_two_vintage_history/city_buildings,,high,The source reports 133 senior apartments rather than beds and the physical fields are stable across vintages,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_13184090870000,retain_source_units,2010,36,64992,25272,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,commercial_two_vintage_history/CHA_Autumn_Green,https://affordablehousinghub.org/housing/illinois/cook-county/chicago/the-senior-suites-of-autumn-green-at-wright-7975-lihtc,high,The source and housing record identify 36 senior apartments rather than beds,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_13273040010000,retain_source_units,2008,85,73562,35661,TRUE,TRUE,commercial_2024,permit_100254118,commercial_2024,commercial_2024,permit_100254118,,high,The completed permit and assessor source agree on 85 senior apartments,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_13363050010000,retain_source_units,2017,33,64760,18010,TRUE,TRUE,commercial_2024,stable_commercial_2021_2024,commercial_2024,commercial_2024,permit_100628089/commercial_two_vintage_history,,medium,The 33-unit permit expired but both later assessor vintages consistently report 33 completed apartments,The permit confirms the proposed count but not completion by itself,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_13363280310000,retain_unit_override,2021,40,62620,17830,TRUE,TRUE,commercial_2024,permit_100703318,commercial_2024,commercial_2024,permit_100703318,,high,The completed permit identifies 40 dwelling units and confirms the source total,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_13364030160000,retain_unit_override,2014,78,109424,44890,TRUE,TRUE,commercial_2024,permit_100618944,commercial_2024,commercial_2024,permit_100618944,,high,The completed permit and apartment breakdown identify 78 dwellings; the generic total includes three non-apartment units,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_14283120910000,retain_source_units,2018,149,196084,28269,TRUE,TRUE,commercial_2021,developer_149_apartments,commercial_2021,commercial_2021,Belmont_Village_Lincoln_Park,https://www.belmontvillage.com/news_events/senior-living-community-tops-out-in-chicagos-lincoln-park-neighborhood/,high,The project source identifies 149 assisted-living and memory-care apartments rather than beds,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_14303140460000,retain_unit_override,2021,34,46400,13944,TRUE,TRUE,commercial_2024,commercial_total_supported_by_permit_100647438,commercial_2024,commercial_2024,permit_100647438/commercial_2024,,high,The source bedroom fields omit four apartments while the generic total and address-specific 34-dwelling permit agree,The permit expired but is corroborated by the later assessor total,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_14312120200000,retain_source_units,2021,298,311556,142556,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,Triangle_Square_completion_and_permits,,high,The source reports 298 completed apartments and the project is conventional multifamily construction,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_16122180170000,retain_unit_override,2021,10,24600,10846,TRUE,TRUE,commercial_2024,permit_100820523,commercial_2024,commercial_2024,permit_100820523,,high,The completed permit and apartment breakdown identify ten dwellings; the generic total includes three non-apartment units,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_17053280180000,retain_unit_override,2019,8,22588,5904,TRUE,TRUE,commercial_2024,permit_100690847,commercial_2024,commercial_2024,permit_100690847,,high,The completed permit and apartment breakdown identify eight dwellings; the generic total includes one non-apartment unit,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_17061000020000,retain_source_units,2021,6,13488,6150,TRUE,TRUE,commercial_2024,stable_commercial_2021_2024,commercial_2024,commercial_2024,permit_100849074/commercial_two_vintage_history,,medium,The six-unit permit expired but both later assessor vintages consistently report six completed apartments,The permit confirms the proposed count but not completion by itself,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_17062350680000,retain_unit_override,2018,146,143054,NA,TRUE,TRUE,project_completion_year,final_project_and_permit_count,commercial_2024,construction_year_parcel_union,permit_100695536/Wicker_Park_Connection,https://www.taylorjohnson.com/first-residents-move-into-hubbard-street-groups-wicker-park-connection-ii/,high,The completed project contains 146 apartments; construction-year parcel polygons provide the full site area,The 2024 assessor generic total is 154 and is not used as the dwelling count,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_17161000490000,retain_unit_override,2018,492,679914,42324,TRUE,TRUE,project_completion_year,permit_100685260_and_project_records,commercial_2024,commercial_2024,permit_100685260/727_West_Madison,https://www.fifieldco.com/projects/727-west-madison/,high,The completed permit and project records identify 492 apartments and completion in 2018,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_17164040190000,exclude_not_new_construction,,,,,FALSE,FALSE,historic_building_record,,,,Dwight_Lofts_history,https://students.colum.edu/residence-life/Housing_Options/dwight,high,The 1911 industrial building was renovated into student housing and is not ground-up construction,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_17172290130000,retain_source_units,2021,198,175808,9520,TRUE,TRUE,commercial_2024,commercial_2024_apartment_breakdown,commercial_2024,commercial_2024,permit_100836738/commercial_2024,,high,The completed new-construction permit and latest assessor report identify a 198-unit high-rise,The older address is attached to a preexisting footprint in the City layer,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_17201010100000,retain_source_units,2007,68,70403,32886,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,city_building_year_support,,high,The source reports 68 senior apartments and the City building year supports study-period construction,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_19092030020000,retain_source_units,2017,95,85704,26090,TRUE,TRUE,commercial_2024,permit_100616594,commercial_2024,commercial_2024,permit_100616594,,high,The completed permit and assessor source identify 95 senior apartments,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_19223000110000,retain_source_units,2009,126,122278,76245,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,commercial_two_vintage_history,,medium,Two assessor vintages consistently identify 126 senior apartments and stable physical fields,No issued new-construction permit was recovered from the post-2006 permit extract,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_20031190090000,retain_source_units,2007,3,4567,8601,TRUE,TRUE,commercial_2021,commercial_apartment_breakdown,commercial_2021,commercial_2021,commercial_2021_class9_record,,medium,The Class 9 row contains an explicit three-apartment breakdown and coherent building and parcel fields,No independent permit or public project record was recovered; the project lies outside 1500 feet,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_20262050130000,retain_source_units,2014,130,89781,45166,TRUE,TRUE,commercial_2024,latest_assessor_apartment_count,commercial_2024,commercial_2024,permit_100623052/commercial_2024,,high,The completed permit establishes supportive-living construction and the later assessor reports 130 completed apartments rather than the 140 authorized units,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_20262280420000,retain_source_units,2006,136,67885,27216,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,Jackson_Park_supportive_living,https://hfs.illinois.gov/content/dam/soi/en/web/hfs/sitecollectiondocuments/HealthChoiceIllinoisADTParticipantStatus06282023.pdf,medium,The source reports 136 supportive-living apartments rather than beds and the facility was operating in the study period,The City footprint reports 2005 while the assessor reports 2006,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
commercial_20294260320000,retain_source_units,2007,85,75077,28269,TRUE,TRUE,commercial_2024,permit_100137674,commercial_2024,commercial_2024,permit_100137674,,high,The completed permit and assessor source identify 85 senior apartments,,codex_audit,2026-07-21,reviewed_evidence,semantic_ledger
