source_project_id,final_project_id,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,application_scope,decision_source,decision_reason,evidence_ids,evidence_urls
residential_tieback_14293010030000,residential_tieback_14293010030000,2017,6,7516,6264,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,"User approved 2017 completion proxy for 1517 W Diversey, a separate six-flat on two reported 3132-square-foot parcels. Count repeated building area once. Adjacent1513 remains separate.",permits_100580959_100580966/assessment_2022/https://www.loopnet.com/Listing/1513-1517-W-Diversey-Pky-Chicago-IL/20030790/,NA
residential_tieback_14314280030000,residential_tieback_14314280030000,2014,1,,5040,FALSE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,"User approved one double-lot Wabansia house, Assessor2014 and reported land2520+2520. Floor-area-ratio remains unavailable because competing4046/4258 building areas cannot be reconciled; homes-per-acre retained.",permit_100505358/assessment_2022/MLS_09873883,NA
residential_tieback_13224160040000,residential_tieback_13224160040000,2013,12,16710,19824,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,Approved two six-flats with 16710 building square feet and 19824 source-reported land square feet. Include the separate 875-square-foot vacant parcel explicitly named on the 3438 construction permit. Keep the existing Assessor 2013 year proxy; rental listings suggest 2014 but no year override was approved.,permits_100490838_100490842/assessor_2022/https://www.cookcountyassessoril.gov/pin/13224160240000,NA
residential_tieback_17062290030000,residential_tieback_17062290030000,2007,4,,4512,FALSE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,One four-apartment property at 1261-63 Honore uses the two linked Assessor lots once. The 2012 building sale reports four homes and 4560 land square feet; use 4512 Assessor land and approved 2007 completion proxy. Repeated six-unit tax cards do not establish a second building. Whole-building floor area remains unresolved; homes-per-acre only.,permit_100125052/https://www.redfin.com/IL/Chicago/1261-N-Honore-St-60622/home/183736532/https://interrarealty.com/listing/1261-63-n-honore/,NA
residential_17351040310000,residential_17351040310000,2022,1,,1117,FALSE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,One of ten separately assessed townhomes matching the ten-home permit. Exact PIN reports three-story townhouse and1117sqft lot but zero floor area throughout2022-2026. Retain homes-per-acre only; listings use old or other parcel numbers and cannot supply this home floor area.,permit100725616/assessor_PINS1735104027_4031_and4033_4037,NA
residential_tieback_17341050010000,residential_condo_1734105056,2022,8,,6023,FALSE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,3109 Giles completed eight-home building; 3105 completed Assessor2023 remains outside sample; floor area unavailable,User approval2026-09-09; release_review.md firmer recommendations and linked sources,NA
residential_tieback_20024000560000,residential_tieback_20024000560000,2021,4,6701,4900,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,4400 Oakenwald four apartments confirmed by permit100902285 and completed Assessor; exclude neighboring1881 renovation,User approval2026-09-09; release_review.md firmer recommendations and linked sources,NA
residential_tieback_20024040410000,residential_tieback_20024040410000,2010,1,3595,3519,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,4450 Oakenwald surviving house; vacant4442 obsolete card does not establish second house,User approval2026-09-09; release_review.md firmer recommendations and linked sources,NA
residential_tieback_20032000220000,residential_tieback_20032000220000,2022,3,5463,5199,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,418 Oakwood permit100946233 specifies three apartments; repeated building floor counted once; sum two reported parcel land areas,User approval2026-09-09; release_review.md firmer recommendations and linked sources,NA
residential_tieback_20034020040000,residential_tieback_20034020040000,2020,3,5283,4155,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,4317 Forrestville permit100835452 and listing identify three apartments; September2020 passed inspections; repeated floor counted once and two reported lots summed,User approval2026-09-09; release_review.md firmer recommendations and linked sources,NA
residential_tieback_14171150250000,residential_condo_1417115041,2022,9,20875,8095,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Two tied predecessor PINs became one nine-unit condominium building; the successor cohort repeats the same total building area and the modal site area is 8095 square feet.,condo_base_1417115041/permit_100850654,NA
residential_tieback_14171150260000,residential_condo_1417115041,2022,9,20875,8095,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Two tied predecessor PINs became one nine-unit condominium building; the successor cohort repeats the same total building area and the modal site area is 8095 square feet.,condo_base_1417115041/permit_100850654,NA
residential_297_group_16014080410000,residential_16014080410000,2022,2,,3125,FALSE,TRUE,unresolved_building,residential_class297_exceptions.csv,The new-construction permit expired but the later class-297 assessor record reports the completed two-unit building; building square footage remains unavailable.,permit_100911590/assessor_pin_16014080410000,NA
residential_tieback_16014300040000,residential_condo_1601430013,2022,17,,16929,FALSE,TRUE,unresolved_building,residential_class297_exceptions.csv,The tied predecessor lineages form one completed seventeen-unit project; the successor cohort contains seventeen residential and ten parking PINs and reports a modal site area of 16929 square feet.,condo_base_1601430013/permit_100850870,NA
residential_tieback_16014300050000,residential_condo_1601430013,2022,17,,16929,FALSE,TRUE,unresolved_building,residential_class297_exceptions.csv,The tied predecessor lineages form one completed seventeen-unit project; the successor cohort contains seventeen residential and ten parking PINs and reports a modal site area of 16929 square feet.,condo_base_1601430013/permit_100850870,NA
residential_297_group_14202150290000,residential_condo_1420215058,2021,3,4940,3125,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,A 2020 demolition followed by a new 2021 class-297 assessor card and a three-unit successor condominium cohort identifies ground-up construction.,demolition_3742_n_clifton/condo_base_1420215058,NA
residential_297_group_17104000490000,residential_adjudicated_harbor_2021,2022,350,652094,49926,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,User approved the developer-reported figures for Cirrus as a separate building from Cascade; first occupancy is 2022 Q1. The historical project identifier is retained.,permits_100821394_100918242/condo_base_1710400050/https://www.magellandevelopment.com/projects/cirrus/,NA
residential_297_group_17104000540000,residential_adjudicated_harbor_2021,2022,350,652094,49926,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,User approved the developer-reported figures for Cirrus as a separate building from Cascade; first occupancy is 2022 Q1. The historical project identifier is retained.,permits_100821394_100918242/condo_base_1710400050/https://www.magellandevelopment.com/projects/cirrus/,NA
residential_297_group_17172140050000,residential_condo_1717214023,2021,17,56295,16695,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Peoria Green is one completed development with two wings: twelve homes at 128 S Green and five at 123 S Peoria. Completed revision permit 100876378 reduces twenty homes to seventeen; August 2021 completion reporting confirms seventeen. The complete 2022 Assessor base contains seventeen records repeating whole-building floor area 56295 and site area 16695. Four parking flags undercount homes; one flagged record reports five bedrooms and 3859 square feet. Retain source-reported whole-project areas once. Approved September 9 2026.,permit_100876378/permit_100852180/condo_base_1717214023/assessment_2022/https://chicagoyimby.com/2021/08/a-final-look-at-the-completed-peoria-green-in-west-loop.html,NA
residential_297_group_14293100350000,residential_condo_1429310057,2021,3,5168,3112,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,User approved modal reported land: two completed records report 3112 and one 3100; all agree on year and building area.,condo_base_1429310057/permit_100881803,NA
residential_tieback_13233220250000,residential_condo_1323322047,2019,6,10764,6270,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Completed six-home permit and six consistent finished Assessor records establish one building.,condo_base_1323322047/permit_100703185,NA
residential_297_group_16014270370000,residential_condo_1601427051,2022,6,14400,6137,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Retain the completed 2022 six-home building; neighboring successor buildings report 2023 and are outside the study period.,condo_base_1601427051/permit_100884053,NA
residential_297_group_17053010310000,residential_condo_1705301070,2021,3,6300,2967,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Retain the separate three-home building at 1522 W Thomas using its finished Assessor measurements.,condo_base_1705301070/permit_100887419,NA
residential_297_group_17053010310000,residential_condo_1705301071,2021,3,8253,2966,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Retain the separate three-home building at 1518 W Thomas using its finished Assessor measurements.,condo_base_1705301071/permit_100882997,NA
residential_297_group_14204110080000,residential_condo_1420411074,2021,3,4497,3116,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,User approved 2021 completion supported by all three 2021 apartment sales and repeated Assessor land of 3116 rather than isolated 3069.,condo_base_1420411074/permit_100884488/MLS_11074548/MLS_11217326/MLS_11074561,NA
residential_tieback_14202280110000,residential_reviewed_14202280110000,2008,3,7308,3000,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,3619 N Sheffield: three apartments plus one commercial club agree with four total Assessor units. Retain own-parcel Assessor building and land areas; operator dates completion to 2008. User approved September 9 2026.,permit_100097576/assessment_2022/https://www.wrigleyrooftopsllc.com/rooftop/3619%20N%20Sheffield,NA
residential_tieback_14202280110000,residential_reviewed_14202280120000,2008,3,7308,4968,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,3617 N Sheffield: three apartments plus one commercial club agree with four total Assessor units. Retain own-parcel Assessor building and land areas; operator dates completion to 2008. User approved September 9 2026.,permit_100093835/assessment_2022/https://www.wrigleyrooftopsllc.com/rooftop/3619%20N%20Sheffield,NA
residential_tieback_14293000710000,residential_tieback_14293000710000,2020,18,45543,16901,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Arden: retain one eighteen-home project containing three permitted buildings on the two reported Assessor parcels. Sum the three primary building cards once; the secondary parcel repeats a building interest. Broker confirms exact two parcels and 2020 completion. User approved September 9 2026.,permit_100797327/permit_100797329/permit_100797331/assessment_2022/https://www.showcase.com/2725-2741-n-ashland-ave-chicago-il-60614/41075318/,NA
residential_tieback_16013170270000,residential_condo_1601317037,2018,6,14315,9369,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,User approved one six-home Walton Row project in 2018 using the complete condo cohort reporting whole-site measurements. Do not allocate the common land among six townhomes or count duplicated former parcel cards.,condo_base_1601317037/assessment_2022/permit_100563416/MLS_09683228,NA
residential_tieback_14322240250000,residential_condo_1432224071,2012,3,6015,3113,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,2034 N Sheffield is a separate three-home building. User approved 2012 completion supported by 2011 corrected permits and first sales in 2012; use its three consistent completed Assessor records and individual reported lot.,condo_base_1432224071/assessment_2022/permits_100309781_100309785_100391194_100391206/MLS_08001257_08035308,NA
residential_tieback_14322240250000,residential_condo_1432224070,2012,3,5810,3107,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,2036 N Sheffield is a separate three-home building. User approved 2012 completion supported by 2011 corrected permits and first sales in 2012; use its three consistent completed Assessor records and individual reported lot.,condo_base_1432224070/assessment_2022/permits_100309781_100309785_100391194_100391206/MLS_08001257_08035308,NA
residential_297_group_17082530370000,residential_condo_1708253039,2017,4,22532,5483,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Four original apartments completed by February 2017 sales; exclude the fifth dwelling created by commercial conversion. Use broker-reported whole-building floor area including commercial space and the repeated completed-Assessor site area.,permits_100634081_100703046/condo_base_1708253039/https://www.loopnet.com/Listing/440-N-Halsted-St-Chicago-IL/7337218/,NA
residential_tieback_17073250521001,residential_condo_1707325052,2007,2,2586,2827,TRUE,TRUE,unresolved_building,residential_class297_exceptions.csv,Original two-home Warren building uses repeated whole-building and land fields in the 2022 condo snapshot. The 2025 conversion to one house does not change original construction.,permits_100104697_101064853/condo_2022_17073250521001_17073250521002,NA
residential_tieback_14313080420000,residential_tieback_14313080420000,2017,5,6952,3504,TRUE,TRUE,selected_building,residential_reviewed_building_measurements.csv,Five-apartment new building permitted in 2016 and listed as completed in 2017. Use the primary new-building Assessor area once; companion parcel reports 6852 square feet and an obsolete 1892 year. Sum the two source-reported 1752-square-foot lots.,permit_100618984/primary_pin_14313080420000/companion_pin_14313080430000,https://www.atproperties.com/10725859/1851-n-winnebago-avenue-chicago-illinois-60647-nei
residential_tieback_14292270330000,residential_condo_1429227059,2007,6,13616,6307,TRUE,TRUE,selected_building,residential_reviewed_building_measurements.csv,Completed 1130 Diversey condo assessment identifies six homes; commercial and parking records are not apartments. Keep the neighboring 1136 building separate.,condo_base_1429227059/completed_assessor,https://fairviewstation.com/builders-past-projects/
residential_14292270580000,residential_14292270580000,2008,3,7744,3155,TRUE,TRUE,selected_building,residential_reviewed_building_measurements.csv,Builder identifies three apartments and one commercial space at 1136 Diversey. Correct the residential count from four to three; retain this building's Assessor year and areas.,pin_14292270580000/builder_Fairview_projects,https://fairviewstation.com/builders-past-projects/
residential_tieback_17083340230000,residential_condo_1708334056,2010,4,9830,3721,TRUE,TRUE,selected_building,residential_reviewed_building_measurements.csv,Completed condo assessment measures the separate four-flat at 15 Bishop; listing evidence supports the user-approved 2010 completion proxy. Keep 17 and 19 separately measured.,condo_base_1708334056/permit_100124927/user_approval_2026_09_09,https://www.compass.com/building/15-n-bishop-st-chicago-il-60607/593363358472546477/
residential_17083340520000,residential_condo_1708334056,2010,4,9830,3721,TRUE,TRUE,selected_building,residential_reviewed_building_measurements.csv,"Historical address records identify parcel 1708334052 as 15 N Bishop, not 19. Its point coincides with completed condo 1708334056; retire the predecessor and keep one four-home building at 15.",historical_address_1708334052/condo_base_1708334056,https://www.compass.com/building/15-n-bishop-st-chicago-il-60607/593363358472546477/
residential_19102040040000,residential_19102040040000,,1,,,,,selected_fields,project_manual_reviews.csv,The permit identifies a new mixed-use building with one dwelling above a ground-floor restaurant. The Assessor's two-unit count mixes residential and commercial units.,100094913,
residential_20034010280000,residential_20034010280000,,3,,,,,selected_fields,project_manual_reviews.csv,"The whole-building MLS record identifies three units completed in 2007, correcting the Assessor's four-unit count and 2006 year.",project_manual_reviews.csv:residential_20034010280000,https://www.compass.com/building/4318-s-forrestville-ave-chicago-il-60653/592876679982812709/
