project_id,component_id,disposition,successor_rule,confidence,evidence
residential_multicard_19111230100000,episode_081,retain_card_inventory,suppress_matched_successors,high,Four construction-year townhouse cards match four later 50th and 51st Street rows.
residential_multicard_19111230110000,episode_081,retain_card_inventory,suppress_matched_successors,high,Four construction-year townhouse cards represent four distinct addresses. Three match later rows; the unmatched fourth is supported by the 3607 W 50th Place permit address in the same development.
residential_multicard_20102110280000,episode_095,retain_card_inventory,suppress_matched_successors,high,Two construction-year cards contain two units; two later Champlain rows reproduce those cards and one unmatched row remains separate.
residential_multicard_25194030010000,episode_104,retain_card_inventory,suppress_matched_successors,high,Six construction-year cards contain six units; six later Vincennes rows reproduce those cards and one unmatched row remains separate.
residential_multicard_25194030020000,episode_105,retain_card_inventory,suppress_matched_successors,high,Five construction-year cards contain five units; four later Vincennes rows reproduce individual cards and the unmatched fifth card remains in the parent inventory.
residential_multicard_13243050060000,episode_014,retain_card_inventory,suppress_matched_successors,high,Ten construction-year cards contain ten units; ten later rows reproduce those cards and ten unmatched nearby rows remain separate.
residential_multicard_13243050100000,episode_013,retain_card_inventory,suppress_matched_successors,high,Four construction-year cards contain four units; four later rows reproduce those cards and two unmatched nearby rows remain separate.
residential_multicard_13353010370000,episode_022,retain_card_inventory,suppress_matched_successors,high,Three construction-year cards contain three units; three later rows reproduce those cards and three unmatched nearby rows remain separate.
residential_multicard_13362160310000,episode_031,retain_card_inventory,suppress_matched_successors,high,Three construction-year cards contain three units. Two later rows reproduce individual cards; the unmatched third card remains in the parent inventory.
residential_multicard_14074070260000,episode_107,retain_manual_override,none,high,"This parcel is one of five separately permitted Ravenswood houses. Its two identical cards describe one house, as recorded in the manual value override."
residential_multicard_14074070270000,episode_107,retain_manual_override,none,high,"This parcel is one of five separately permitted Ravenswood houses. Its two identical cards describe one house, as recorded in the manual value override."
residential_multicard_16133080040000,episode_042,retain_card_inventory,suppress_matched_successors,high,Two construction-year cards contain two units. One later row reproduces one card; the second card remains represented by the parent inventory.
residential_multicard_16134250010000,episode_044,retain_card_inventory,suppress_matched_successors,high,Seventeen construction-year cards contain seventeen units. Five later Grenshaw rows reproduce individual cards; the remaining cards stay in the parent inventory.
residential_multicard_16362010090000,episode_049,retain_card_inventory,suppress_matched_successors,high,Forty-three construction-year cards contain forty-three units; forty-two later rows reproduce individual cards and the unmatched card remains in the parent inventory.
residential_multicard_16362010900000,episode_050,retain_card_inventory,suppress_matched_successors,high,Nine construction-year cards contain nine units and match nine later rows. Other nearby rows remain separate projects.
residential_multicard_16364050590000,episode_051,retain_card_inventory,suppress_matched_successors,high,Eighteen construction-year cards contain eighteen units and match eighteen later rows. Other nearby rows remain separate projects.
residential_multicard_16364130200000,episode_052,retain_card_inventory,suppress_matched_successors,high,Eight construction-year cards contain eight units and match eight later rows. Other nearby rows remain separate projects.
residential_multicard_17271290200000,episode_066,retain_card_inventory,suppress_matched_successors,high,Six distinct construction-year cards describe the Finsbury portion of the development. One later row reproduces one card; the remaining cards stay in the parent inventory.
residential_multicard_17294020010000,episode_070,retain_card_inventory,suppress_matched_successors,high,Seven construction-year cards contain seven units; seven later rows reproduce those cards and four unmatched nearby rows remain separate.
residential_multicard_17313100010000,episode_074,retain_card_inventory,suppress_matched_successors,high,Eight construction-year cards contain eight units; eight later rows reproduce those cards and six unmatched nearby rows remain separate.
residential_multicard_17344230090000,episode_077,retain_card_inventory,suppress_matched_successors,high,Five construction-year cards contain five units and transition to five matched successor rows.
residential_multicard_20023000260000,episode_084,retain_manual_override,suppress_matched_successors,high,"The permits authorize nine Drexel townhouses, so the manual override removes one duplicate card. Eight later rows reproduce individual townhouse records."
residential_multicard_20023050320000,episode_086,retain_card_inventory,suppress_matched_successors,high,Twelve construction-year cards correspond to the three four-townhouse permits and match the twelve later Drexel townhouse rows.
residential_multicard_20143160010000,episode_096,retain_card_inventory,suppress_matched_successors,high,Nine construction-year cards contain nine units. Three later Ellis rows reproduce individual cards; the remaining cards stay in the parent inventory.
residential_multicard_20331040040000,episode_101,retain_card_inventory,suppress_matched_successors,high,Four construction-year cards contain eight units. One later two-unit row reproduces one card; the other cards remain represented by the parent inventory.
