permit_number,case,proposal,assigned,confidence,verdict,evidence,note,spot_checked,reviewer
100173011,lot,unresolved,,low,unresolved,"The only candidate, 6720 S Dorchester, is a different number, has 1 unit rather than 2, was built in 2006 before this 2007-08 permit, and also fits 100173008 and 100173010.",,False,subagent first pass
100176476,lot,unresolved,assessor_residential_13221020730000,low,assign,"Same house number (4508 W Dakin permit, 4508 W Larchmont parcel), paired with the sibling 4512 Dakin permit matching 4512 Larchmont; street names differ.",held: low-confidence assign,True,subagent first pass
100179579,lot,assign,assessor_residential_25044090070000,high,assign,"Same house number: permit 9333 S La Salle, parcel 9333 S Lasalle.",,False,subagent first pass
100201258,lot,unresolved,,low,unresolved,Identical 2007 houses at 3428 and 3424 W Cortland sit on either side of 3426; nothing identifies which lot.,,False,subagent first pass
100202140,lot,none,,low,none,"Candidate 3618 W 51st was re-addressed from 3620 (100227274), so it belongs to that lot; 3605 W 50th is on a different street across the alley, not a corner.",,False,subagent first pass
100205731,lot,none,,medium,none,"This is a detached-garage single-family house on Lot 85 at 1925 N Lotus; the candidates are seven identical 918 sq ft-lot townhouses on W Hanson, which do not fit that design.",,False,subagent first pass
100214011,lot,none,,medium,none,"A 2023 porch repair on a three-story building at 3916 S Indiana shows the building on its own lot; candidates 3900 and 3904 S Indiana are separate addresses about 100 ft away, built 2006, before this Dec 2007 permit.",,False,subagent first pass
100214019,lot,unresolved,,low,unresolved,"Candidates 3900 and 3904 S Indiana are about 93 ft from 3920, both also fit 100214011, and were built 2006, before this Dec 2007 permit; nothing ties either one to 3920.",,False,subagent first pass
100214022,lot,none,,medium,none,2020 fire repairs to unit 2N of a '3 story 6 units apt building' at 4220 S Wabash show the permitted building on its own lot; the candidates are addressed 4238 S Wabash.,,False,subagent first pass
100214310,lot,unresolved,,low,unresolved,Three 2010 buildings all addressed 4238 S Wabash are shared among four Dec 2007 permits (100214014/22/23/310); nothing ties either 6-unit one to 4216.,,False,subagent first pass
100225120,lot,unresolved,,low,unresolved,"3623 and 3625 W 50th were re-addressed from 3619 and 3621 W 50th Place, so they belong to other permits; 3605 W 50th could be a corner, but it is unclear whether it is the same corner as 5043 S Central Park, and it fits four permits.",,False,subagent first pass
100298401,lot,none,,high,none,"This 26-unit 3519 N Ashland permit was cancelled; the only candidate, the 22-unit 1550 W Cornelia condo built 2008, belongs to 100137652 (22 units, 3505 N Ashland, 2006).",,False,subagent first pass
100484873,lot,unresolved,,low,unresolved,Identical 6-unit 2013 buildings at 6010 and 6020 S Green straddle the permit's 6018 address; nothing identifies which one.,,False,subagent first pass
100558345,lot,none,,medium,none,"The only candidate is a 2019 condo 54 ft from 1038 N Paulina, which had a 2018 demolition and permit 100773050; this 2015 permit at 1050 got 2015 alarm permits, which suggests it was built on its own lot.",,False,subagent first pass
100628965,lot,unresolved,,low,unresolved,"6630 N Odell may share the corner with 7359 W North Shore, but it was built 2014, before this 2016 permit, and also fits 100628959; a 2017 security permit at 7359 suggests a building on its own address.",,False,subagent first pass
100663598,lot,assign,assessor_condominium_1704110072,medium,assign,The new 4-unit no-address condo PIN 54 ft away (built 2018) follows this permit's 2016-09 demolition and 2017-01 revision at 1522 N Hudson; the competing 100768840 is at another address and is a mid-2018 permit.,,False,subagent first pass
100683324,lot,unresolved,,low,unresolved,"Two 2019 buildings (3-unit condo, 4-unit residential on 6080 sq ft land) are shared by sibling permits 100683301, 100683317, and 100683324; the 2409-2411 double lot hints at the 4-unit PIN, but the unit count points to the condo.",,False,subagent first pass
100728257,lot,assign,assessor_condominium_1429303064,medium,assign,The new 3-unit no-address condo PIN 58 ft away (built 2019) follows the 2017-11 demolition and 2018 and 2019 revisions to this permit at 2731 N Southport; the competing 100575094 is an older 2015 permit.,,True,subagent first pass
100741203,lot,assign,assessor_condominium_1705319143,medium,assign,"The new 3-unit no-address condo PIN 51 ft away (built 2019) follows the 2018-01 demolition at 1513 W Walton; the competing 100799509 is a 2019 permit, less consistent with a 2019 completion.",,False,subagent first pass
100751695,lot,assign,assessor_condominium_1420411073,medium,assign,"The no-address 3-unit condo built 2019 follows the 2018-05 demolition at 1117 W Newport; the other candidate has its own address, 1121 Newport, and was built 2021.",,True,subagent first pass
100773050,lot,assign,assessor_condominium_1706418065,medium,assign,"The 3-unit condo built 2019 is 54 ft from 1038 N Paulina and follows its 2018-08 demolition and 2019 revision; the competing 100558345 (1050 N Paulina, 2015) is 119 ft away and too early.",,False,subagent first pass
100783654,lot,assign,assessor_residential_14283111000000,high,assign,"Same house number: permit 2464 N Burling, parcel 2464 BURLING UNIT, 2 units, built 2020.",,False,subagent first pass
100806942,lot,assign,assessor_residential_14184090220000,high,assign,"Same house number: permit 4251 N Hermitage, parcel 4251 Hermitage Av.",,True,subagent first pass
100815469,lot,unresolved,,low,unresolved,"Two 3-unit 2019 condos (54 ft and 144 ft away, on different Assessor blocks) are shared with 100789012; nothing ties this 1075 N Paulina permit to either one.",,False,subagent first pass
100818283,lot,unresolved,assessor_residential_16134100450000,low,assign,"In the 2500-2534 W Polk prototype row (14 permits, 14 new PINs 42-56 with no 44), the geocode for 2528 sits directly in front of PIN 45, and permit-number order also puts 2528 third from the west end.",held: low-confidence assign,False,subagent first pass
100818290,lot,unresolved,,low,unresolved,The 2520 W Polk geocode falls equidistant between PINs 48 and 49 (56 ft each) in the identical-house row; nothing ties it to one lot.,,False,subagent first pass
100840165,lot,unresolved,,low,unresolved,"The 2514 W Polk geocode points to PIN 51, but permit-number order in the identical-house row suggests PIN 50; the two conflict.",,False,subagent first pass
100840174,lot,unresolved,,low,unresolved,"The 2508 W Polk geocode points to PIN 54, but permit-number order in the identical-house row suggests PIN 53; the two conflict.",,False,subagent first pass
100840179,lot,unresolved,assessor_residential_16134100560000,low,assign,"2500 W Polk is the east (Campbell) end of the prototype row, and PIN 56 is the easternmost new PIN (slightly larger 3140 sq ft land), nearest at 60 ft; this relies on the 14-permit/14-PIN count.",held: low-confidence assign,True,subagent first pass
100863312,lot,unresolved,,low,unresolved,"Candidates 4149 and 4141 Calumet are different numbers from 4147, built 2021, and shared with up to seven other permits; nothing identifies the lot.",,False,subagent first pass
100867314,lot,unresolved,,low,unresolved,"Two identical 6-unit 2021 buildings, both addressed 118 E 41st, are shared by this permit (4054 S Indiana) and 100867290; nothing splits them.",,False,subagent first pass
100868820,lot,unresolved,,low,unresolved,"Candidate 4357 Halsted is a different number from 4359 and also fits 100868800 and 100868807; the other candidate has no data, and a 2022 garage permit at 4359 hints at its own lot.",,False,subagent first pass
100884651,lot,unresolved,,medium,unresolved,"The permit says 3606 is also known as 3604 N Keeler, and both candidate PINs are addressed 3604 after the 2021-05 demolition of a double lot; they are shared with 100884595 and nothing splits them.",,False,subagent first pass
100893859,lot,unresolved,,low,unresolved,"The only candidate, a 2-unit no-address condo built 2022, also fits 100893551 at another address; this 1443 N California permit expired after 2021 revisions.",,False,subagent first pass
100918913,lot,unresolved,,low,unresolved,"Two identical 2022 PINs, both addressed 6696 N Olympia after its 2021-06 demolition, are shared by this permit (6694) and 100918914; nothing splits them.",,False,subagent first pass
100919558,lot,unresolved,,low,unresolved,"The only candidate, 4733 Michigan, is a different number from 4737 and also fits 100919557; this permit expired, so nothing decides it.",,False,subagent first pass
