stage,case_id,category,verdict,dataset_building_id,building_name,street_address,residential_units,stories,completion_year,new_or_conversion,confidence,sources,evidence,note,site,subject,decision,value
missing_condominium_research,1708440024,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2790585,900 West (904 W Washington Blvd condominiums),"904 W Washington Blvd, Chicago, IL 60607",22,10,2019,new,high,https://rejournals.com/luxury-condo-development-900-west-washington-opens-in-chicagos-west-loop/ | https://www.businesswire.com/news/home/20181213005665/en/Luxury-Condominium-900-West-Washington-Officially-Opens-in-Chicago%E2%80%99s-West-Loop,"'900 West' by Taris Real Estate: 10-story, 22-unit condo, opened 2019; dataset already has it as building_id 2790585 (permit 100671338, 22 measured dwelling units) via pin 1708440025.","Case pin 1708440024 (2020-2021, 44 total sub-pins, 22 non-units -> 22 residential) is an early-phase declaration on a base pin later superseded by 1708440025 (final: 22 total, 0 non-units, still 22 residential). Same 22-unit building.",,,,
missing_condominium_research,1728300079,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2410278,2611 S Halsted condominiums,"2611 S Halsted St, Chicago, IL 60608",27,4,2015,new,medium,data_raw/construction_review/building_permits_full.csv (permit 100460361) -- no independent building-name web source found for this small building,"Small new-construction condo building at 2611 S Halsted St (Pilsen/Bridgeport); dataset already has it as building_id 2410278 (permit 100460361, 27 measured dwelling units) via pin 1728300080.","Case pin 1728300079 (2017-2018, 42 total sub-pins, 21 non-units -> 21 residential, land 20921) is an earlier/smaller-footprint declaration; final pin 1728300080 carries 54 total (27 non-units -> 27 residential, land grew to 26808, suggesting a later lot combination). Same building at the same address, expanded declaration, not a second missing building. Lower confidence due to lack of independent web confirmation of the building name/story count.",,,,
missing_condominium_research,1722301068,removed_as_duplicate,in_data_same_building,1698432,1720 South Michigan,"1720 S Michigan Ave, Chicago, IL 60616",498,32,2007,new,high,https://cmkcompanies.com/1720-s-michigan/ | https://www.highriseschicago.com/buildings/1720-s-michigan/,"32-story, 498-unit condo tower by Brininstool & Lynch, completed 2007 (permit: 'ERECT 32 STORY RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL AND ATTACHED PARKING'); the displacing building_id 1698432 (permit 100124212, 498 measured dwelling units) matches the real building exactly.","Case pin 1722301068 (422 units, 2008) is an earlier/partial condo declaration of the same tower; the pipeline's dedup correctly treats it as the same building. No missing building here.",,,,
missing_condominium_research,1716238020,removed_as_duplicate,in_data_same_building,assessor_condominium_1716238026,235 Van Buren,"235 W Van Buren St, Chicago, IL 60607",714,46,2010,new,high,https://en.wikipedia.org/wiki/235_Van_Buren | https://cmkcompanies.com/235-van-buren/,"46-story, 714-unit condo tower by CMK Companies/Perkins&Will, completed January 2010; the displacing record assessor_condominium_1716238026 (682 units) is the Assessor's final condo declaration for this same tower (minor gap vs. the 714 marketing figure is plausible, e.g. combined/renumbered units).","Case pin 1716238020 (420 units, 2011) and sibling case 1716238018 (365 units, 2010) are earlier/partial phase declarations at the identical site (same land_sf 22289) later consolidated into the 682-unit final declaration. Same building.",,,,
missing_condominium_research,1716238018,removed_as_duplicate,in_data_same_building,assessor_condominium_1716238026,235 Van Buren,"235 W Van Buren St, Chicago, IL 60607",714,46,2010,new,high,https://en.wikipedia.org/wiki/235_Van_Buren | https://cmkcompanies.com/235-van-buren/,"Same 46-story, 714-unit tower as case 1716238020; displacing record assessor_condominium_1716238026 (682 units) is the Assessor's final declaration for this building.","Case pin 1716238018 (365 units, 2010) is another early/partial phase declaration on the same land parcel (land_sf 22289), consolidated into the 682-unit final declaration. Same building, not missing.",,,,
missing_condominium_research,1710318063,removed_as_duplicate,in_data_same_building,1780604,Aqua,"225 N Columbus Dr, Chicago, IL 60601",271,82,2009,new,high,https://neweastside.com/building/aqua-condominiums-hotel/ | https://www.magellandevelopment.com/projects/aqua/,"Aqua Tower (Jeanne Gang), 82 stories, completed 2009: 262 condos (floors 53-81) + 9 tri-level townhomes = 271 for-sale residential units, alongside separate rental apartments and a Radisson Blu hotel. The displacing building_id 1780604 (permit 100163711) already captures exactly this: pin 1710318076 with 262(->263) condo units plus pin 1710318084 with 9 townhome units = 271 total.","Case pin 1710318063 (262 units, 2010-2011) is an early/partial declaration of the 262-unit condo portion, already fully represented (plus its 9 townhomes) under building_id 1780604. Not a missing building.",,,,
missing_condominium_research,1722107076,removed_as_duplicate,in_data_same_building,1772472,1400 Museum Park,"1400 S Michigan Ave, Chicago, IL 60605",257,28,2009,new,high,https://100e14thst.com/ | https://www.homes.com/building/1400-museum-park-chicago-il/b-hjm41vrcz0b7e/,"28-story, 257-unit condo tower (permit 100159813: '28 STORY TYPE 1A 265 DU MIXED USE BUILDING...revised to reduce total number of units from 267 to 257'), completed ~2009; displacing building_id 1772472 (measured 257 dwelling units) matches this exactly.","Case pin 1722107076 (257 units, 2012) and its co-displacers (assessor_condominium_1722107078, 257 units) are all phased/duplicate condo declarations for the same tower on the identical land parcel (29718 sqft). Same building as case 1722107072 below (adjacent address 1356 S Michigan is the same site/tower).",,,,
missing_condominium_research,1722107072,removed_as_duplicate,in_data_same_building,1772472,1400 Museum Park,"1400 S Michigan Ave / 1356 S Michigan Ave, Chicago, IL 60605",257,28,2009,new,high,https://100e14thst.com/ | https://www.homes.com/building/1400-museum-park-chicago-il/b-hjm41vrcz0b7e/,"Same 28-story, 257-unit 1400 Museum Park tower as case 1722107076; all three displacers (1772472, assessor_condominium_1722107074, assessor_condominium_1722107078) sit on the identical 29718 sqft parcel used by the permit-based building_id 1772472.","Case pin 1722107072 (247 units, 2010, address 1356 S Michigan) is a side-address/partial declaration for the same tower complex, not a separate building; final declarations cluster at 255-257 units matching the real building.",,,,
missing_condominium_research,1704445016,removed_as_duplicate,in_data_same_building,assessor_condominium_1704445017,Parc Chestnut,"849 N Franklin St, Chicago, IL 60610",261,16,2006,new,high,http://www.849franklin.com/ | https://www.compass.com/building/849-n-franklin-st-chicago-il-60610/593212433405524269/,"Parc Chestnut, 16 stories, 261 units, built 2006; the displacing record assessor_condominium_1704445017 (261 units, land 67142) matches the real building exactly.","Case pin 1704445016 (215 units, 2007, identical land_sf 67142) is an earlier/partial condo declaration of the same building, correctly deduplicated. Not a missing building.",,,,
missing_condominium_research,1710135035,removed_as_duplicate,in_data_same_building,1655639,Trump International Hotel & Tower Chicago,"401 N Wabash Ave, Chicago, IL 60611",486,90,2009,new,high,https://en.wikipedia.org/wiki/Trump_International_Hotel_and_Tower_(Chicago) | https://www.skyscrapercenter.com/building/trump-international-hotel-tower/203,"Trump Tower Chicago: permit describes '90 STORY (96 LEVEL) RESIDENTIAL HIGHRISE WITH HOTEL,' 486 residential condos on floors 29-89 (plus 339 separately-declared hotel condos on floors 17-27); the displacing building_id 1655639 (measured 486 dwelling units) matches the residential condo count exactly.","Case pin 1710135035 (200 units, address suffix '29A' = a floor-29 unit, within the residential tower) is an early/partial declaration of part of the same 486-unit residential condo regime, already fully captured under building_id 1655639. Not a missing building; the separate 339-unit hotel-condo component is out of scope for this residential-only pin.",,,,
missing_condominium_research,1709201016,removed_as_duplicate,in_data_same_building,1807675,757 Orleans,"757 N Orleans St, Chicago",198,22,2008,new,high,https://www.highriseschicago.com/buildings/757-n-orleans/,"757 Orleans is one 22-story, 198-unit tower completed 2008 at 757 N Orleans. Case (198u, built 2008, land 25935, 2010-2011) matches displacing row 1807675/1709201018 (198u, built 2008) on address/units/year exactly; land grew to 32422 likely from a parcel consolidation. Same building, PIN renumbered.",,,,,
missing_condominium_research,1716402056,removed_as_duplicate,in_data_same_building,1679951,Vetro,"611 S Wells St, Chicago",232,31,2008,new,high,https://www.urbanrealestate.com/chicago/South-Loop/601-611-S-Wells/profile | https://sudlerchicago.com/component/iproperty/?view=property&id=38%3A611-s-wells-street-chicago&Itemid=435,"Vetro is a single 31-story, 232-unit tower at 611 S Wells completed 2008. Case (177u, 2007) and assessor_condominium_1716402062 (224u, 2007) share the exact land_sqft (24170) with final PIN 1716402063/1679951 (232u, 2008): a phased condo declaration of the same tower, not distinct buildings.",,,,,
missing_condominium_research,1405204028,removed_as_duplicate,in_data_same_building,1762847,The Granville Condominiums,"1134 W Granville Ave, Chicago",160,12,2008,new,high,http://www.1134granville.com/ | https://www.homes.com/building/the-granville-condominiums-chicago-il/b-b8nkq0v8hnp1b/,"The Granville Condominiums is a single 12-story, 160-unit building at 1134 W Granville (sources split 2006 vs 2008 completion). Case's unit count (160), land_sqft (~60-61k), and address exactly match displacing row 1762847/1405204029. Same building, PIN renumbered in 2016.",,,,,
missing_condominium_research,1705214021,removed_as_duplicate,in_data_same_building,1815507,SoNo (west/condo tower),"860 W Blackhawk St, Chicago",198,27,2009,new,high,https://www.lincolnparkcondos.com/860-w-blackhawk.php | https://www.highrises.com/buildings/chicago_il/sono-condos_860-w-blackhawk-st_6624,"Displacing row 1815507 (pin10 1705214022) is confirmed by permit text as 'NEW 27-STORY RESIDENTIAL HIGH-RISE' at 860 W Blackhawk St (SoNo condo tower, 198 condo units). Case pin10 1705214021 has the identical land_sqft (40037) as 1705214022, confirming same parcel/tower despite a 145ft centroid offset.",,,,,
missing_condominium_research,1710208019,removed_as_duplicate,in_data_same_building,1645727,600 N Lake Shore Drive,"600 N Lake Shore Dr, Chicago",400,46,2007,new,medium,https://www.chicagosluxurycondos.com/600-n-lake-shore-drive.php | https://www.homesbymarco.com/subdivisions/600_n_lake_shore_in_chicago_il,"600 N Lake Shore Dr is a two-tower (46/40-story) 400-unit condo complex by Belgravia/Sandz completed 2007. Case (156u, built 2006, land 42152) sits 0 ft from displacing row 1645727 (400u, built 2007, land 42152, same address): an early partial declaration before the complex's full 400-unit build-out.",,,,,
missing_condominium_research,1722302106,removed_as_duplicate,in_data_same_building,assessor_condominium_1722302107,Lakeside Tower,"1600 S Indiana Ave, Chicago",143,19,2006,new,high,https://www.fultongrace.com/south-loop/1600-s-indiana-condos/ | https://www.yelp.com/biz/lakeside-tower-chicago,"Lakeside Tower is one 19-story, 143-unit building at 1600 S Indiana completed 2006. Case (143u, built 2006, land 24599) is 1 ft from displacing row assessor_condominium_1722302107 (145u, built 2007, land 24297): same building, minor unit/land differences reflect resurveys across assessment years.",,,,,
missing_condominium_research,1708213010,removed_as_duplicate,in_data_same_building,assessor_commercial_17082130110000,Mondial River West,"910 W Huron St, Chicago",141,15,2009,new,high,https://www.mondialriverwest.com/ | https://www.rentcafe.com/apartments/il/chicago/mondial-river-west/default.aspx,"Mondial River West at 910 W Huron is a 15-story, 141-unit building built 2009. Case (141u condo, 2010-2012) and displacing row (141u, reclassified 'commercial'/apartment class, 2013) share the exact address, unit count, and location: same building, reclassified from condo to rental (Mondial).",,,,,
missing_condominium_research,1715304064,removed_as_duplicate,in_data_same_building,1717421,Astoria Tower,"8 E 9th St, Chicago",241,30,2009,new,medium,https://www.apartments.com/astoria-tower-chicago-il/ttb10yc/,"Astoria Tower, 8 E 9th St, is a 30-story tower (~241 units per Redfin) completed ~2009, later operated as rentals. Case (135u, 2007-2021, then 2008) sits 0 ft from displacing row 1717421 (248u, built 2009, 'commercial' class, same address): sequential phased condo declarations of the same tower before conversion to rental.",,,,,
missing_condominium_research,1709201014,removed_as_duplicate,in_data_same_building,1807675,757 Orleans,"757 N Orleans St, Chicago",198,22,2008,new,high,https://www.highriseschicago.com/buildings/757-n-orleans/,"Same building as case 1709201016 (757 Orleans, 198u tower completed 2008). This PIN (124u, built 2007, land 25935, 2009 only) is an even earlier partial declaration of the same tower before the unit count grew to 198 under a later PIN and finally 1709201018/1807675.",,,,,
missing_condominium_research,1703209028,removed_as_duplicate,in_data_same_building,1832771,Ten East Delaware,"10 E Delaware Pl, Chicago",121,36,2010,new,high,https://www.highrises.com/buildings/chicago_il/ten-east-delaware_10-e-delaware-pl_998,"Ten East Delaware is a 36-story tower at 10 E Delaware completed 2010 (~121-180 units reported across sources). Case's land_sqft sequence (12451 then 14284 in 2013-14) exactly matches displacing row 1832771/1703209055's land (14284): same parcel/tower, phased declaration before final consolidation.",,,,,
missing_condominium_research,1710122031,removed_as_duplicate,in_data_same_building,1662742,550 N St Clair,"550 N St Clair St, Chicago",111,26,2008,new,high,https://www.fultongrace.com/streeterville/550-n-st-clair-condos/,"550 N St Clair is a single 26-story, 111-unit tower completed 2008. Case (106u, built 2007, land 10257, 2011-2012) is 0 ft from and shares the identical land_sqft with displacing row 1662742/1710122033 (111u, built 2007): same building, minor unit-count difference across assessment years.",,,,,
missing_condominium_research,1717206016,removed_as_duplicate,in_data_same_building,assessor_condominium_1717206017,Residences at 950 W Monroe,"950 W Monroe St, Chicago",101,9,2006,new,high,https://www.seechicagorealestate.com/west-loop/950-west-monroe-condos/,"950 W Monroe is a single 9-story, 101-unit building (sources say completed 2005, Assessor records 2006). Case (101u, built 2006, land 23874, 2007-2021) has identical unit count and land_sqft to displacing row (101u, built 2006, land 23874, 2022-2026): literally the same building with a straight PIN renumbering in 2022.",,,,,
missing_condominium_research,1722306056,removed_as_duplicate,in_data_same_building,1886070,Arrive South Loop,"1935 S Wabash Ave, Chicago",180,7,2010,new,high,https://yochicago.com/terrazio-apartments-1935-s-wabash-st-south-loop/32826/ | https://www.redfin.com/IL/Chicago/1935-S-Wabash-Ave-Chicago-IL-60616/building/79283,"Arrive South Loop is a single 7-story, 180-unit courtyard building at 1935 S Wabash completed 2010 (Sedgwick Properties, built as condo). Case (90u, built 2010, land 42212) is 0 ft from and shares identical land_sqft with displacing row 1886070/1722306060 (180u): an early partial-phase declaration of the same building.",,,,,
missing_condominium_research,1722307117,removed_as_duplicate,in_data_same_building,assessor_condominium_1722307121,1819 S Michigan,"1819 S Michigan Ave, Chicago",94,12,2005,new,high,https://www.fultongrace.com/south-loop/1819-s-michigan-condos/ | https://www.highrises.com/buildings/chicago_il/1819-south-michigan_1819-s-michigan-ave_4812,"1819 S Michigan is a single 12-story, 94-unit building (designed by Fitzgerald Associates, completed ~2004-2005; Assessor records built 2006/2007). Case (90u, built 2006, land 23440) is 0 ft from and shares identical land_sqft with displacing row assessor_condominium_1722307121 (94u): same building, minor unit-count variance across years.",,,,,
missing_condominium_research,1336100032,removed_as_duplicate,in_data_same_building,assessor_condominium_1336100034,Logan View,"3125 W Fullerton Ave, Chicago",79,5,2006,new,high,https://3125fullerton.com/ | https://www.homes.com/building/logan-view-chicago-il/b-68zb6z5z1zghe/,"Logan View is a single 5-story, 79-unit condominium at 3125 W Fullerton completed 2006. Case (79u, built 2006, land 36300, 2007-2008) exactly matches unit count and land_sqft of displacing row assessor_condominium_1336100034 (79u, built 2006, land 36300): same building, PIN renumbered in 2009.",,,,,
missing_condominium_research,1722319031,removed_as_duplicate,in_data_same_building,1690722,Arrive LEX,"2138 S Indiana Ave, Chicago",332,29,2009,new,medium,https://www.arrivelex.com/ | https://www.corporatehousing.com/il/chicago/arrive-lex/2v2k0sb,"Arrive LEX is a single 29-story, 332-unit tower at 2138 S Indiana (Motor Row) completed ~2007-2009, now operated as rentals. Case's small condo PIN (36-79 units, 2010-2017, land 48157) sits 0 ft from and shares land_sqft with the displacing commercial row 1690722 (332u, built 2007): apparently a partial condo declaration within the same tower before full conversion to rental.",,,,,
missing_condominium_research,1717220024,removed_as_duplicate,in_data_same_building,assessor_condominium_1717220026,225 S Sangamon (Zen Condos),"225 S Sangamon St, Chicago",82,9,2007,new,medium,https://www.westloopcondos.com/225-s-sangamon-zen.php | https://www.highrises.com/buildings/chicago_il/zen-condos_225-s-sangamon-st_2631,"Zen Condos, 225 S Sangamon, is a 9-story, 82-unit building completed 2007 (203 S Sangamon 'Beacon Lofts' nearby is a distinct 1925 loft conversion). Case (77u, 2010, land 21510) shares identical land_sqft with displacing row 1717220026 (79u, built 2007): same building. Pipeline separately keeps a truly different building (1717220020, 61u) at the same site.",,,,,
missing_condominium_research,2529110054,removed_as_duplicate,in_data_partial,assessor_condominium_2529110056,,"near 12100 W 122nd St / S Ashland Ave / S Justine St, Chicago (Rosemoor)",,,,new,medium,https://www.redfin.com/IL/Chicago/1501-W-122nd-St-60643/home/52635775,"PINs 2529110050-59 are 1-2 year Assessor 'condominium' records at one site whose land_sqft keeps growing (139119->161584->203680) as a Rosemoor-area townhouse tract was built out (2010 permit: 6-unit row, 1501-15 W 122nd St; later split into single-family PINs). Not one 20+ unit building; a placeholder for small buildings already captured as separate permit rows (e.g. 1851904).",,,,,
missing_condominium_research,2529110052,removed_as_duplicate,in_data_partial,assessor_condominium_2529110056,,"near 12100 W 122nd St / S Ashland Ave / S Justine St, Chicago (Rosemoor)",,,,new,medium,https://www.redfin.com/IL/Chicago/1501-W-122nd-St-60643/home/52635775,"Same site/story as case 2529110054, an earlier year (2008-2009, 54 units, land 139119) in the same growing placeholder PIN sequence (2529110050->...->2529110058) for a Rosemoor-area townhouse subdivision that was later platted into individual single-family lots. Not a genuine single 20+ unit building; already reflected in the dataset as separate small townhouse permits.",,,,,
missing_condominium_research,1715304062,removed_as_duplicate,in_data_same_building,1717421,Astoria Tower,"8 E 9th St, Chicago",241,30,2009,new,medium,https://www.apartments.com/astoria-tower-chicago-il/ttb10yc/,"Same building as case 1715304064 (Astoria Tower, 8 E 9th St). This PIN (80u, built 2009, land 19635, 2010 only) is another phased condo declaration on the identical parcel/address as the displacing row 1717421 (248u, built 2009, 'commercial' class), 98 ft away only due to a centroid offset.",,,,,
missing_condominium_research,1733423021,removed_as_duplicate,in_data_same_building,1768276,,"17 W 35th St, Chicago",60,4,2008,new,medium,,"Case PIN and displacing building_id 1768276 share the exact address 17 W 35th St (Park Boulevard development); permit 100157547 describes a 24-unit, 4-story mixed-use building there. Linked assessor record 1733423023 shows dwelling_units fluctuating 36-60 across 2009-2026, consistent with one re-declared building, not two.","Land size differs (13197 vs 22908 sf), likely from parcel assembly for construction.",,,,
missing_condominium_research,1709204027,removed_as_duplicate,in_data_same_building,1754635,Superior 110,"110 W Superior St, Chicago",57,27,2009,new,high,https://www.rivernorthcondos.com/110-w-superior | https://www.highriseschicago.com/buildings/superior-110/,"Case pin10 1709204027 (31 units, land 10968 sf) has assessor data only for 2010 (char_building_pins=74). Pin 1709204028 (57 units, identical land_sf=10968) begins 2011 and matches permit 100151408 for 110 W Superior St, a 27-story tower platted for 77 units then deconverted to 59.","Same parcel, sequential re-declaration as construction finished; clearly the same building.",,,,
missing_condominium_research,1430410049,removed_as_duplicate,in_data_same_building,assessor_condominium_1430410055,,"1610 W Fullerton Ave, Chicago",39,,2006,new,high,,"Displacing record is 0.1 ft from the case parcel at the identical address 1610 W Fullerton Ave (unit suffix 201 vs A only difference). Same small condo building, re-declared with a slightly different unit count a year later.",,,,,
missing_condominium_research,1704206013,removed_as_duplicate,in_data_same_building,2890142,,"1550 N Clark St, Chicago",32,10,2012,new,high,,"Case pin and displacing rows (assessor_condominium_1704206015 and permit-based 2890142) are all at the identical address 1550 N Clark St, 0.1 ft apart. Permit 100731726 describes a new 10-story, 32-unit condominium building, matching the displacing record's unit count exactly.",,,,,
missing_condominium_research,1319433049,removed_as_duplicate,in_data_same_building,assessor_condominium_1319433051,,"6444 W Belmont Ave, Chicago",24,,2007,new,high,,"Displacing record is 0.16 ft from the case parcel, identical address 6444 W Belmont Ave (unit suffix A vs 201), same 24-unit count. Clearly the same small building, re-declared a year later.",,,,,
missing_condominium_research,1430402067,removed_as_duplicate,in_data_same_building,1671645,,"1937 W Diversey Pkwy, Chicago",24,,2008,new,high,,"Displacing permit-based building 1671645 is 0.02 ft from the case parcel, same address (Diversey Ave/Pkwy are the same street), identical 24-unit count and 2008 built year.",,,,,
missing_condominium_research,1708445026,removed_as_duplicate,missing_new_building,,,"15 N Aberdeen St, Chicago",24,,2008,new,high,https://www.homesbymarco.com/subdivisions/15_n_aberdeen_st_in_chicago_il | https://bestchicagoproperties.com/neighborhoods/west-loop/15-23-n-aberdeen-ca23-condos/,"Web sources independently confirm 15 N Aberdeen St is its own 24-unit building completed 2008, distinct from 23 N Aberdeen St (52 units, built 2011), the row that displaced it: different address, different land size (17505 vs 36269 sf), different year and unit count.",Pipeline wrongly merged two separate West Loop condo buildings 65 ft apart; no other dataset row is nearby.,,,,
