matter_id,pd_far_update_source,pd_transition_type,from_code,to_code,from_far_update,to_far_update,far_change_update,far_direction_update,pd_far_value_update,pd_far_role_update,confidence,matter_intro_date,matter_passed_date,review_packet_id,review_row,evidence,notes,reviewer,review_date
SO2014-3303,mechanical_text_high,base_to_pd,DX-5,PD,5.0,7.0,2.0,upzone,7.0,to_far_text,high,2014-04-30,2014-11-05,,,"... EVELOPMENT NO. BULK REGULATIONS AND DATA TABLE GROSS SITE AREA (NET SITE AREA+ REMAINING IN PUBLIC RIGHT OF WAY) 56,648 Net sf + 33,784 sf= 90,432 gsf NET SITE AREA 56,648 sf Sub Area A - 37,688 sf Sub Area B- 16,500 sf Sub Area C - 2,870 sf MAXIMUM ALLOWABLE FAR: 7 FAR AFFORDABLE HOUSING BONUS: .5 BONUS FAR TOTAL PERMITTED FAR: 7.5 FAR (424,860 FAR sf) FAR AREA OF PROPOSED DEVELOPMENT: FAR-EXISTING BANK: FAR - EXISTING 3-STORY BLDG: FAR - PROPOSED TOWER: FAR - TOTAL PD: 26,971 sf- Sub Area B 7,380 sf- Sub Area C 390.509 ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-3309,mechanical_text_high,base_to_pd,B3-2,PD,2.2,3.5,1.3,upzone,3.5,to_far_text,high,2014-04-30,2014-07-30,,,"... operty: 3400-08 N. Lincoln Avenue and 1702-14 W. Roscoe Street FINAL FOR PUBLICATION RESIDENTIAL-BUSINESS PLANNED DEVELOPMENT NO. BULK REGULATIONS AND DATA TABLE Gross Site Area (sf): 21,588 Area of Public Righls-of-Way (sf): 10,330 Net Site Area (sf): 11,258 Maximum Floor Area Ratio: 3.50 Maximum Number of Dwelling Units: 36 Minimum Off-Street Parking Spaces: 8 Minimum Bicycle Parking Spaces: 28 Minimum Off-Street Loading Spaces: 1 (10' x 25') Maximum Building Height: 67' Minimum Setbacks: In substantial confonnance with the Plans Applicant: L ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-3311,chatgpt_review,base_to_pd,M2-3,PD,3.0,1.0,-2.0,downzone,1.0,maximum_floor_area_ratio,high,2014-04-30,2014-07-30,packet_04,7,Bulk table lists Maximum Floor Area Ratio: 1.00.,Use whole-PD maximum FAR 1.00.,ChatGPT,2026-07-03
SO2014-4171,chatgpt_review,base_to_pd,ML-3,PD,3.0,4.65,1.65,upzone,4.65,maximum_floor_area_ratio,high,2014-05-28,2014-11-05,packet_03,3,"Statement says maximum permitted FAR for the Property shall be 4.65 and was determined using net site area 81,821 square feet.",Use whole-property PD FAR 4.65.,ChatGPT,2026-07-03
SO2014-4174,chatgpt_review,base_to_pd,BL-3,PD,3.0,5.0,2.0,upzone,5.0,maximum_floor_area_ratio,high,2014-05-28,2014-12-10,packet_06,15,Bulk table lists Maximum Floor Area Ratio 5.00; statement says base FAR 5.0.,Evidence shows B1-3 to B3-5 to PD; use pre-ordinance B1-3 FAR 3.0 and final PD FAR 5.0.,ChatGPT,2026-07-03
SO2014-4183,mechanical_text_high,base_to_pd,B3-3,PD,3.0,3.5,0.5,upzone,3.5,to_far_text,high,2014-05-28,2014-10-08,,,"... CATION RESIDENTIAL BUSINESS PLANNED DEVELOPMENT PLAN OF DEVELOPMENT BULK REGULATIONS AND DATA TABLE Gross Site Area 16,949.59 sq. ft. (0.39 acres) Net Site Area 12,020.98 sq. ft. (0.28 acres) Area Remaining in Public Right of Way 4,928.61 sq. ft. (0.11 acres) Maximum Floor Area Ratio 3.50 Minimum Setbacks Per Site Plan Maximum Number of Units 36 Minimum Number of Accessory Off'-Street Parking 11 spaces Minimum Number of Off-Street Loading One berth Minimum Number of Bicycle Parking 36 Maximum Building Height 70' 4"" FINAL FOR PUBLICATION RESIDE ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-4188,chatgpt_review,base_to_pd,RM-5,PD,2.0,1.0,-1.0,downzone,1.0,maximum_floor_area_ratio,high,2014-05-28,2014-10-08,packet_06,2,Bulk table lists Maximum Floor Area Ratio 1.0.,Use whole-PD maximum FAR 1.0.,ChatGPT,2026-07-03
SO2014-4189,chatgpt_review,base_to_pd,RT-4,PD,1.2,1.0,-0.2,downzone,1.0,maximum_floor_area_ratio,high,2014-05-28,2015-01-21,packet_05,4,Bulk table lists Maximum Floor Area Ratio 1.0.,Use whole-PD maximum FAR 1.0.,ChatGPT,2026-07-03
SO2014-4969,mechanical_text_high,base_to_pd,BL-2,PD,2.2,1.0,-1.2,downzone,1.0,to_far_text,high,2014-06-25,2014-09-10,,,"... c. Address: 10355 South Woodlawn Avenue Introduced: June 25, 2014 Plan Commission: August 21, 2014 FINAL FINAL FOR PUBLICATION BULK REGULATIONS TABLE Gross Site Area 676,555 square feet Area in Right of Way 94,817 square feet Net Site Area 581,738 square feet Maximum F.A.R. 1.0 Maximum Building Height 50' Setbacks Per Approved Site Plan Minimum Parking Minimum Bicycle Parking 366 spaces 12 spaces Minimum Off-Street Loading 1 (25' X 50') Loading berth. Applicant: Address: Introduced: Plan Commission: Chicago Neighborhood Initiatives, ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-4978,chatgpt_review,base_to_pd,C1-5,PD,2.2,3.3,1.1,upzone,3.3,maximum_floor_area_ratio,high,2014-06-25,2015-05-06,packet_04,10,"Ordinance changes C1-2 to C1-5, then C1-5 to PD; bulk table lists Maximum Floor Area Ratio 3.3.","Evidence shows original base district was C1-2, not C1-5; use pre-ordinance FAR 2.2 and final PD FAR 3.3.",ChatGPT,2026-07-03
SO2014-5792,mechanical_text_high,base_to_pd,DS-3,PD,3.0,10.15,7.15,upzone,10.15,to_far_text,high,2014-07-30,2015-11-18,,,"... ing a Net Site Area of 28,749 square feel and a base FAR of 7.0. The improvements to be constructed on the Property will utilize the following FAR bonuses: , . -• ' V Base FAR: . . - 7.0 "" . ' , ' '• Affordable Housing: 1.75 . . , Transit Infrastructure: 1.40 Total FAR: 10.15 9. Upon review and determination (""Part II Review""), and pursuanl to Section 17-13-0610 ofthe Zoning Ordinance, a Part II Review Fee shall be assessed by the, Department of Planning jand Development. The fee, as determined by staff at the time, is final and b ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-5801,chatgpt_review,base_to_pd,RT-4,PD,1.2,2.2,1.0,upzone,2.2,maximum_floor_area_ratio,high,2014-07-30,2014-09-10,packet_07,6,Bulk table lists Maximum Floor Area Ratio 2.2.,Evidence shows RT-4 to C3-2 to PD; use pre-ordinance RT-4 FAR 1.2 and final PD FAR 2.2.,ChatGPT,2026-07-03
SO2014-6808,chatgpt_review,pd_to_base,PD,T,1.0,1.5,0.5,upzone,1.0,maximum_floor_area_ratio,medium,2014-09-10,2014-12-10,packet_07,11,"Ordinance changes Waterway-Industrial Planned Development No. 1165 to Planned Manufacturing District Number 11, Subdistrict A; PD bulk table lists Maximum Floor Area Ratio 1.0.",Use prior PD FAR 1.0 and parsed target T/PMD FAR 1.5 per packet fields.,ChatGPT,2026-07-03
SO2014-6810,chatgpt_review,base_to_pd,CL-1,PD,1.2,5.0,3.8,upzone,5.0,maximum_floor_area_ratio,high,2014-09-10,2015-05-06,packet_05,16,Bulk table lists Maximum Floor Area Ratio 5.00.,Evidence shows C1-1 to B3-5 to PD; use pre-ordinance C1-1 FAR 1.2 and final PD FAR 5.0.,ChatGPT,2026-07-03
SO2014-8024,chatgpt_review,base_to_pd,CL-1,PD,1.2,3.5,2.3,upzone,3.5,maximum_far,high,2014-10-08,2015-04-15,packet_06,12,Bulk table lists Maximum FAR 3.5.,Evidence shows C1-1 to B2-3 to PD; use pre-ordinance C1-1 FAR 1.2 and final PD FAR 3.5.,ChatGPT,2026-07-03
SO2014-8044,chatgpt_review,base_to_pd,B3-1,PD,1.2,1.5,0.3,upzone,1.5,maximum_floor_area_ratio,high,2014-10-08,2015-01-21,packet_05,10,Bulk table lists Maximum Floor Area Ratio 1.5.,Use whole-PD maximum FAR 1.5; mechanical 15.0 is decimal/OCR error.,ChatGPT,2026-07-03
SO2014-8808,chatgpt_review,base_to_pd,RS-2,PD,0.65,0.65,0.0,same,0.65,maximum_floor_area_ratio,high,2014-11-05,2015-01-21,packet_08,1,Bulk table lists Maximum Floor Area Ratio 0.65.,Use whole-PD maximum FAR 0.65.,ChatGPT,2026-07-03
SO2014-9402,mechanical_text_high,base_to_pd,B3-2,PD,2.2,3.5,1.3,upzone,3.5,to_far_text,high,2014-11-19,2015-07-29,,,"... 09 North Southport Avenue, Chicago, Illinois 6065742.2 FINAL FOR PUBLICATION RESIDENTIAL BUSINESS PLANNED DEVELOPMENT NO. BULK REGULAllONS AND DATA TABLE Gross Site Area: 21,342 sq. ft. Area in Public Right of Way: 11,053 sq. ft. Net Site Area: 10,289 sq. ft. Maximum F.A.R.: 3.5 Maximum No. of Dwelling Units: 30 Minimum No. of Parking Spaces: 7 Minimum No. of Bicycle Parking: 30 Minimum No. of Loading Berths: 0 Maximum Building Height: 50'-0"" Minimum Building Setbacks: Per approved plans Applicant: 3401-3409 N. Southport LLC Address: ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-9730,mechanical_text_high,base_to_pd,DX-7,PD,7.0,10.92,3.92,upzone,10.92,to_far_text,high,2014-12-10,2015-09-24,,,"... termined using a Net Site Area of 12,398 square feet and a base FAR of 7.0. The improvements to be constructed on the Property will utilize the following FAR bonuses: Base FAR: 7.0 Affordable Housing: 1.75 Upper-Level Setback: 0.77 Transit Infrastructure 1.40 Total FAR: . 10.92 9. Upon review and determination (""Part II Review""), and pursuant to Section 17-13-0610 of the Zoning Ordinance, a Part II Review Fee shall be assessed by the Department of Planning and Development. The fee, as determined by staff at the time, is final and bi ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2015-50,chatgpt_review,base_to_pd,B1-1,PD,1.2,0.9,-0.3,downzone,0.9,maximum_floor_area_ratio,high,2015-01-21,2016-05-18,packet_05,3,"Bulk table lists Maximum Floor Area Ratio 0.9, with Sub Area A 1.0 and Sub Area B .28.","Use whole-PD maximum FAR 0.9, not subarea values.",ChatGPT,2026-07-03
SO2015-56,chatgpt_review,base_to_pd,RS-3,PD,0.9,0.9,0.0,same,0.9,maximum_floor_area_ratio,high,2015-01-21,2015-03-18,packet_08,2,Bulk table lists Maximum Floor Area Ratio 0.9.,Use whole-PD maximum FAR 0.9.,ChatGPT,2026-07-03
SO2015-59,chatgpt_review,base_to_pd,CL-1,PD,1.2,5.0,3.8,upzone,5.0,maximum_floor_area_ratio,high,2015-01-21,2015-07-29,packet_05,17,Bulk table lists Maximum Floor Area Ratio 5.00.,Original districts include C1-1 and C1-3; retained parsed C1-1 FAR 1.2.,ChatGPT,2026-07-03
SO2015-63,chatgpt_review,base_to_pd,ML-2,PD,2.2,0.7,-1.5,downzone,0.7,maximum_far,high,2015-01-21,2015-05-06,packet_04,11,Bulk Regulations Table lists Maximum F.A.R. 0.7.,Use whole-PD maximum FAR 0.7.,ChatGPT,2026-07-03
SO2015-2587,mechanical_text_high,pd_to_base,PD,B3-2,1.0,2.2,1.2,upzone,1.0,from_far_text,high,2015-04-15,2015-07-29,,,"... ood Avenue FINAL FINAL FOR PUBLICATiON mSTlTUTIONAL PLANNED DEVELOPMENT BULK REGULATION AND DATA TABLE Gross Site Area: Net Site Area: Public Area Right-of-Way: 226,633.27 square feet 167,844.58 square feet (Includes two alley vacations) 58,788.69 square feel Maximum Floor Area Ratio: 1.0 Minimum Number of Off-Street Loading Spaces: Number of Off-Street Parking Spaces: 25 (including 2 accessible spaces) Minimum Number of Bicycle Parking Spaces Maximum Building Height: 50 feet (as measured in accordance with the Chicago Zoning Ordinance) Minimu ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2015-2625,mechanical_text_high,base_to_pd,DX-5,PD,5.0,10.15,5.15,upzone,10.15,to_far_text,high,2015-04-15,2015-07-29,,,"... ss: 201-223 West Hubbard Street; 412-420 North Wells Street, Chicago, IL 60654 Introduced: April 15, 2015 Plan Commission: June 18, 2015 EASTA97224052.4 FINAL FOR PUBLICATION Description FAR Base FAR: 7.00 Affordable Housing: 1.75 Transit Infrastructure: 1.40 Total FAR: 10.15 9. Upon review and detemiination, ""Part II Review"", pursuant to Section 17-13-0610 of the Zoning Ordinance, a Part II Review Fee shall be assessed by DPD. The fee, as determined by staff at the time, is final and binding on the Applicant and must be paid to t ...",High-confidence mechanical PD FAR text extraction.,mechanical,
