matter_id,old_far,new_far,scope,confidence,source_attachment,source_pages,evidence
SO2012-7165,0.83,0.83,whole_pd,high,dpd_pd_archive_PD1135,15;4,"The 2009 table reports site-total FAR 0.83; the 2013 ordinance changes only listed use and site-plan statements and says omitted text is unaffected."
SO2012-8204,5.50,5.50,whole_pd,high,dpd_pd_archive_PD523,122;77,"The 2006 and 2013 dated tables both report maximum overall FAR 5.50."
SO2012-8255,2.20,2.20,whole_pd,high,dpd_pd_archive_PD491,19;6,"The 1989 and 2013 dated tables both report maximum whole-PD FAR 2.20."
SO2013-5437,0.32,0.35,whole_pd,high,dpd_pd_archive_PD832,17;5,"The 2002 table reports maximum whole-PD FAR 0.32 and the 2013 table reports 0.35."
SO2013-5511,3.99,3.76,whole_pd,high,dpd_pd_archive_PD1164,90;67,"The 2010 table reports maximum whole-PD FAR 3.99 and the 2013 table reports 3.76."
SO2013-6058,1.20,1.20,whole_pd,high,elms_ee5f791094690f07,18,"Plan Commission text explicitly states that the existing FAR 1.20 is retained by the amendment."
SO2013-791,0.30,0.30,whole_pd,high,elms_7cfef18496079a45,10,"Plan Commission text explicitly states that the amended PD continues to authorize maximum FAR 0.30."
SO2014-2442,1.00,1.30,whole_pd,high,dpd_pd_archive_PD670,26;7,"The 1998 table reports maximum whole-PD FAR 1.00 and the 2014 table reports 1.30."
SO2014-4170,1.20,1.20,whole_pd,high,dpd_pd_archive_PD44,169;129,"The 1984 and 2014 dated tables both report maximum whole-PD FAR 1.20."
SO2014-4967,21.63,20.19,whole_pd,high,dpd_pd_archive_PD1229,45;4,"The 2014 adoption table reports total bonus-inclusive FAR 21.63 and the amendment table reports 20.19."
SO2014-5793,0.55,0.55,whole_pd,high,dpd_pd_archive_PD527,248;116,"The 2010 and 2016 dated tables both report maximum whole-PD FAR 0.55."
SO2014-6782,1.03,1.03,whole_pd,high,dpd_pd_archive_PD826,32;14,"The 2013 and 2014 dated tables both report maximum whole-PD FAR 1.03."
SO2014-6808,1.00,1.00,whole_pd,high,dpd_pd_archive_PD1165,37;13,"The 2010 and 2014 dated tables both report maximum whole-PD FAR 1.00."
SO2014-835,8.75,8.75,whole_pd,high,dpd_pd_archive_PD681,12;5,"The 2005 and 2014 dated tables both report maximum whole-PD FAR 8.75."
SO2014-8799,2.92,2.92,whole_pd,high,dpd_pd_archive_PD987,47;7,"The earlier table and the 2015 table both report overall whole-PD FAR 2.92."
SO2015-2682,0.062,0.062,whole_pd,high,dpd_pd_archive_PD542,21;4,"The OCRed 1994 table and the 2017 amendment table both report maximum whole-PD FAR 0.062."
SO2015-3703,3.00,1.00,whole_pd,high,dpd_pd_archive_PD1052,36;15,"The 2007 table reports maximum whole-PD FAR 3.00 and the 2015 table reports 1.00."
SO2015-6992,0.85,0.87,whole_pd,high,dpd_pd_archive_PD546,37;7,"The 1994 table reports maximum whole-PD FAR 0.85 and the 2015 table reports 0.87."
SO2015-8489,4.52,4.52,whole_pd,high,dpd_pd_archive_PD1169,112;55,"The 2010 and 2016 master tables both report overall maximum FAR 4.52."
SO2015-8496,1.00,1.00,affected_subarea,high,dpd_pd_archive_PD1167,287;253,"The 2013 and 2016 tables both report maximum FAR 1.00 for affected Subarea B."
SO2016-47,1.20,1.20,whole_pd,high,dpd_pd_archive_PD639,24;4,"The 1997 and 2016 dated tables both report maximum whole-PD FAR 1.20."
SO2016-4778,10.15,10.44,whole_pd,high,dpd_pd_archive_PD1043,52;15,"The prior bonus table reports total FAR 10.15 and the 2016 table reports total FAR 10.44."
SO2016-665,2.20,2.20,whole_pd,high,dpd_pd_archive_PD1,34;15,"The 2001 and 2016 tables both report maximum whole-PD FAR 2.20."
