source_project_id,disposition,final_project_ids,decision_reason,evidence_ids,confidence
residential_multicard_17293090540000,exclude_source_duplicate_keep_successors,,The Broad and Pitney master-site cards are superseded by separately retained successor houses and townhouses with parcel-specific fields.,historical_parcel_1729309036/current_successors_1729309055_1729309067,high
residential_multicard_17293090680000,exclude_source_duplicate_keep_successors,,The second Broad/Pitney master-site record overlaps the same separately retained successor development and cannot be retained without duplication.,historical_parcels_1729309036_1729309054/current_successors_1729309055_1729309067,high
residential_multicard_17294220330000,exclude_source_duplicate_keep_successors,,Four completed 31st Street permits are already represented by four separately retained successor houses.,permits_100813014_100813015_100876787_100876788/current_pins_1729422083_1729422086,high
residential_multicard_20034000310000,replace_with_building,residential_adjudicated_vernon_2019,The 2019 permit and first complete assessor episode identify one five-unit townhouse building; later card changes do not create new projects.,permit_100802189/assessor_episode_2003400031_2019,high
residential_multicard_13362280330000,replace_with_building,residential_adjudicated_armitage_2008,Later assessor reports consistently correct the construction year to 2008 while preserving the three-unit building fields.,assessor_rows_1336228033_2022_2026/permit_100100122,high
residential_multicard_17044240600000,replace_with_building,residential_adjudicated_dearborn_2007,The stable card reports one 2007 building; the transient 2010 year and duplicated 2021 card do not persist.,assessor_rows_1704424060_2008_2026/address_1011_dearborn,high
residential_multicard_24132240320000,replace_with_building,residential_adjudicated_western_2007,The stable later assessor record and permit identify one mixed-use building with three dwellings; an early four-unit report does not persist.,permit_100106040/assessor_rows_2413224032_2016_2026,high
residential_tieback_14283040840000,replace_with_building,residential_adjudicated_geneva_2007,"The 2007 assessor building predates a documented 2013 addition; the 2014 new-construction permit is for accessory storage, not a residence.",permits_100488318_100538073/assessor_rows_1428304084_2008_2014,high
residential_tieback_14324160450000,replace_with_two_buildings,residential_adjudicated_maud_1858_2017/residential_adjudicated_maud_1860_2017,Two cancelled 2014 permits were replaced by two completed 2017 single-family permits and stable successor assessor buildings.,permits_100681310_100690208/current_pins_1432416045_1432416046,high
residential_tieback_17344230080000,exclude_unverified_physical_home_count,,User approved density exclusion pending physical home count; withdraw the unsupported two-home total.,assessor_cards_1734423008_card1_card3/current_pins_1734423008_1734423021; user approval 2026-09-08; residential_reviewed ledgers,approved_treatment
residential_tieback_20213050090000,exclude_unverified_land_area,,Four buildings and twelve apartments supported; user requires source-reported land area. Assessor total conflicts with historical map; analyst-calculated polygon area is not allowed. Exclude from density pending reliable reported area.,permits_100210270_100211237_100211244_100210380/assessor_cards_2021305009_2021305025; user approval 2026-09-08; residential_reviewed ledgers,approved_treatment
residential_tieback_14293040500000,exclude_source_duplicate_keep_successors,residential_14293040740000/residential_14293040750000,The former two-house development contains the separately retained 2736 and 2740 N Lakewood houses. Historical site geometry and permits establish identity; 2736 retains the old 4202 floor area and 2740 has a revised reported area. PIN4074 current address incorrectly says Diversey; exact-pin permit101068817 identifies 2736 Lakewood. Do not substitute neighboring2744.,permits_100458997_100465843_101068817/historical_site_2013,high
residential_tieback_16013250500000,exclude_source_duplicate_keep_successors,residential_16013250630000/residential_16013250640000/residential_16013250650000/residential_16013250660000/residential_16013250670000/residential_16013250680000,Six individually retained Mozart homes occupy the former Chicago Avenue site. Six completed 2013 permits and the 2013 commercial-building demolition precede their 2014 Assessor years. The old2011 combined cards are not additional houses.,permits_100503578_100503581_100503589_100503590_100503591_100503592_100501092/historical_site_2011,high
residential_tieback_14301180050000,exclude_source_duplicate_keep_successors,residential_14301180540000/residential_14301180550000/residential_14301180560000/residential_14301180570000/residential_14301180580000/residential_14301180590000/residential_14301180600000/residential_14301180610000/residential_14301180620000/residential_14301180630000/residential_14301180640000/residential_14301180650000/residential_14301180660000/residential_14301180670000/residential_14301180680000,This old parcel group is part of the same fifteen-home Oakley development. The union of all three former groups contains all fifteen separately retained homes; permit100465982 covers the fifteen homes. Retire all old groups collectively; do not assign identical cards to houses by floor area or count parents again. User approved individual homes in2014.,permit_100465982/historical_site_union_2013/current_pins_1430118054_1430118068,high
residential_tieback_14301180060000,exclude_source_duplicate_keep_successors,residential_14301180540000/residential_14301180550000/residential_14301180560000/residential_14301180570000/residential_14301180580000/residential_14301180590000/residential_14301180600000/residential_14301180610000/residential_14301180620000/residential_14301180630000/residential_14301180640000/residential_14301180650000/residential_14301180660000/residential_14301180670000/residential_14301180680000,This old parcel group is part of the same fifteen-home Oakley development. The union of all three former groups contains all fifteen separately retained homes; permit100465982 covers the fifteen homes. Retire all old groups collectively; do not assign identical cards to houses by floor area or count parents again. User approved individual homes in2014.,permit_100465982/historical_site_union_2013/current_pins_1430118054_1430118068,high
residential_tieback_14301180220000,exclude_source_duplicate_keep_successors,residential_14301180540000/residential_14301180550000/residential_14301180560000/residential_14301180570000/residential_14301180580000/residential_14301180590000/residential_14301180600000/residential_14301180610000/residential_14301180620000/residential_14301180630000/residential_14301180640000/residential_14301180650000/residential_14301180660000/residential_14301180670000/residential_14301180680000,This old parcel group is part of the same fifteen-home Oakley development. The union of all three former groups contains all fifteen separately retained homes; permit100465982 covers the fifteen homes. Retire all old groups collectively; do not assign identical cards to houses by floor area or count parents again. User approved individual homes in2014.,permit_100465982/historical_site_union_2013/current_pins_1430118054_1430118068,high
residential_tieback_13011030250000,exclude_source_duplicate_keep_successors,residential_13011030580000/residential_13011030590000/residential_13011030600000/residential_13011030610000/residential_13011030620000/residential_13011030630000/residential_13011030640000,The seven individually retained 2007 east-side houses are explicitly named in permit 100171627 (6328 through 6340 N Sacramento). Old repeated cards do not establish additional completed homes. The seven proposed west-side homes are not imputed; later construction on the remaining site stays separate.,permit_100171627/assessor_1301103058_through_1301103064/historical_parent_polygon,reviewed_source_identity
residential_tieback_13362290130000,exclude_source_duplicate_keep_successors,residential_13362290760000/residential_13362290770000/residential_13362290780000/residential_13362290790000/residential_13362290800000/residential_13362290810000/residential_13362290820000/residential_13362290830000/residential_13362290840000,"The historical parent site contains nine individually retained townhomes matching the nine old card positions. Repeated cards across parent parcels are not additional homes. Preserve individual Assessor years and measurements, including the larger fifth unit.",historical_parent_polygon/assessor_parent_cards_and_numbered_successor_homes,reviewed_source_identity
residential_tieback_13362290160000,exclude_source_duplicate_keep_successors,residential_tieback_13362290580000/residential_tieback_13362290600000/residential_tieback_13362290620000/residential_tieback_13362290640000/residential_tieback_13362290660000/residential_tieback_13362290680000/residential_tieback_13362290700000/residential_tieback_13362290720000/residential_tieback_13362290740000,"The historical parent site contains nine individually retained townhomes matching the nine old card positions. Repeated cards across parent parcels are not additional homes. Preserve individual Assessor years and measurements, including the larger fifth unit.",historical_parent_polygon/assessor_parent_cards_and_numbered_successor_homes,reviewed_source_identity
residential_tieback_13364070120000,exclude_source_duplicate_keep_successors,residential_13364070410000/residential_13364070420000/residential_13364070430000/residential_13364070460000/residential_13364070470000/residential_13364070480000/residential_13364070490000/residential_13364070500000/residential_13364070510000/residential_13364070520000/residential_13364070530000/residential_13364070540000/residential_13364070550000/residential_13364070560000/residential_13364070570000/residential_13364070600000/residential_13364070610000/residential_13364070620000/residential_13364070630000/residential_13364070640000/residential_13364070650000/residential_13364070660000/residential_13364070670000/residential_13364070680000/residential_13364070690000/residential_13364070700000/residential_tieback_13364070440000/residential_tieback_13364070580000,"The historical parent site covers the listed individually retained Enclave townhomes. Retire the old combined record without reallocating land or changing individual measurements. Four reviewed parent groups cover 46 homes; two other retained homes bring the development to 48, consistent with the completed permit revision.",permits_100645761_100645755_100645751_100645747_100645743_100645740_100645735_100645729/revision_100699119/historical_parent_polygon,reviewed_source_identity
residential_tieback_13364070350000,exclude_source_duplicate_keep_successors,residential_13364070740000/residential_13364070750000/residential_13364070840000/residential_13364070850000,"The historical parent site covers the listed individually retained Enclave townhomes. Retire the old combined record without reallocating land or changing individual measurements. Four reviewed parent groups cover 46 homes; two other retained homes bring the development to 48, consistent with the completed permit revision.",permits_100645761_100645755_100645751_100645747_100645743_100645740_100645735_100645729/revision_100699119/historical_parent_polygon,reviewed_source_identity
residential_tieback_13364070370000,exclude_source_duplicate_keep_successors,residential_13364070760000/residential_13364070770000/residential_13364070860000/residential_13364070870000,"The historical parent site covers the listed individually retained Enclave townhomes. Retire the old combined record without reallocating land or changing individual measurements. Four reviewed parent groups cover 46 homes; two other retained homes bring the development to 48, consistent with the completed permit revision.",permits_100645761_100645755_100645751_100645747_100645743_100645740_100645735_100645729/revision_100699119/historical_parent_polygon,reviewed_source_identity
residential_tieback_13364070380000,exclude_source_duplicate_keep_successors,residential_13364070780000/residential_13364070790000/residential_13364070800000/residential_13364070810000/residential_13364070820000/residential_13364070880000/residential_13364070890000/residential_13364070900000/residential_13364070910000/residential_13364070920000,"The historical parent site covers the listed individually retained Enclave townhomes. Retire the old combined record without reallocating land or changing individual measurements. Four reviewed parent groups cover 46 homes; two other retained homes bring the development to 48, consistent with the completed permit revision.",permits_100645761_100645755_100645751_100645747_100645743_100645740_100645735_100645729/revision_100699119/historical_parent_polygon,reviewed_source_identity
residential_tieback_14064010160000,exclude_source_duplicate_keep_successors,residential_14064010660000/residential_14064010670000,The old combined site contains the separately retained 5931 and 5933 N Hermitage houses. Their 2016 construction permits rule out the old 2014 year. Preserve the individual 2017 and approved 2016 proxies and each house's source-reported measurements.,permits_100651021_100651045/historical_parent_polygon/assessor_1406401066_1406401067,reviewed_source_identity
residential_tieback_14201130240000,exclude_source_duplicate_keep_successors,residential_14201130520000/residential_14201130530000,"The historical parent site contains the separately retained 3752 and 3754 N Janssen houses. Preserve individual Assessor years and measurements. The current marketed 3752 property includes an additional side lot, so its combined marketed land area does not replace these individual denominators.",historical_parent_polygon/assessor_1420113052_1420113053/https://www.zillow.com/homedetails/3752-N-Janssen-Ave-Chicago-IL-60613/89897007_zpid/,reviewed_source_identity
residential_tieback_16133040020000,exclude_source_duplicate_keep_successors,residential_16133040430000/residential_16133040440000/residential_16133040450000/residential_16133040480000/residential_16133040490000/residential_16133040500000,Historical parent contains the six individually retained 2008 homes at 707-713 Kedzie; two permits authorize three homes each. Retire repeated parent cards without changing individual measurements.,permits_100153502_100153504/historical_parent_parcels,high
residential_tieback_17211140190000,exclude_source_duplicate_keep_successors,residential_17211140270000/residential_17211140280000/residential_17211140290000/residential_17211140300000/residential_17211140310000,Historical parent contains the five individually retained Liberty townhomes matching the five-home permit. Retire repeated parent cards; preserve individual Assessor years and measurements.,permit_100686608/historical_parent_parcels,high
residential_tieback_17103180510000,exclude_source_duplicate_keep_successors,residential_multicard_17103180700000,Nine repeated 4086-square-foot cards describe the retained Aqua Parkhomes. Retire the older parent; density of the retained parkhomes remains withheld because the land covers a shared site.,assessor_cards_1710318051_1710318070/https://www.ojb.com/news/the-park-at-lakeshore-east-master-plan-wins-2011-burnham-award-for-planning-excellence/,high
residential_multicard_17103180700000,withhold_density,residential_multicard_17103180700000,Nine Parkhomes occupy the Aqua podium. The reported 163685-square-foot land is not established as their separate site; preserve buildings but withhold both density measures pending shared-site reconciliation.,https://www.ojb.com/news/the-park-at-lakeshore-east-master-plan-wins-2011-burnham-award-for-planning-excellence/,approved_treatment
residential_tieback_17313060060000,exclude_source_duplicate_keep_successors,residential_17313060630000/residential_17313060640000/residential_17313060650000/residential_17313060660000/residential_17313060670000/residential_17313060680000,Six separately measured Hoyne townhomes retained in 2007; the historical parent contains all six and the 2006 permit authorizes six homes.,permit_100080308/historical_parent_parcel_containment,high
residential_tieback_17314200230000,exclude_source_duplicate_keep_successors,residential_17314200510000/residential_17314200520000/residential_17314200530000/residential_17314200540000/residential_17314200550000/residential_17314200560000,Six separately measured 38th Street townhomes retained with their completed Assessor years 2018-2019; the 2017 permit names all six addresses.,permit_100712131/historical_parent_parcel_containment,high
residential_tieback_17321110420000,exclude_source_duplicate_keep_successors,residential_17321110790000/residential_17321110800000/residential_17321110810000/residential_17321110820000,Old Justine development cards overlap the sixteen separately measured 2019 townhomes. Historical parcel coverage and two eight-home permits establish the completed development; preserve individual measurements.,permits_100710940_100711289/historical_parent_parcel_containment,high
residential_tieback_17321110440000,exclude_source_duplicate_keep_successors,residential_17321110780000/residential_17321110830000,Old Justine development cards overlap the sixteen separately measured 2019 townhomes. Historical parcel coverage and two eight-home permits establish the completed development; preserve individual measurements.,permits_100710940_100711289/historical_parent_parcel_containment,high
residential_tieback_17321110450000,exclude_source_duplicate_keep_successors,residential_17321110770000/residential_17321110840000,Old Justine development cards overlap the sixteen separately measured 2019 townhomes. Historical parcel coverage and two eight-home permits establish the completed development; preserve individual measurements.,permits_100710940_100711289/historical_parent_parcel_containment,high
residential_tieback_17321110460000,exclude_source_duplicate_keep_successors,residential_17321110730000/residential_17321110740000/residential_17321110750000/residential_17321110760000/residential_17321110850000/residential_17321110860000/residential_17321110870000/residential_17321110880000,Old Justine development cards overlap the sixteen separately measured 2019 townhomes. Historical parcel coverage and two eight-home permits establish the completed development; preserve individual measurements.,permits_100710940_100711289/historical_parent_parcel_containment,high
residential_tieback_17223100230000,exclude_source_duplicate_keep_successors,residential_tieback_17223100260000/residential_17223100280000/residential_17223100290000/residential_17223100300000/residential_17223100310000/residential_17223100320000/residential_17223100330000/residential_17223100340000,"Eight townhouse card signatures on the old two-parcel record end in 2014; eight corresponding homes appear on successor records in 2015. The end home spans PIN026/027; six interior homes use PIN028-033 and the other end home PIN034. Keep the individually measured 2009 homes using 2025-2026 reported lots, and retire the obsolete parent. The tower condominium base is not a replacement for these eight townhomes.",assessor_history_2014_1722310023_1722310024/assessor_history_2015_2025_1722310026_through_1722310035,high
residential_tieback_17293100010000,exclude_source_duplicate_keep_successors,residential_17293100550000/residential_17293100560000/residential_17293100570000/residential_17293100580000/residential_17293100590000/residential_17293100600000/residential_17293100610000/residential_17293100620000/residential_17293100630000/residential_17293100640000/residential_17293300010000/residential_17293300020000/residential_17293300030000/residential_17293300040000/residential_17293300050000/residential_17293300060000/residential_17293300070000/residential_17293300090000/residential_17293300100000/residential_17293300110000/residential_17293300120000/residential_17293300130000/residential_17293300140000/residential_17293300150000/residential_17293300160000/residential_17293300170000/residential_17293300180000,Historical parent contains these individually measured homes; retire obsolete development cards. Approved completion-year corrections apply to the affected individual homes upstream; keep separate source-reported density measurements.,historical_parent_containment/exact_address_new_building_permits/residential_reviewed_construction_years.csv/user_approval_2026-09-09,approved_treatment
residential_tieback_17324080040000,exclude_source_duplicate_keep_successors,residential_17324081410000/residential_17324081420000/residential_17324081430000/residential_17324081440000/residential_17324081450000/residential_17324081460000/residential_17324081470000,Historical parent contains these individually measured homes; retire obsolete development cards. Approved completion-year corrections apply to the affected individual homes upstream; keep separate source-reported density measurements.,historical_parent_containment/exact_address_new_building_permits/residential_reviewed_construction_years.csv/user_approval_2026-09-09,approved_treatment
residential_tieback_17332080010000,exclude_source_duplicate_keep_successors,residential_17332080500000/residential_17332080510000/residential_17332080520000/residential_17332080530000,"Historical development parcels contain the individually measured townhomes at the exact addresses in the new-building permits. Retire repeated parent cards; retain separate completed Assessor homes with their existing years, floor areas and individual reported lots.",historical_parent_containment/permits_100812364/100821143/completed_assessor_records,high
residential_tieback_17332080030000,exclude_source_duplicate_keep_successors,residential_17332080540000/residential_17332080550000/residential_17332080560000/residential_17332080570000/residential_17332080580000/residential_17332080590000/residential_17332080600000/residential_17332080610000,"Historical development parcels contain the individually measured townhomes at the exact addresses in the new-building permits. Retire repeated parent cards; retain separate completed Assessor homes with their existing years, floor areas and individual reported lots.",historical_parent_containment/permits_100812364/100821143/completed_assessor_records,high
residential_tieback_17332080100000,exclude_source_duplicate_keep_successors,residential_17332080350000/residential_17332080360000/residential_17332080370000/residential_17332080380000/residential_17332080390000/residential_17332080400000/residential_17332080410000/residential_17332080420000/residential_17332080430000/residential_17332080440000/residential_17332080450000/residential_17332080460000/residential_17332080470000/residential_17332080480000,"Historical development parcels contain the individually measured townhomes at the exact addresses in the new-building permits. Retire repeated parent cards; retain separate completed Assessor homes with their existing years, floor areas and individual reported lots.",historical_parent_containment/permits_100642492/completed_assessor_records,high
residential_tieback_17331130380000,exclude_source_duplicate_keep_successors,residential_17331130540000,Historical parent contains completed individual homes on PINs1733113053-3056. Keep separately measured3253Parnell in2006; other completed home records report2005 and remain outside the study period. Jacob approved completed Assessor years rather than the obsolete combined2006 record.,historical_parent_containment/completed_assessor_PINS1733113053_through3056/user_approval_2026-09-09,approved_treatment
residential_tieback_17333050280000,exclude_source_duplicate_keep_successors,residential_17333050410000/residential_17333050420000/residential_17333050430000/residential_17333050440000/residential_17333050450000/residential_17333050460000,Approved separate completed homes replace obsolete combined development cards; retain individual source-reported measurements and approved completion proxies.,User approval 2026-09-09; release_review.md firmer recommendations; historical parcel containment and Assessor records,approved_treatment
residential_tieback_19171010200000,exclude_source_duplicate_keep_successors,residential_19171010550000,Approved separate completed homes replace obsolete combined development cards; retain individual source-reported measurements and approved completion proxies.,User approval 2026-09-09; release_review.md firmer recommendations; historical parcel containment and Assessor records,approved_treatment
residential_tieback_19192130050000,exclude_source_duplicate_keep_successors,residential_19192130240000/residential_19192130250000/residential_19192130260000/residential_19192130270000/residential_19192130280000,Approved separate completed homes replace obsolete combined development cards; retain individual source-reported measurements and approved completion proxies.,User approval 2026-09-09; release_review.md firmer recommendations; historical parcel containment and Assessor records,approved_treatment
residential_tieback_20021020140000,exclude_source_duplicate_keep_successors,residential_20021020430000/residential_20021020440000/residential_20021020450000/residential_20021020460000/residential_20021020470000/residential_20021020480000/residential_20021020490000/residential_20021020500000,Approved separate completed homes replace obsolete combined development cards; retain individual source-reported measurements and approved completion proxies.,User approval 2026-09-09; release_review.md firmer recommendations; historical parcel containment and Assessor records,approved_treatment
residential_tieback_20024000310000,exclude_source_duplicate_keep_successors,residential_20024000770000/residential_20024000780000/residential_20024000790000,Approved separate completed homes replace obsolete combined development cards; retain individual source-reported measurements and approved completion proxies.,User approval 2026-09-09; release_review.md firmer recommendations; historical parcel containment and Assessor records,approved_treatment
residential_tieback_20174140240000,withhold_density,,User approved withholding density: source-reported campus land cannot be assigned to the reviewed Hope Manor II buildings.,last_fifteen_review/user_approval_2026_09_09,approved_treatment
residential_overlap_20153010080000,withhold_density,,User approved withholding density: St Edmund building counts and reported parcel measurements do not describe a verified common set of buildings.,last_fifteen_review/user_approval_2026_09_09,approved_treatment
residential_overlap_20153020050000,withhold_density,,User approved withholding density: St Edmund building counts and reported parcel measurements do not describe a verified common set of buildings.,last_fifteen_review/user_approval_2026_09_09,approved_treatment
residential_overlap_20153020180000,withhold_density,,User approved withholding density: St Edmund building counts and reported parcel measurements do not describe a verified common set of buildings.,last_fifteen_review/user_approval_2026_09_09,approved_treatment
residential_tieback_20153020060000,withhold_density,,User approved withholding density: St Edmund building counts and reported parcel measurements do not describe a verified common set of buildings.,last_fifteen_review/user_approval_2026_09_09,approved_treatment
