source_family,source_project_id,final_project_id,application_stage,application_scope,action,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,reported_construction_year,reported_land_sqft,year_source,units_source,building_source,land_source,decision_source,decision_reason,evidence_ids,evidence_urls,confidence,unresolved_caveat,reviewer,review_date,status
residential,residential_20024051150000,residential_20024051150000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051160000,residential_20024051160000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051170000,residential_20024051170000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051180000,residential_20024051180000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051190000,residential_20024051190000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20232130980000,residential_20232130980000,project_identity,construction_year,,2017,,,,,,2014,,,,,,,User approved 2017 completion proxy,October 2016 permit 100658166; 2017 first assessment and electrical permits; December 2017 listing and June 2018 sale; user approval 2026-09-08; retain 2018 assessment and original lot,,,,,,
residential,residential_20232130970000,residential_20232130970000,project_identity,construction_year,,2018,,,,,,2017,,,,,,,User approved 2018 completion year,Permit 100658165; 2018 original new-construction listing and sale; successor Assessor year 2018; user approval 2026-09-08; retain coherent 2018 original-lot assessment,,,,,,
residential,residential_13364220500000,residential_13364220500000,project_identity,construction_year,,2007,,,,,,2005,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_13364220510000,residential_13364220510000,project_identity,construction_year,,2007,,,,,,2005,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_13364220520000,residential_13364220520000,project_identity,construction_year,,2007,,,,,,2006,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_13364220530000,residential_13364220530000,project_identity,construction_year,,2007,,,,,,2005,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_13364220540000,residential_13364220540000,project_identity,construction_year,,2007,,,,,,2005,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_13364220550000,residential_13364220550000,project_identity,construction_year,,2007,,,,,,2005,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_13364220560000,residential_13364220560000,project_identity,construction_year,,2007,,,,,,2005,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_13364220570000,residential_13364220570000,project_identity,construction_year,,2007,,,,,,2005,,,,,,,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08,,,,,,
residential,residential_16094170260000,residential_16094170260000,project_identity,construction_year,,2022,,,,,,2022,,,,,,,Retain Assessor 2022 proxy after conflicting rental year review,User decision 2026-09-08; Redfin reports 2022 and September 29 2022 sale: https://www.redfin.com/IL/Chicago/184-N-Lamon-Ave-60644/home/180693566,,,,,,
residential,residential_14293190620000,residential_14293190620000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User-approved 2014 listing-based completion proxy; sale records straddle December 2013 and January 2014; preserve Assessor measurements,RD Precision 2014 house in listing brokerage MLS 10840959; new-building permit 100487720 issued June 2013; https://www.atproperties.com/10840959/2439-n-greenview-avenue-chicago-illinois-60614-nei; user approval 2026-09-08,,,,,,
residential,residential_14301180540000,residential_14301180540000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180550000,residential_14301180550000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180560000,residential_14301180560000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180570000,residential_14301180570000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180580000,residential_14301180580000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180590000,residential_14301180590000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180600000,residential_14301180600000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180610000,residential_14301180610000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180620000,residential_14301180620000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180630000,residential_14301180630000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180640000,residential_14301180640000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180650000,residential_14301180650000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180660000,residential_14301180660000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180670000,residential_14301180670000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14301180680000,residential_14301180680000,project_identity,construction_year,,2014,,,,,,2012,,,,,,,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026,,,,,,
residential,residential_14293010050000,residential_14293010050000,project_identity,construction_year,,2017,,,,,,2021,,,,,,,User approved2017 completion proxy for1513 and1517Diversey; retain separate six-flat and its Assessor measurements.,permit_100580959/https://www.loopnet.com/Listing/1513-1517-W-Diversey-Pky-Chicago-IL/20030790/; user approval September9 2026,,,,,,
residential,residential_17293300010000,residential_17293300010000,project_identity,construction_year,,2011,,,,,,2008,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293300020000,residential_17293300020000,project_identity,construction_year,,2011,,,,,,2008,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293300030000,residential_17293300030000,project_identity,construction_year,,2011,,,,,,2008,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293300050000,residential_17293300050000,project_identity,construction_year,,2011,,,,,,2008,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293300060000,residential_17293300060000,project_identity,construction_year,,2011,,,,,,2008,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293300040000,residential_17293300040000,project_identity,construction_year,,2012,,,,,,2010,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293100550000,residential_17293100550000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293100560000,residential_17293100560000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293100570000,residential_17293100570000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293100580000,residential_17293100580000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17293300180000,residential_17293300180000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings,,,,,,
residential,residential_17324081410000,residential_17324081410000,project_identity,construction_year,,2017,,,,,,2016,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858,,,,,,
residential,residential_17324081420000,residential_17324081420000,project_identity,construction_year,,2017,,,,,,2016,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858,,,,,,
residential,residential_17324081430000,residential_17324081430000,project_identity,construction_year,,2017,,,,,,2016,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858,,,,,,
residential,residential_17324081440000,residential_17324081440000,project_identity,construction_year,,2017,,,,,,2016,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858,,,,,,
residential,residential_17324081450000,residential_17324081450000,project_identity,construction_year,,2017,,,,,,2016,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858,,,,,,
residential,residential_17324081460000,residential_17324081460000,project_identity,construction_year,,2017,,,,,,2016,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858,,,,,,
residential,residential_17324081470000,residential_17324081470000,project_identity,construction_year,,2017,,,,,,2016,,,,,,,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858,,,,,,
residential,residential_17333050410000,residential_17333050410000,project_identity,construction_year,,2016,,,,,,2014,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_17333050420000,residential_17333050420000,project_identity,construction_year,,2017,,,,,,2014,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_17333050430000,residential_17333050430000,project_identity,construction_year,,2016,,,,,,2015,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_17333050440000,residential_17333050440000,project_identity,construction_year,,2016,,,,,,2014,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_17333050450000,residential_17333050450000,project_identity,construction_year,,2016,,,,,,2014,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_17333050460000,residential_17333050460000,project_identity,construction_year,,2016,,,,,,2014,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_19192130240000,residential_19192130240000,project_identity,construction_year,,2013,,,,,,2006,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_19192130250000,residential_19192130250000,project_identity,construction_year,,2013,,,,,,2006,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_19192130260000,residential_19192130260000,project_identity,construction_year,,2013,,,,,,2006,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_19192130270000,residential_19192130270000,project_identity,construction_year,,2013,,,,,,2006,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_19192130280000,residential_19192130280000,project_identity,construction_year,,2013,,,,,,2006,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_20024000770000,residential_20024000770000,project_identity,construction_year,,2010,,,,,,2008,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_20024000780000,residential_20024000780000,project_identity,construction_year,,2009,,,,,,2008,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_20024000790000,residential_20024000790000,project_identity,construction_year,,2010,,,,,,2008,,,,,,,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history,,,,,,
residential,residential_16133150550000,residential_16133150550000,project_identity,construction_year,,2010,,,,,,2008,,,,,,,Three separately measured Polk three-flats; 2009 new-building permits and first completed assessments in 2010 contradict 2008.,permits_100274822_100274824_100312779; user approval 2026-09-09,,,,,,
residential,residential_16133150560000,residential_16133150560000,project_identity,construction_year,,2010,,,,,,2008,,,,,,,Three separately measured Polk three-flats; 2009 new-building permits and first completed assessments in 2010 contradict 2008.,permits_100274822_100274824_100312779; user approval 2026-09-09,,,,,,
residential,residential_16133150570000,residential_16133150570000,project_identity,construction_year,,2010,,,,,,2008,,,,,,,Three separately measured Polk three-flats; 2009 new-building permits and first completed assessments in 2010 contradict 2008.,permits_100274822_100274824_100312779; user approval 2026-09-09,,,,,,
residential,residential_17324080800000,residential_17324080800000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
residential,residential_17324080810000,residential_17324080810000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
residential,residential_17324080820000,residential_17324080820000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
residential,residential_17324080830000,residential_17324080830000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
residential,residential_17324080840000,residential_17324080840000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
residential,residential_17324080850000,residential_17324080850000,project_identity,construction_year,,2013,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
residential,residential_17324080860000,residential_17324080860000,project_identity,construction_year,,2014,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
residential,residential_17324080870000,residential_17324080870000,project_identity,construction_year,,2014,,,,,,2011,,,,,,,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09,,,,,,
