project_id,multifamily,classification_source,evidence_urls,decision_reason,review_date
residential_17173230250000,TRUE,recorded_project_building_type_review,https://affordablehousingonline.com/housing-search/Illinois/Chicago/Roosevelt-Square-Phase-I/10028214,"Jacob accepted the later Assessor year 2006 on 2026-09-07, consistent with final completion of the rental phase. Earlier Assessor reports give 2005; the phase date does not independently date this building.",
commercial_17073270380000,TRUE,recorded_project_building_type_review,https://www.realtor.com/realestateandhomes-detail/2006-W-Warren-Blvd-Unit-4SW_Chicago_IL_60612_M78740-41962,MLS and building records consistently date the 2000-2006 W Warren development to 2007 rather than the Assessor's selected 2006 year.,
residential_16123200350000,TRUE,recorded_project_building_type_review,https://www.redfin.com/IL/Chicago/3020-W-Washington-Blvd-60612/home/185189364,"The exact-PIN MLS record identifies a three-unit 2006 building and confirms the Assessor's 4,320-square-foot building and 4,997-square-foot lot.",
residential_tieback_14292270330000,TRUE,recorded_project_building_type_review,https://www.compass.com/building/1130-w-diversey-pkwy-chicago-il-60614/593000926977793293/,The whole-building MLS record identifies a six-unit building completed in 2007. The predecessor tieback's four-unit count and 2006 year are corrected.,
residential_20034010280000,TRUE,recorded_project_building_type_review,https://www.compass.com/building/4318-s-forrestville-ave-chicago-il-60653/592876679982812709/,"The whole-building MLS record identifies three units completed in 2007, correcting the Assessor's four-unit count and 2006 year.",
residential_20103130180000,TRUE,recorded_project_building_type_review,https://www.zillow.com/homedetails/5331-S-Calumet-Ave-Chicago-IL-60615/449587971_zpid/,The whole-building MLS listing explicitly describes a four-unit 2007 construction project and confirms the parcel and unit count.,
residential_20103130190000,TRUE,recorded_project_building_type_review,https://www.nwsrealestate.com/property-search/detail/28/12474522/5333-s-calumet-ave-chicago-il/,The whole-building MLS listing explicitly describes a four-unit 2007 construction project and confirms the parcel and unit count.,
residential_13352240480000,TRUE,recorded_project_building_type_review,https://www.zillow.com/homedetails/3312-W-Dickens-Ave-Chicago-IL-60647/441025200_zpid/,Exact-PIN records consistently identify one two-unit 2008 building and confirm the Assessor's building and lot areas.,
residential_14292270580000,TRUE,recorded_project_building_type_review,https://www.realtor.com/realestateandhomes-detail/1136-W-Diversey-Pkwy-Unit-3_Chicago_IL_60614_M88250-34331,MLS history shows the completed building offered for rent in late 2006 and consistently treats it as 2007 construction. The Assessor's selected 2008 year is corrected to 2007.,
commercial_17344220040000,TRUE,recorded_project_building_type_review,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",
commercial_17344220060000,TRUE,recorded_project_building_type_review,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",
commercial_17344280090000,TRUE,recorded_project_building_type_review,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",
commercial_17344280170000,TRUE,recorded_project_building_type_review,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",
commercial_20211270100000,TRUE,recorded_project_building_type_review,,"The exact parcel consistently identifies one eight-unit 2008 building with stable physical fields, and no permit, sale, or footprint evidence contradicts the new-construction designation.",
commercial_17344220050000,TRUE,recorded_project_building_type_review,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",
residential_16132140720000,TRUE,recorded_project_building_type_review,https://www.redfin.com/IL/Chicago/201-S-Maplewood-Ave-60612/home/45511010,"The exact parcel record identifies a six-unit 2010 building and confirms 8,782 square feet of building area and 7,184 square feet of land.",
residential_16132140680000,TRUE,recorded_project_building_type_review,https://www.crexi.com/property-records/16132140680000-CHICAGO-IL-60612-5358/255ec4dba7fc2ab44783ea6beb6758e4424f29b2,"The exact PIN identifies the four-unit 2011 building. A different older PIN shares the mailing address, but it is a separate parcel and does not duplicate this project.",
commercial_17344300020000,TRUE,recorded_project_building_type_review,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores component. Official housing records corroborate continued phased development, and the component's 2012 year and physical fields are stable in the Assessor history.",
residential_16121090030000,TRUE,recorded_project_building_type_review,https://www.redfin.com/IL/Chicago/3143-W-Franklin-Blvd-60612/home/167620713,The exact parcel record identifies one six-unit 2015 building with the Assessor's physical fields and no contradictory evidence.,
residential_20113140040000,TRUE,recorded_project_building_type_review,https://www.compass.com/building/5317-s-maryland-ave-chicago-il-60615/593142463749414757/,Whole-building and unit-level MLS records consistently date the four-unit condominium building to 2018 rather than the Assessor's selected 2015 year.,
residential_13154180310000,FALSE,recorded_project_building_type_review,,"The two Belle Plaine rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and separate land records. The shared 4022 address is an address-history artifact rather than evidence that the projects are duplicated.",
residential_13154180320000,FALSE,recorded_project_building_type_review,,"The two Belle Plaine rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and separate land records. The shared 4022 address is an address-history artifact rather than evidence that the projects are duplicated.",
residential_13222210370000,FALSE,recorded_project_building_type_review,,"The two Keeler rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and distinct building-area records. The shared 3604 address is an address-history artifact rather than evidence that the projects are duplicated.",
residential_13222210380000,FALSE,recorded_project_building_type_review,,"The two Keeler rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and distinct building-area records. The shared 3604 address is an address-history artifact rather than evidence that the projects are duplicated.",
residential_17171050970000,FALSE,recorded_project_building_type_review,,The Monroe rows have separate PINs and nonoverlapping construction-year parcel polygons. The repeated unit number reflects the collapsed historical address; the neighboring parcels are separate townhouses.,
residential_17171051160000,FALSE,recorded_project_building_type_review,,The Monroe rows have separate PINs and nonoverlapping construction-year parcel polygons. The repeated unit number reflects the collapsed historical address; the neighboring parcels are separate townhouses.,
residential_multicard_17211230250000,TRUE,recorded_project_building_type_review,,The five-card PIN is the original Emerald project and is supported by a new-building permit. Its five cards have distinct dwelling records and share one project-level land record.,
residential_multicard_25194030020000,TRUE,recorded_project_building_type_review,,"The five-card PIN is the original Vincennes project. Its five cards have stable, distinct dwelling records and share one project-level land record.",
residential_17171051140000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171050980000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171050990000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171051000000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171051010000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171051020000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171051030000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171051040000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_17171051050000,FALSE,recorded_project_building_type_review,,"This unit is part of the separately parceled Monroe townhouse development. City permit records and contemporaneous property records support the development, and the construction-year parcel does not overlap neighboring units.",
residential_19174170050000,FALSE,recorded_project_building_type_review,,"The parcel sold as land in November 2005, and the first Assessor record reports a 2006 building with the same physical characteristics retained thereafter. Later Assessor records alternately report 2007 and 2009, so 2006 is retained with medium confidence.",
residential_19201120560000,FALSE,recorded_project_building_type_review,https://www.zillow.com/homedetails/6448-S-Mobile-Ave-UNIT-1W-Chicago-IL-60638/80813076_zpid/,Contemporaneous property records identify the townhouse development as built in 2006. The Assessor reported 2006 until revising the year to 2008 in 2022.,
residential_tieback_17341210020000,FALSE,recorded_project_building_type_review,https://www.propertyreach.com/il/chicago/33rd,"A City permit authorized a new single-family residence at the site, and the two component PINs are duplicate tax records for one physical project. Assessor history reports 2008 or 2009; the selected 2008 year is retained with medium confidence.",
residential_13321220070000,FALSE,recorded_project_building_type_review,,"The parcel sold as land in April 2006 and as land plus building in August 2007. The Assessor first reported 2008 and later revised the year to 2009, but the completed-building sale establishes 2007.",
residential_17042080350000,FALSE,recorded_project_building_type_review,,"A 2010 exact-site permit authorizes construction of a new four-story single-family home. The Assessor first reports the completed 4,093-square-foot building in 2012 with year built 2011.",
