project_id,pin,reference_year,target_year,source,reason,reviewer,review_date
residential_condo_1601427051,16014270511001,2025,2022,parcel_universe_2025,Approved finished six-home condo identity; all six current condo PINs share one point inside the historical development parcel; use its building location and separately reported 6137 square feet of land,Codex,2026-09-09
residential_condo_1432224070,14322240701001,2025,2012,parcel_universe_2025,Completed condo cohort and permits establish this same building or common-site project. Use its exact parcel point within the historical site rather than the old development centroid; source land is reported separately.,Codex,2026-09-09
residential_condo_1432224071,14322240711001,2025,2012,parcel_universe_2025,Completed condo cohort and permits establish this same building or common-site project. Use its exact parcel point within the historical site rather than the old development centroid; source land is reported separately.,Codex,2026-09-09
residential_condo_1601317037,16013170371001,2025,2018,parcel_universe_2025,Completed condo cohort and permits establish this same building or common-site project. Use its exact parcel point within the historical site rather than the old development centroid; source land is reported separately.,Codex,2026-09-09
residential_condo_1708253039,17082530391001,2025,2017,parcel_universe_2025,Reviewed completed condo cohort and original building permit identify one building at this exact parcel point. Historical polygon containment is checked in the location producer. Land is independently source-reported.,Codex,2026-09-09
residential_condo_1707325052,17073250521001,2025,2007,parcel_universe_2025,Reviewed completed condo cohort and original building permit identify one building at this exact parcel point. Historical polygon containment is checked in the location producer. Land is independently source-reported.,Codex,2026-09-09
residential_16133150550000,16133150550000,2025,2010,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_16133150560000,16133150560000,2025,2010,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_16133150570000,16133150570000,2025,2010,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080800000,17324080800000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080810000,17324080810000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080820000,17324080820000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080830000,17324080830000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080840000,17324080840000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080850000,17324080850000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080860000,17324080860000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080870000,17324080870000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080880000,17324080880000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080890000,17324080890000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080900000,17324080900000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080910000,17324080910000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080920000,17324080920000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080930000,17324080930000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080940000,17324080940000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080950000,17324080950000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080960000,17324080960000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080970000,17324080970000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080980000,17324080980000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324080990000,17324080990000,2025,2013,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324081000000,17324081000000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324081010000,17324081010000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324081020000,17324081020000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17324081030000,17324081030000,2025,2014,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17083340510000,17083340510000,2025,2010,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_tieback_14313080420000,14313080420000,2025,2017,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_condo_1429227059,14292270591003,2025,2007,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_14292270580000,14292270580000,2025,2008,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_condo_1708334056,17083340561001,2025,2010,parcel_universe_2025,Reviewed completed building or individual townhouse has this exact parcel identity; permits and completed assessments support the same physical building. Use its point with the approved construction-year ward map; retain source-reported land independently.,Codex,2026-09-09
residential_17083340500000,17083340500000,2025,2011,parcel_universe_2025,Exact current parcel address is 19 N Bishop; keep this four-flat separate from 17 and the completed 15 condominium. Use the approved 2011 year and reported lot.,Codex,2026-09-09
