review_priority,project_id,pin,construction_year,ward_pair,distance_to_boundary_ft,within_500ft,review_address,target_cards,target_card_numbers,target_classes,card_units_min,card_units_max,all_cards_single_unit,any_card_multifamily,final_units,final_building_sqft,land_sqft,site_units_exceed_one,building_type_rule,current_footprints,current_footprints_near_construction,current_footprint_area_sum,permit_addresses,permit_unit_values,current_parcels,current_noncondo_parcels,current_condo_pins,distinct_current_addresses,successor_addresses,current_noncondo_assessor_units,current_noncondo_assessor_building_sqft,successor_sqft_ratio,internal_evidence,adjudication_reason,adjudication_confidence,google_maps_url,google_search_query,review_status,google_visual_type,external_structure_class,multifamily_disposition,external_building_count,external_unit_count,external_building_sqft,source_1_url,source_2_url,supports_building_type,supports_final_units,reviewer_notes,review_date
2,residential_multicard_13254120290000,13254120290000,2007,1_35,253.73485156742777,TRUE,2619 N ROCKWELL ST,2,1/2,278,1,1,TRUE,FALSE,2,5270,7228,TRUE,single_family_buildings,2,2,3299.764822030702,2619 N ROCKWELL ST / 2623 N ROCKWELL ST,,2,2,0,2,2619 N ROCKWELL ST | 2623 N ROCKWELL ST,2,5050,0.9582542694497154,multiple_successor_parcels,retain_card_inventory,high,https://www.google.com/maps/search/?api=1&query=2619%20N%20ROCKWELL%20ST%20Chicago%20IL,"""2619 N ROCKWELL ST"" Chicago ""13254120290000""",complete,two_detached_single_family_houses,detached_single_family_collection,exclude,2,2,5270,https://www.redfin.com/IL/Chicago/2623-N-Rockwell-St-60647/home/12731486,https://www.apartments.com/2619-n-rockwell-st-chicago-il/gf61v1y/,TRUE,TRUE,"Separate permits issued in 2007 authorize single-family houses at 2619 and 2623 N Rockwell. Redfin identifies 2623 as a 2007 single-family house, and the two successor parcels reproduce the two one-unit cards. The 5,270-square-foot total is retained from the contemporaneous cards.",2026-07-24
2,residential_multicard_13254280400000,13254280400000,2006,1_35,407.69294326464137,TRUE,2421 N ROCKWELL ST,2,1/2,278,1,1,TRUE,FALSE,2,4964,6300,TRUE,single_family_buildings,4,4,3515.0547119751573,,,2,2,0,2,2419 N ROCKWELL ST | 2421 N ROCKWELL ST,2,4964,1,multiple_successor_parcels,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=2421%20N%20ROCKWELL%20ST%20Chicago%20IL,"""2421 N ROCKWELL ST"" Chicago ""13254280400000""",complete,two_detached_single_family_houses,detached_single_family_collection,exclude,2,2,4964,https://www.redfin.com/IL/Chicago/2419-N-Rockwell-St-60647/home/26806370,https://www.zillow.com/homedetails/2417-N-Rockwell-St-Chicago-IL-60647/337756351_zpid/,TRUE,TRUE,"The parent contains two one-unit class-278 cards. External records identify the successor addresses as large detached single-family houses, and two successor parcels each report 2,482 square feet. The successor rows' 2009 year is a later assessor report of the same two houses rather than evidence of a separate multifamily project.",2026-07-24
2,residential_multicard_13263110220000,13263110220000,2014,30_35,434.080973146913,TRUE,2643 N HAMLIN AVE,16,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16,295,1,1,TRUE,FALSE,16,34272,37459,TRUE,single_family_buildings,1,0,30161.374999864725,,,16,16,0,16,2629 N HAMLIN AVE | 2631 N HAMLIN AVE | 2633 N HAMLIN AVE | 2635 N HAMLIN AVE | 2637 N HAMLIN AVE | 2639 N HAMLIN AVE | 2641 N HAMLIN AVE | 2643 N HAMLIN AVE | 2645 N HAMLIN AVE | 2647 N HAMLIN AVE | 2649 N HAMLIN AVE | 2651 N HAMLIN AVE | 2653 N HAMLIN AVE | 2655 N HAMLIN AVE | 2657 N HAMLIN AVE | 2659 N HAMLIN AVE,16,34272,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=2643%20N%20HAMLIN%20AVE%20Chicago%20IL,"""2643 N HAMLIN AVE"" Chicago ""13263110220000""",complete,sixteen_unit_townhouse_development,attached_single_family_collection,exclude,16,16,34272,https://www.realtor.com/realestateandhomes-detail/2643-N-Hamlin-Ave_Chicago_IL_60647_M78307-47129,https://www.zillow.com/homedetails/2629-N-Hamlin-Ave-Chicago-IL-60647/245566342_zpid/,TRUE,TRUE,"External records identify representative addresses at both ends of the site as 2,142-square-foot townhouses built in 2014. Sixteen successor parcels and addresses reproduce sixteen equal one-unit cards and 34,272 square feet. This is a townhouse development, not one multifamily building.",2026-07-24
2,residential_multicard_13322180280000,13322180280000,2022,29_36,99.23172072316116,TRUE,5612 W GRAND AVE,2,1/2,211,3,3,FALSE,TRUE,6,8448,6275,TRUE,multifamily_building,1,0,9229.000000178814,5612 W GRAND AVE / 5614 W GRAND AVE / 5618 W GRAND AVE,3,1,1,0,1,5612 W GRAND AVE,6,8448,1,successor_total_matches,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=5612%20W%20GRAND%20AVE%20Chicago%20IL,"""5612 W GRAND AVE"" Chicago ""13322180280000""",complete,two_of_three_adjacent_three_unit_buildings,multiple_multifamily_buildings,include,2,6,8448,https://www.redfin.com/IL/Chicago/5614-W-Grand-Ave-60639/home/191887108,https://www.loopnet.com/Listing/5618-W-Grand-Ave-Chicago-IL/29410605/,TRUE,TRUE,"The block contains three new three-unit buildings on two parcels. PIN 13-32-218-028 contains two cards totaling six units and 8,448 square feet; separate PIN 13-32-218-027 contains the third three-unit building and is already a separate project. The nine-unit LoopNet listing covers both parcels, so assigning all nine units to this multicard PIN would double count the third building.",2026-07-24
2,residential_multicard_13344090290000,13344090290000,2008,30_31,236.8681801654886,TRUE,1822 N KILDARE AVE,1,2,211,2,2,FALSE,TRUE,2,1702,6250,TRUE,multifamily_building,2,0,2304.875000117754,,,1,1,0,1,1822 N KILDARE AVE,5,4797,2.818448883666275,manual_external_review,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=1822%20N%20KILDARE%20AVE%20Chicago%20IL,"""1822 N KILDARE AVE"" Chicago ""13344090290000""",complete,two_family_property,single_multifamily_building,include,2,2,1702,https://www.countyoffice.org/property-record-1822-n-kildare-ave-chicago-il-60639-f52/,,TRUE,TRUE,"The external property record reports two units, 1,702 square feet, and two buildings, matching the selected construction card.",2026-07-24
2,residential_multicard_13353210020000,13353210020000,2015,1_26,53.29057107830031,TRUE,1757 N MONTICELLO AVE,3,1/2/3,295,1,1,TRUE,FALSE,3,5962,4241,TRUE,single_family_buildings,0,0,,1755 N MONTICELLO AVE,,4,4,0,4,1756 N CENTRAL PARK AVE | 1757 N MONTICELLO AVE | 1759 N MONTICELLO AVE 1 | 1759 N MONTICELLO AVE 2,4,8591,1.4409594095940959,multiple_successor_parcels,retain_card_inventory,high,https://www.google.com/maps/search/?api=1&query=1757%20N%20MONTICELLO%20AVE%20Chicago%20IL,"""1757 N MONTICELLO AVE"" Chicago ""13353210020000""",complete,eight_unit_townhouse_development,attached_single_family_collection,exclude,8,8,,https://www.redfin.com/IL/Chicago/1757-N-Monticello-Ave-60647/home/18584014,https://www.redfin.com/IL/Chicago/1758-N-Central-Park-Ave-60647/unit-1/home/18584016,TRUE,FALSE,"Redfin identifies one eight-townhome project spanning Monticello and Central Park. This parent is one component of that attached single-family development, but the external evidence does not support assigning exactly three of the eight units to this parent. Building type is resolved; component counts remain an episode-level issue.",2026-07-24
2,residential_multicard_13353210200000,13353210200000,2015,1_26,49.22455487329204,TRUE,1758 N CENTRAL PARK AVE,3,1/2/3,295,1,1,TRUE,FALSE,3,6347,4243,TRUE,single_family_buildings,0,0,,,,3,3,0,3,1756 N CENTRAL PARK AVE | 1758 N CENTRAL PARK AVE 1 | 1758 N CENTRAL PARK AVE 2,3,6347,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=1758%20N%20CENTRAL%20PARK%20AVE%20Chicago%20IL,"""1758 N CENTRAL PARK AVE"" Chicago ""13353210200000""",complete,eight_unit_townhouse_development,attached_single_family_collection,exclude,8,8,,https://www.redfin.com/IL/Chicago/1757-N-Monticello-Ave-60647/home/18584014,https://www.redfin.com/IL/Chicago/1758-N-Central-Park-Ave-60647/unit-1/home/18584016,TRUE,FALSE,"Redfin identifies one eight-townhome project spanning Monticello and Central Park. This parent is one component of that attached single-family development, but the external evidence does not support assigning exactly three of the eight units to this parent. Building type is resolved; component counts remain an episode-level issue.",2026-07-24
2,residential_multicard_13354010380000,13354010380000,2021,1_26,367.12687576643503,TRUE,3520 W CORTLAND PKY,3,1/2/3,278,1,1,TRUE,FALSE,3,6237,10309,TRUE,single_family_buildings,1,0,4089.2500002181623,3518 W CORTLAND ST / 3520 W CORTLAND ST,,3,3,0,2,3518 W CORTLAND ST | 3520 W CORTLAND ST,3,6237,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=3520%20W%20CORTLAND%20PKY%20Chicago%20IL,"""3520 W CORTLAND PKY"" Chicago ""13354010380000""",complete,three_detached_single_family_houses,detached_single_family_collection,exclude,3,3,,https://www.redfin.com/IL/Chicago/3520-W-Cortland-St-60647/home/176340021,https://www.realtor.com/realestateandhomes-detail/3520-W-Cortland-St_Chicago_IL_60647_M91211-48932,TRUE,TRUE,"Three exact permit records authorize separate single-family residences at 3518 W Cortland Unit 1, 3518 W Cortland Unit 2, and 3520 W Cortland. Redfin describes 3520 as part of the seven-home 606 Seven single-family development. The three cards therefore describe three single-family homes, not one multifamily building.",2026-07-24
2,residential_multicard_13354080010000,13354080010000,2014,26_35,105.08572425461328,TRUE,3435 W CORTLAND ST,4,1/2/3/4,295,1,1,TRUE,FALSE,4,8228,6950,TRUE,single_family_buildings,2,0,3044.9882814595476,1845 N ST LOUIS AVE,,4,0,4,4,1849 N SAINT LOUIS AVE | 1851 N SAINT LOUIS AVE | 1853 N SAINT LOUIS AVE | 1855 N SAINT LOUIS AVE,0,0,0,multiple_successor_parcels,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=3435%20W%20CORTLAND%20ST%20Chicago%20IL,"""3435 W CORTLAND ST"" Chicago ""13354080010000""",complete,townhouse_development,attached_single_family_collection,exclude,4,4,,https://www.redfin.com/IL/Chicago/1851-N-Saint-Louis-Ave-60647/home/144510982,https://www.redfin.com/IL/Chicago/1855-N-Saint-Louis-Ave-60647/home/144510985,TRUE,TRUE,"The exact permit authorizes four townhomes, and successor condominium records identify 1849, 1851, 1853, and 1855 N Saint Louis as four townhouse units in one four-unit development. This is an attached single-family collection rather than one multifamily building.",2026-07-24
2,residential_multicard_13354110480000,13354110480000,2009,26_35,59.48672907172686,TRUE,3217 W COURTLAND ST,2,1/2,295,1,1,TRUE,FALSE,2,2698,4999,TRUE,single_family_buildings,1,1,501.8566461037845,1857 N SAWYER AVE,2,2,2,0,1,3217 W COURTLAND ST,2,2698,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=3217%20W%20COURTLAND%20ST%20Chicago%20IL,"""3217 W COURTLAND ST"" Chicago ""13354110480000""",complete,single_condominium_building,single_multifamily_building,include,1,2,,https://www.realtor.com/realestateandhomes-detail/1857-N-Sawyer-Ave-A_Chicago_IL_60647_M70187-88550,https://www.zillow.com/b/1857-n-sawyer-ave-chicago-il-9hKH8N/,TRUE,TRUE,"The exact permit authorizes one two-dwelling-unit building at 1857 N Sawyer. External records identify the address as one condo building and Unit A as a condo duplex. The two one-unit cards are two dwellings in one physical building, so this project belongs in the multifamily sample.",2026-07-24
2,residential_multicard_13361150350000,13361150350000,2015,1_32,95.11110302829496,TRUE,3066 W ARMITAGE AVE 2001,6,1/2/3/4/5/6,295,1,1,TRUE,FALSE,6,11197,3125,TRUE,single_family_buildings,1,0,2261.999999964668,2005 N ALBANY AVE,6,20,20,0,19,2001 N ALBANY AVE | 2003 N ALBANY AVE | 2005 N ALBANY AVE | 2007 N ALBANY AVE | 2009 N ALBANY AVE | 2011 N ALBANY AVE | 2013 N ALBANY AVE | 2013 N ALBANY AVE P1 | 2013 N ALBANY AVE P10 | 2013 N ALBANY AVE P11 | 2013 N ALBANY AVE P12 | 2013 N ALBANY AVE P2 | 2013 N ALBANY AVE P3 | 2013 N ALBANY AVE P4 | 2013 N ALBANY AVE P5 | 2013 N ALBANY AVE P6 | 2013 N ALBANY AVE P7 | 2013 N ALBANY AVE P8 | 2013 N ALBANY AVE P9,6,11197,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=3066%20W%20ARMITAGE%20AVE%202001%20Chicago%20IL,"""3066 W ARMITAGE AVE 2001"" Chicago ""13361150350000""",complete,single_six_unit_condominium_building,single_multifamily_building,include,1,6,,https://www.compass.com/building/2005-n-albany-ave-chicago-il-60647/593396409571331701/,https://www.redfin.com/IL/Chicago/2005-N-Albany-Ave-60647/unit-2005/home/100815692,TRUE,TRUE,"The exact permit authorizes one six-dwelling-unit masonry building. Compass identifies 2005 N Albany as a six-unit, three-story townhouse-condo building, and Redfin reports six units in the building. Although the units have townhouse layouts, the evidence supports one six-unit physical building and the project belongs in the multifamily sample.",2026-07-24
2,residential_multicard_14071170230000,14071170230000,2008,40_47,94.28825873539718,TRUE,2130 W FOSTER AVE,2,1/2,295,1,1,TRUE,FALSE,2,3965,3125,TRUE,single_family_buildings,1,1,2425.598864525557,,,2,2,0,1,2130 W FOSTER AVE,2,3965,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=2130%20W%20FOSTER%20AVE%20Chicago%20IL,"""2130 W FOSTER AVE"" Chicago ""14071170230000""",complete,two_attached_single_family_townhouses,attached_single_family_collection,exclude,2,2,3965,https://www.redfin.com/IL/Chicago/2130-W-Foster-Ave-60625/unit-A/home/45510692,https://www.redfin.com/IL/Chicago/2130-W-Foster-Ave-60625/unit-B/home/45510701,TRUE,TRUE,"External records identify Units A and B as two fee-simple townhomes, with 1,856 and 2,109 square feet respectively. Their combined 3,965 square feet exactly reproduces the two one-unit cards. This is a pair of attached single-family townhouses rather than one multifamily building.",2026-07-24
2,residential_multicard_14074070070000,14074070070000,2018,40_47,255.81576460929668,TRUE,5055 N WOLCOTT AVE,2,1/2,278,1,1,TRUE,FALSE,2,5448,7600,TRUE,single_family_buildings,2,0,1766.7500000084983,5055 N WOLCOTT AVE / 5053 N WOLCOTT AVE,,2,2,0,2,5053 WOLCOTT | 5055 WOLCOTT,2,5448,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=5055%20N%20WOLCOTT%20AVE%20Chicago%20IL,"""5055 N WOLCOTT AVE"" Chicago ""14074070070000""",complete,two_detached_single_family_houses,detached_single_family_collection,exclude,2,2,,https://www.redfin.com/IL/Chicago/5055-N-Wolcott-Ave-60640/home/13403976,https://www.google.com/maps/search/?api=1&query=5053%20N%20Wolcott%20Ave%20Chicago%20IL,TRUE,TRUE,"Two exact permits authorize separate single-family residences at 5053 and 5055 N Wolcott. Redfin identifies 5055 as a new single-family house, and parcel lineage identifies one successor parcel at each address. The two cards describe two single-family homes.",2026-07-24
2,residential_multicard_14201050210000,14201050210000,2007,44_47,113.68839244255966,TRUE,3830 N GREENVIEW AVE,2,1/2,208,1,1,TRUE,FALSE,2,9740,8250,TRUE,single_family_buildings,4,2,4182.119950317778,3828 N GREENVIEW AVE / 3830 N GREENVIEW AVE,,2,2,0,2,3828 N GREENVIEW AVE | 3830 N GREENVIEW AVE,2,9917,1.0181724845995894,multiple_successor_parcels,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=3830%20N%20GREENVIEW%20AVE%20Chicago%20IL,"""3830 N GREENVIEW AVE"" Chicago ""14201050210000""",complete,two_detached_single_family_houses,detached_single_family_collection,exclude,2,2,,https://www.redfin.com/IL/Chicago/3830-N-Greenview-Ave-60613/home/39562950,https://www.realtor.com/realestateandhomes-detail/3830-N-Greenview-Ave_Chicago_IL_60613_M73949-58709,TRUE,TRUE,"Two exact permits authorize separate single-family houses at 3828 and 3830 N Greenview. External records identify 3830 as a detached single-family house, and parcel lineage identifies a separate successor parcel at each address. The two cards describe two single-family homes.",2026-07-24
