project_id,review_status,google_visual_type,external_building_count,external_unit_count,external_building_sqft,source_1_url,source_2_url,supports_building_type,supports_final_units,reviewer_notes,review_date
residential_multicard_14301010390000,complete,two_adjacent_six_unit_apartment_buildings,2,12,24812,https://www.loopnet.com/property/3118-n-clybourn-ave-chicago-il-60618/17031-1430101039/,https://www.buildzoom.com/contractor/derrig-builders-inc,TRUE,TRUE,"LoopNet reports 24,812 square feet for the exact parcel. Separate permits authorize six-unit buildings at 3116 and 3122 N Clybourn, and current rental listings show the north/south unit numbering. The two equal assessor cards are distinct buildings.",2026-07-24
residential_multicard_16242070770000,complete,three_adjacent_three_unit_apartment_buildings,3,9,,https://www.redfin.com/IL/Chicago/1239-S-Fairfield-Ave-60608/apartment/39948218,https://www.redfin.com/IL/Chicago/1243-S-Fairfield-Ave-60608/home/182333723,TRUE,TRUE,"Listings identify newly constructed three-unit buildings at 1239 and 1243 S Fairfield, and the 1241 listing reports the same three-unit layout. These three addresses share the recorded parent parcel and match the three three-unit assessor cards.",2026-07-24
residential_multicard_17072210390000,complete,two_adjacent_two_unit_condominium_buildings,2,4,,https://www.redfin.com/IL/Chicago/534-N-Hermitage-Ave-60622/unit-2/home/113044307,https://www.realtor.com/realestateandhomes-detail/532-N-Hermitage-Ave-1_Chicago_IL_60622_M88803-67713,TRUE,TRUE,"The 532 and 534 addresses each contain a two-unit condominium building. Listings describe two-unit new construction and the four successor condo PINs divide evenly across the two addresses, matching the two two-unit assessor cards.",2026-07-24
residential_multicard_17083340210000,complete,three_adjacent_four_unit_apartment_buildings,3,12,21525,https://www.loopnet.com/Listing/21-N-Bishop-St-Chicago-IL/17536597/,https://www.redfin.com/IL/Chicago/25-N-Bishop-St-60607/home/52637687,TRUE,TRUE,"The historical parent maps to three successor parcels at 19, 21, and 25 N Bishop, each with a four-unit, 7,175-square-foot building. Those three successor projects already appear separately in the candidate dataset, so the parent multicard row must be suppressed as a duplicate even though its 12-unit project total is correct.",2026-07-24
residential_multicard_17174100290000,complete,single_six_unit_condominium_building,1,6,7503,https://hotpads.com/715-s-may-st-chicago-il-60607-vx9e/2s/pad,https://www.realtyhop.com/property-records/search/jaclyn-m-hoeg,TRUE,TRUE,"Six successor condo PINs at 715 S May use the 1N, 1S, 2N, 2S, 3N, and 3S unit pattern. Listings confirm newer construction at the address, supporting one six-unit building and the selected assessor card.",2026-07-24
residential_multicard_20102190080000,complete,vacant_site_no_completed_project,0,0,0,"https://www.google.com/maps/place/4951+S+St+Lawrence+Ave,+Chicago,+IL+60615",https://www.redfin.com/IL/Chicago/4951-S-Saint-Lawrence-Ave-60615/home/39576578,FALSE,FALSE,"The two six-unit cards occur only in tax year 2009. Google Street View shows the four-lot 4951-4959 site vacant in both July 2007 and May 2011, with the neighboring 4949 building unchanged. No corresponding completed-project permit or successor apartment building was found. The 2008 multicard observation should be suppressed.",2026-07-24
residential_multicard_20222220450000,complete,three_adjacent_two_unit_buildings,3,6,8298,https://www.coldwellbankerhomes.com/il/chicago/6552-s-evans-ave/pid_70066038/,https://www.crexi.com/property-records/20222220570000-CHICAGO-IL-60637-3414/cf87794c2c9af95a9c26592a9fc21f127eedb611,TRUE,TRUE,"The 6552, 6554, and 6556 successor parcels each contain a two-unit building. Listings for 6552 and 6556 independently report two units, and the three successor assessor totals reproduce the three two-unit cards.",2026-07-24
residential_multicard_25194060030000,complete,two_adjacent_three_unit_apartment_buildings,2,6,7296,https://www.redfin.com/IL/Chicago/11613-S-Vincennes-Ave-60643/home/28505611,,TRUE,TRUE,"The listing explicitly describes two three-flats sold together and reports six total units. Its public facts report 3,648 square feet for one component, matching two equal 3,648-square-foot assessor cards and a 7,296-square-foot project total.",2026-07-24
residential_multicard_11303220080000,complete,eight_unit_townhouse_development,8,8,14392,https://www.homesbymarco.com/subdivisions/7223_n_hamilton_in_chicago_il,https://www.compass.com/building/7223-n-hamilton-ave-chicago-il-60645/592993462576081389/,TRUE,TRUE,"Independent building pages identify an eight-unit townhouse community. Eight successor condo PINs labeled A through H reproduce the eight one-unit cards. This is a collection of attached single-family townhouses, not one multifamily building.",2026-07-24
residential_multicard_13042080370000,complete,two_detached_single_family_houses,2,2,,https://www.redfin.com/IL/Chicago/6232-N-Lenox-Ave-60646/home/21777217/,https://www.zillow.com/homedetails/6236-N-Lenox-Ave-Chicago-IL-60646/3624285_zpid/,TRUE,TRUE,"External listings identify separate single-family houses at 6232 and 6236 N Lenox. Separate permits issued February 28, 2007 authorize one new single-family house at each address, matching the two one-unit cards. Later assessor rows report 2019 for the successor PINs, but no later new-construction episode is evident; that distant-year duplication requires correction.",2026-07-24
residential_multicard_13154010310000,complete,five_attached_single_family_townhouses,5,5,7270,https://www.redfin.com/IL/Chicago/4247-W-Montrose-Ave-60641/home/39551457,https://www.countyoffice.org/property-record-4251-w-montrose-ave-chicago-il-60641-517/,TRUE,TRUE,"Townhouse listings cover the development. Two permits issued May 21, 2007 authorize three townhouses at 4251/4253/4255 and two townhouses at 4249/4251, exactly reproducing five one-unit cards of 1,454 square feet each.",2026-07-24
residential_multicard_13222210280000,complete,two_detached_single_family_houses,2,2,5244,https://www.zillow.com/homedetails/3624-N-Keeler-Ave-Chicago-IL-60641/2085790394_zpid/,https://www.redfin.com/IL/Chicago/3626-N-Keeler-Ave-60641/home/13458900,TRUE,TRUE,"Separate permits issued June 6, 2018 authorize single-family houses at 3624 and 3626 N Keeler. Listings identify each as a single-family house. Two successor parcels reproduce the two cards and 5,244 assessor square feet; the successor project rows are suppressed in the adjudicated sample.",2026-07-24
residential_multicard_13223070280000,complete,three_detached_single_family_houses,3,3,6246,https://www.redfin.com/IL/Chicago/3406-N-Keating-Ave-60641/home/178520491,https://www.redfin.com/IL/Chicago/3408-N-Keating-Ave-60641/home/178520490,TRUE,TRUE,"Three January 2019 permits authorize separate single-family houses at 3406, 3408, and 3410 N Keating. External records identify the addresses as detached single-family houses built in 2018-2019. Three successor parcels reproduce the three one-unit cards and 6,246 assessor square feet.",2026-07-24
residential_multicard_13252030410000,complete,townhouse_components_within_larger_development,2,2,,https://www.compass.com/building/2452-w-fletcher-st-chicago-il-60618/593239525983764845/,https://www.trulia.com/home/2452-w-fletcher-st-a-chicago-il-60618-2144731678,TRUE,FALSE,"External sources identify the Fletcher/Campbell site as a townhouse development, so the cards do not represent a multifamily building. The historical parent contains two one-unit cards, but the broader development and successor lineage contain additional townhouses. External sources do not independently isolate the two-card parent total, so the unit total remains a lineage-based rather than web-verified count.",2026-07-24
residential_multicard_13254120290000,complete,two_detached_single_family_houses,2,2,5270,https://www.redfin.com/IL/Chicago/2623-N-Rockwell-St-60647/home/12731486,https://www.apartments.com/2619-n-rockwell-st-chicago-il/gf61v1y/,TRUE,TRUE,"Separate permits issued in 2007 authorize single-family houses at 2619 and 2623 N Rockwell. Redfin identifies 2623 as a 2007 single-family house, and the two successor parcels reproduce the two one-unit cards. The 5,270-square-foot total is retained from the contemporaneous cards.",2026-07-24
residential_multicard_13254280400000,complete,two_detached_single_family_houses,2,2,4964,https://www.redfin.com/IL/Chicago/2419-N-Rockwell-St-60647/home/26806370,https://www.zillow.com/homedetails/2417-N-Rockwell-St-Chicago-IL-60647/337756351_zpid/,TRUE,TRUE,"The parent contains two one-unit class-278 cards. External records identify the successor addresses as large detached single-family houses, and two successor parcels each report 2,482 square feet. The successor rows' 2009 year is a later assessor report of the same two houses rather than evidence of a separate multifamily project.",2026-07-24
residential_multicard_13263110220000,complete,sixteen_unit_townhouse_development,16,16,34272,https://www.realtor.com/realestateandhomes-detail/2643-N-Hamlin-Ave_Chicago_IL_60647_M78307-47129,https://www.zillow.com/homedetails/2629-N-Hamlin-Ave-Chicago-IL-60647/245566342_zpid/,TRUE,TRUE,"External records identify representative addresses at both ends of the site as 2,142-square-foot townhouses built in 2014. Sixteen successor parcels and addresses reproduce sixteen equal one-unit cards and 34,272 square feet. This is a townhouse development, not one multifamily building.",2026-07-24
residential_multicard_13221240150000,complete,four_detached_single_family_houses,4,4,,https://www.redfin.com/IL/Chicago/4603-W-Patterson-Ave-60641/home/101673379,https://www.zillow.com/homedetails/4607-W-Patterson-Ave-Chicago-IL-60641/253422236_zpid/,TRUE,FALSE,"The historical parent has three one-unit cards, while parcel lineage identifies four successor addresses at 4601, 4603, 4607, and 4609 W Patterson. External records identify representative successors as separate single-family homes built in 2015-2016. The evidence establishes a single-family collection but does not support the parent total of three units; this component requires a separate episode-count review.",2026-07-24
residential_multicard_13354010380000,complete,three_detached_single_family_houses,3,3,,https://www.redfin.com/IL/Chicago/3520-W-Cortland-St-60647/home/176340021,https://www.realtor.com/realestateandhomes-detail/3520-W-Cortland-St_Chicago_IL_60647_M91211-48932,TRUE,TRUE,"Three exact permit records authorize separate single-family residences at 3518 W Cortland Unit 1, 3518 W Cortland Unit 2, and 3520 W Cortland. Redfin describes 3520 as part of the seven-home 606 Seven single-family development. The three cards therefore describe three single-family homes, not one multifamily building.",2026-07-24
residential_multicard_13354080010000,complete,townhouse_development,4,4,,https://www.redfin.com/IL/Chicago/1851-N-Saint-Louis-Ave-60647/home/144510982,https://www.redfin.com/IL/Chicago/1855-N-Saint-Louis-Ave-60647/home/144510985,TRUE,TRUE,"The exact permit authorizes four townhomes, and successor condominium records identify 1849, 1851, 1853, and 1855 N Saint Louis as four townhouse units in one four-unit development. This is an attached single-family collection rather than one multifamily building.",2026-07-24
residential_multicard_13354110480000,complete,single_condominium_building,1,2,,https://www.realtor.com/realestateandhomes-detail/1857-N-Sawyer-Ave-A_Chicago_IL_60647_M70187-88550,https://www.zillow.com/b/1857-n-sawyer-ave-chicago-il-9hKH8N/,TRUE,TRUE,"The exact permit authorizes one two-dwelling-unit building at 1857 N Sawyer. External records identify the address as one condo building and Unit A as a condo duplex. The two one-unit cards are two dwellings in one physical building, so this project belongs in the multifamily sample.",2026-07-24
residential_multicard_13361150350000,complete,single_six_unit_condominium_building,1,6,,https://www.compass.com/building/2005-n-albany-ave-chicago-il-60647/593396409571331701/,https://www.redfin.com/IL/Chicago/2005-N-Albany-Ave-60647/unit-2005/home/100815692,TRUE,TRUE,"The exact permit authorizes one six-dwelling-unit masonry building. Compass identifies 2005 N Albany as a six-unit, three-story townhouse-condo building, and Redfin reports six units in the building. Although the units have townhouse layouts, the evidence supports one six-unit physical building and the project belongs in the multifamily sample.",2026-07-24
residential_multicard_14071170230000,complete,two_attached_single_family_townhouses,2,2,3965,https://www.redfin.com/IL/Chicago/2130-W-Foster-Ave-60625/unit-A/home/45510692,https://www.redfin.com/IL/Chicago/2130-W-Foster-Ave-60625/unit-B/home/45510701,TRUE,TRUE,"External records identify Units A and B as two fee-simple townhomes, with 1,856 and 2,109 square feet respectively. Their combined 3,965 square feet exactly reproduces the two one-unit cards. This is a pair of attached single-family townhouses rather than one multifamily building.",2026-07-24
residential_multicard_14074070070000,complete,two_detached_single_family_houses,2,2,,https://www.redfin.com/IL/Chicago/5055-N-Wolcott-Ave-60640/home/13403976,https://www.google.com/maps/search/?api=1&query=5053%20N%20Wolcott%20Ave%20Chicago%20IL,TRUE,TRUE,"Two exact permits authorize separate single-family residences at 5053 and 5055 N Wolcott. Redfin identifies 5055 as a new single-family house, and parcel lineage identifies one successor parcel at each address. The two cards describe two single-family homes.",2026-07-24
residential_multicard_14201050210000,complete,two_detached_single_family_houses,2,2,,https://www.redfin.com/IL/Chicago/3830-N-Greenview-Ave-60613/home/39562950,https://www.realtor.com/realestateandhomes-detail/3830-N-Greenview-Ave_Chicago_IL_60613_M73949-58709,TRUE,TRUE,"Two exact permits authorize separate single-family houses at 3828 and 3830 N Greenview. External records identify 3830 as a detached single-family house, and parcel lineage identifies a separate successor parcel at each address. The two cards describe two single-family homes.",2026-07-24
residential_multicard_14311240470000,complete,two_detached_single_family_houses,2,2,,https://www.noahchicago.com/pastprojects,https://www.redfin.com/IL/Chicago/2341-W-Shakespeare-Ave-60647/home/13357578,TRUE,TRUE,"The developer's project archive lists both 2339 and 2341 W Shakespeare under single-family homes, and Redfin identifies 2341 as new-construction single-family housing. Parcel lineage identifies separate successor parcels at the two addresses. The two cards describe two single-family homes.",2026-07-24
residential_multicard_16013240200000,complete,two_detached_single_family_houses,2,2,3900,https://www.redfin.com/IL/Chicago/823-N-Richmond-St-60622/home/167610999,https://www.redfin.com/IL/Chicago/825-N-Richmond-St-60622/home/105494703,TRUE,TRUE,"The permit uses the phrase two-dwelling-unit building, but the completed project is two separately parceled single-family houses at 823 and 825 N Richmond. External listings identify both as single-family homes, and their two 1,950-square-foot assessor rows exactly reproduce the two cards. This site should not enter the multifamily-building sample.",2026-07-24
residential_multicard_16122070190000,complete,two_detached_single_family_houses,2,2,,https://www.redfin.com/IL/Chicago/2417-W-Superior-St-60612/home/26811001,https://www.zillow.com/homedetails/2419-W-Superior-St-Chicago-IL-60612/89892827_zpid/,TRUE,TRUE,"External records identify 2417 and 2419 W Superior as separate single-family houses built in 2007, each on its own successor parcel. The two one-unit cards therefore describe two single-family homes rather than a multifamily building.",2026-07-24
residential_multicard_17072080330000,complete,two_detached_single_family_houses,2,2,,https://www.redfin.com/IL/Chicago/1930-W-Erie-St-60622/home/113098142,https://www.redfin.com/IL/Chicago/1932-W-Erie-St-60622/home/113098646,TRUE,TRUE,"Separate exact permits authorize new single-family residences at 1930 and 1932 W Erie. Redfin identifies each completed property as a single-family house, and parcel lineage identifies separate successor parcels. The two cards describe two single-family homes.",2026-07-24
residential_multicard_13353210020000,complete,eight_unit_townhouse_development,8,8,,https://www.redfin.com/IL/Chicago/1757-N-Monticello-Ave-60647/home/18584014,https://www.redfin.com/IL/Chicago/1758-N-Central-Park-Ave-60647/unit-1/home/18584016,TRUE,FALSE,"Redfin identifies one eight-townhome project spanning Monticello and Central Park. This parent is one component of that attached single-family development, but the external evidence does not support assigning exactly three of the eight units to this parent. Building type is resolved; component counts remain an episode-level issue.",2026-07-24
residential_multicard_13353210200000,complete,eight_unit_townhouse_development,8,8,,https://www.redfin.com/IL/Chicago/1757-N-Monticello-Ave-60647/home/18584014,https://www.redfin.com/IL/Chicago/1758-N-Central-Park-Ave-60647/unit-1/home/18584016,TRUE,FALSE,"Redfin identifies one eight-townhome project spanning Monticello and Central Park. This parent is one component of that attached single-family development, but the external evidence does not support assigning exactly three of the eight units to this parent. Building type is resolved; component counts remain an episode-level issue.",2026-07-24
residential_multicard_17171050720000,complete,townhouse_development,32,32,,https://www.homesbymarco.com/subdivisions/1234-w-monroe-in-chicago-il,https://www.redfin.com/IL/Chicago/1234-W-Monroe-St-60607/unit-1/home/21832292,TRUE,TRUE,"Homes by Marco identifies 1234 W Monroe as a 32-unit townhouse community, and Redfin identifies a representative unit as a three-story townhome. The 32 cards match that project exactly. The parcel-lineage links to the separate 34-unit building at 1228 W Monroe are therefore overbroad and do not change this project's classification.",2026-07-24
residential_multicard_17211230250000,complete,townhouse_development,5,,,https://www.redfin.com/IL/Chicago/1460-S-Emerald-St-60607/home/26819438,https://www.redfin.com/IL/Chicago/1459-S-Emerald-St-60607/home/39569947,TRUE,FALSE,"External records identify representative Emerald addresses as individual University Village townhomes or rowhouses. The overlapping successor-address sets do not isolate this parent's five cards, so the external review supports the attached single-family classification but not the parent unit count.",2026-07-24
residential_multicard_17211250140000,complete,townhouse_development,4,,,https://www.redfin.com/IL/Chicago/1459-S-Emerald-St-60607/home/39569947,https://www.redfin.com/IL/Chicago/1460-S-Emerald-St-60607/home/26819438,TRUE,FALSE,"External records identify representative Emerald addresses as individual University Village townhomes or rowhouses. The overlapping successor-address sets do not isolate this parent's four cards, so the external review supports the attached single-family classification but not the parent unit count.",2026-07-24
residential_multicard_17211330030000,complete,townhouse_development,5,,,https://www.redfin.com/IL/Chicago/701-W-15th-St-60607/home/39569733,https://www.apartments.com/701-w-15th-st-chicago-il/cf6ryee/,TRUE,FALSE,"Redfin and Apartments.com identify 701 W 15th as an individual University Village townhome with the feel of a single-family home. The broader successor set contains more addresses than this parent's five cards, so building type is supported but the parent unit count is not externally isolated.",2026-07-24
residential_multicard_17215060040000,complete,townhouse_development,12,,,https://www.redfin.com/IL/Chicago/606-W-16th-St-60616/unit-E26/home/144960582,https://www.zillow.com/homedetails/648-W-16th-St-B2-Chicago-IL-60616/2132155800_zpid/,TRUE,FALSE,"External listings identify the 16th Street successors as individual University Village rowhomes or townhomes. The successor set overlaps nearby parent projects and does not independently support assigning exactly twelve units to this parent.",2026-07-24
residential_multicard_17215060456002,complete,townhouse_development,7,,,https://www.zillow.com/homedetails/648-W-16th-St-B2-Chicago-IL-60616/2132155800_zpid/,https://www.redfin.com/IL/Chicago/644-W-16th-St-60616/unit-1/home/26831066,TRUE,FALSE,"External listings identify the 16th Street successors as individual rowhomes or townhomes. The successor set overlaps nearby parent projects and does not independently support assigning exactly seven units to this parent.",2026-07-24
residential_multicard_17223090410000,complete,townhouse_development,7,,,https://www.zillow.com/homedetails/1834-S-Calumet-Ave-Chicago-IL-60616/306334449_zpid/,https://www.redfin.com/IL/Chicago/1834-S-Calumet-Ave-60616/unit-2/home/178678526,TRUE,FALSE,"External records identify the Calumet successors as individual multi-level townhomes. The records establish an attached single-family development but do not independently verify the historical parent's seven-card allocation.",2026-07-24
residential_multicard_17271090010000,complete,townhouse_development,59,,,https://yochicago.com/work-in-progress-wabash-club-brings-townhomes-condos-to-near-south-side/,https://www.redfin.com/IL/Chicago/2301-S-WABASH-Ave-60616/home/16900419,TRUE,FALSE,"Contemporaneous reporting identifies the Wabash Club as a 59- to 62-townhome development, and Redfin identifies 2301 S Wabash as an individual fee-simple-style townhome. The three historical Wabash parents contain 59 cards in total, but the external source does not allocate nineteen units specifically to this parent.",2026-07-24
residential_multicard_17271090050000,complete,townhouse_development,59,,,https://yochicago.com/work-in-progress-wabash-club-brings-townhomes-condos-to-near-south-side/,https://www.apartments.com/2335-s-wabash-ave-chicago-il/m8mp71j/,TRUE,FALSE,"Contemporaneous reporting identifies the Wabash Club as a 59- to 62-townhome development, and Apartments.com identifies 2335 S Wabash as an individual townhome. The three historical Wabash parents contain 59 cards in total, but the external source does not allocate twenty-five units specifically to this parent.",2026-07-24
residential_multicard_17271090190000,complete,townhouse_development,59,,,https://yochicago.com/work-in-progress-wabash-club-brings-townhomes-condos-to-near-south-side/,https://www.redfin.com/IL/Chicago/2311-S-Wabash-Ave-60616/home/17462399,TRUE,FALSE,"Contemporaneous reporting identifies the Wabash Club as a 59- to 62-townhome development, and Redfin identifies 2311 S Wabash as an attached, fee-simple townhome. The three historical Wabash parents contain 59 cards in total, but the external source does not allocate fifteen units specifically to this parent.",2026-07-24
residential_multicard_17271290060000,complete,townhouse_development,3,,,https://www.homes.com/property/354-e-finsbury-ct-chicago-il/4qff5l47plfgb/,https://www.redfin.com/IL/Chicago/354-E-Finsbury-Ct-60616/home/39573704,TRUE,FALSE,"The successor addresses are part of Eastgate Village, and external records identify representative Finsbury Court properties as individual multi-level townhomes. The broad successor set does not independently support the parent's three-card count.",2026-07-24
residential_multicard_17271290140000,complete,townhouse_development,60,,,https://www.compass.com/building/2502-s-calumet-ave-chicago-il-60616/593178088154170437/,https://www.redfin.com/IL/Chicago/2502-S-Calumet-Ave-60616/home/39573498,TRUE,FALSE,"Compass identifies the surrounding 2502 S Calumet townhouse-condominium development as 60 units, and Redfin identifies 2502 S Calumet as an individual townhome. This resolves the attached single-family building type, but the development-wide count does not validate this parent's thirteen-card allocation.",2026-07-24
residential_multicard_17271290150000,complete,townhouse_development,29,,,https://www.redfin.com/IL/Chicago/344-E-Eastgate-Pl-60616/unit-13C/home/39573698,https://www.zillow.com/homedetails/348-E-Eastgate-Pl-1-Chicago-IL-60616/2079890803_zpid/,TRUE,FALSE,"External listings identify representative Eastgate Place successors as individual multi-level townhomes. The very broad successor set does not independently verify that twenty-nine units belong to this historical parent.",2026-07-24
residential_multicard_17271290160000,complete,townhouse_development,4,,,https://www.homes.com/property/354-e-finsbury-ct-chicago-il/4qff5l47plfgb/,https://www.redfin.com/IL/Chicago/344-E-Eastgate-Pl-60616/unit-13C/home/39573698,TRUE,FALSE,"The successor set falls within the Eastgate Village townhouse development. External records identify representative successors as individual townhomes, but the predecessor's unusually broad lineage does not isolate four completed units to this parent.",2026-07-24
residential_multicard_17311230010000,complete,townhouse_development,10,,,https://occprodstoragev1.blob.core.usgovcloudapi.net/lsmatterattachmentspublic/81854353-b4d8-4583-a0ef-9887cbd11275.pdf,https://www.redfin.com/IL/Chicago/3401-S-Hoyne-Ave-60608/home/113109546,TRUE,FALSE,"The zoning application states that the site would contain two buildings with seven and three townhome dwelling units. That establishes a ten-townhome development. The historical parent has nine cards and the successor set has ten addresses, so the external evidence does not validate the nine-unit parent count.",2026-07-24
residential_multicard_17312170200000,complete,detached_single_family_collection,4,4,11120,https://www.redfin.com/IL/Chicago/1814-W-33rd-Pl-60608/home/175664506,https://www.countyoffice.org/w-33rd-pl-chicago-il-property-records/,TRUE,TRUE,"Four exact permits authorize separate single-family residences at 1814, 1816, 1820, and 1822 W 33rd Place. External records identify the addresses as separate single-family homes of 2,780 square feet each, exactly reproducing the four cards and 11,120 square feet.",2026-07-24
residential_multicard_17341211170000,complete,townhouse_development,5,5,,https://www.buildzoom.com/contractor/gracek-contractors-llc,https://www.zillow.com/homedetails/3301-S-Prairie-Ave-Chicago-IL-60616/2081184987_zpid/,TRUE,TRUE,"The permit record describes one five-unit townhouse project covering 241, 243, and 245 E 33rd Boulevard and 3301 S Prairie, and external records identify a representative successor as a townhouse. The five one-unit cards describe five attached townhomes rather than one multifamily building.",2026-07-24
residential_multicard_19083090620000,complete,expired_unbuilt_single_family_permits,0,0,828,https://www.zillow.com/homedetails/5249-S-Mulligan-Ave-Chicago-IL-60638/3920962_zpid/,https://www.google.com/maps/search/?api=1&query=5249%20S%20Mulligan%20Ave%20Chicago%20IL,TRUE,FALSE,"Both 2021 new-house permits linked to this PIN are marked expired. Zillow and the city footprint identify the surviving structure as the 1920s 828-square-foot house at 5249 S Mulligan. The two 2022 assessor cards do not represent completed new construction and this project should be suppressed.",2026-07-24
