source_project_ids,action,preferred_vintage,preferred_source_rows,final_project_id,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_17044370150000,retain_override,2021,43173,commercial_17044370150000,2011,23,38500,7500,TRUE,TRUE,commercial_2024,permit_100498861,commercial_2024,commercial_2024,permit_100498861,,high,Completed full-building permit identifies 23 units,,codex_audit,2026-07-21,reviewed_evidence
commercial_17044510060000,retain_override,2021,43190,commercial_17044510060000,2018,405,652620,63902,TRUE,TRUE,completed_project_records,permit_100693524,commercial_2024,commercial_2024,permit_100693524,https://www.ontheboom.com/old-town-park-phase-1,high,Completed permit and project records identify 405 apartments,,codex_audit,2026-07-21,reviewed_evidence
commercial_17064030060000,exclude_not_new_construction,2024,60772,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_history,,high,Permit history shows renovation or alteration rather than ground-up construction,,codex_audit,2026-07-21,reviewed_evidence
commercial_17074290130000,split_source_rows,2021,81075;81076,,,,,,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_2021_rows_81075_81076,,high,The 2021 source identifies separate 12-unit and 16-unit buildings later rolled together,,codex_audit,2026-07-21,reviewed_evidence
commercial_17093220170000,retain_override,2024,60969,commercial_17093220170000,2014,199,232542,35578,TRUE,TRUE,commercial_2024,permit_100629993,commercial_2024,commercial_2024,permit_100629993,,high,Permit count is 155 dwelling units plus 44 efficiency units and matches both assessor vintages,Construction-year predecessor also contains an older office building retained on site,codex_audit,2026-07-21,reviewed_evidence
commercial_17164010220000,split_source_rows,2021,74667;74668,,,,,,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,permit_100771162;permit_100771165,,high,The 2021 source identifies two separate towers later rolled into one entity,,codex_audit,2026-07-21,reviewed_evidence
commercial_17172270010000,exclude_not_new_construction,2024,61000,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_history,,high,The source is an existing building with renovation activity rather than a new residential building,,codex_audit,2026-07-21,reviewed_evidence
commercial_17172310020000,retain_override,2024,61007,commercial_17172310020000,2017,300,466117,73688,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_100628945;permit_100669122,,medium,The stable latest assessor count is retained for the completed student apartment tower,Full-building permit does not state a unit count,codex_audit,2026-07-21,reviewed_evidence
commercial_17194110010000,retain_override,2024,61106,commercial_17194110010000,2011,15,32275,12500,TRUE,TRUE,commercial_2024,permit_100403067,commercial_2024,commercial_2024,permit_100312231;permit_100403067,,high,Completed permit revision establishes 15 dwelling units,,codex_audit,2026-07-21,reviewed_evidence
commercial_17344170280000,split_source_rows,2021,74597;74600;74601;74602;74603;74634;74635;74636;74637;74638;74639;74642;74643;74644,,,,,,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,oakwood_shores_2021_entity_rows;completed_new_construction_permits,,high,Building-level 2021 entities are retained instead of the later site rollup,,codex_audit,2026-07-21,reviewed_evidence
commercial_17344270230000,split_source_rows,2021,74627;74628;74629;74630;74631;74632;74633,,,,,,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,oakwood_shores_2021_entity_rows;completed_new_construction_permits,,high,Building-level 2021 entities are retained instead of the later site rollup,,codex_audit,2026-07-21,reviewed_evidence
commercial_19191150430000,retain_override,2024,31819,commercial_19191150430000,2019,12,18816,18365,TRUE,TRUE,commercial_2024,permit_100757336_plus_100757340,commercial_2024,commercial_2024,permit_100757336;permit_100757340,,high,Two six-unit buildings share one assessed site and are aggregated with land counted once,,codex_audit,2026-07-21,reviewed_evidence
commercial_20034130510000,retain_override,2024,15081,commercial_20034130510000,2020,84,114070,196020,TRUE,TRUE,project_completion_record,project_completion_record,architect_project_record,architect_project_record,permit_100795428;permit_100795429;project_4400_grove,https://www.pappageorgehaymes.com/projects/4400-grove/;https://www.chicagorehab.org/content/cms/documents/full_report_2018_4.pdf,high,Two adjacent 42-unit buildings completed as one construction phase are aggregated because the assessor source reports only one building,Per-building gross and land areas are unavailable,codex_audit,2026-07-21,reviewed_evidence
commercial_20143060140000,retain_field_specific,2021,25257,commercial_20143060140000,2020,,377694,126343.32099667795,TRUE,FALSE,official_opening_year,not_comparable_dorm_beds,commercial_2021,construction_year_parcel_polygon,permit_100773049/official_project_records,https://housing.uchicago.edu/residence-life/residential-commons/woodlawn-commons/;https://www.thorntontomasetti.com/project/university-chicago-woodlawn-residential-commons,high,The completed dormitory has a credible assessor building area and exact construction-year land area,The 1309-bed capacity is not treated as a dwelling-unit count,codex_audit,2026-07-21,reviewed_evidence
commercial_25013240390000,retain_field_specific,2024,15294,commercial_25013240390000,2018,134,136381,239421.25976997617,FALSE,TRUE,permit_100760826,permit_100760826,commercial_2024,construction_year_parcel_polygon,permit_100760826,https://www.ilga.gov/Documents/Reports/ReportsSubmitted/845RSGAEmail1835RSGAAttachFiscal%20Year%202019%20Governor%27s%20Report_Illinois%20Housing%20Development%20Authority_Signed.pdf,high,Completed permit and housing-agency report identify a 134-unit senior apartment building,Exact construction-year parcel geometry supplies land area,codex_audit,2026-07-21,reviewed_evidence
commercial_13143060050000,retain_override,2024,26218,commercial_13143060050000,2013,15,14541,15625,TRUE,TRUE,permits_100488245_100488250_100488254,commercial_2024,commercial_2024,commercial_2024,permit_100488245;permit_100488250;permit_100488254,,high,Three completed buildings total 15 units on the assessed site,Later permits correct the assessor year,codex_audit,2026-07-21,reviewed_evidence
commercial_13312140010000,retain_override,2024,27064,commercial_13312140010000,2020,84,124620,210101,TRUE,TRUE,commercial_2024,completed_permit_sum,commercial_2024,commercial_2024,completed_natchez_permits,,high,Completed permits sum to the 84-unit assessor site total across two construction phases,Site-level completion year is used because building-level physical fields are unavailable,codex_audit,2026-07-21,reviewed_evidence
commercial_14301040010000,retain_override,2021,65887,commercial_14301040010000,2006,8,8938,5681,TRUE,TRUE,permit_100120202,commercial_2021,commercial_2021,construction_year_parcel_polygon,permit_100120202,,high,Completed permit establishes the 2006 construction episode and the 2021 report supplies physical fields,,codex_audit,2026-07-21,reviewed_evidence
commercial_16113040200000,retain_override,2024,60085,commercial_16113040200000,2007,8,11200,6242,TRUE,TRUE,residential_2008_assessor_report,commercial_2024,commercial_2024,commercial_2024,residential_pin_16113040200000,,medium,The first residential assessor report identifies a 2007 building on the exact PIN,No completed permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_16132180010000,retain_override,2024,60135,commercial_16132180010000,2015,70,95769,128372,TRUE,TRUE,completed_2015_permits_and_residential_report,commercial_2024,commercial_2024,commercial_2024,permits_100563604_to_100573230,,high,One construction phase produced a site-level project; latest assessor fields supersede the authorized permit total,Building-level assessor fields are unavailable,codex_audit,2026-07-21,reviewed_evidence
commercial_16242060480000,retain_override,2021,83665,commercial_16242060480000,2010,5,6990,6632,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_2021,,high,Commercial row supplies complete building-level fields and avoids duplicate residential tieback rows,,codex_audit,2026-07-21,reviewed_evidence
commercial_16242060510000,retain_override,2021,83666,commercial_16242060510000,2010,3,3735,3300,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_2021,,high,Commercial row supplies complete building-level fields and avoids a cross-source duplicate,,codex_audit,2026-07-21,reviewed_evidence
commercial_16242070100000,retain_override,2021,83667,commercial_16242070100000,2010,3,3645,3006,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_2021,,high,Commercial and residential records agree exactly; one commercial copy is retained,,codex_audit,2026-07-21,reviewed_evidence
commercial_16242070150000,retain_override,2021,83668,commercial_16242070150000,2010,6,8322,7129,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_2021,,high,Completed permits and the commercial row identify six units; residential duplicate is excluded,,codex_audit,2026-07-21,reviewed_evidence
commercial_16242070310000,retain_override,2021,83670,commercial_16242070310000,2010,3,3969,3133,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_2021,,high,Commercial row supplies complete building-level fields and avoids a cross-source duplicate,,codex_audit,2026-07-21,reviewed_evidence
commercial_17092060390000,retain_override,2024,43212,commercial_17092060390000,2022,735,1284706,95780,TRUE,TRUE,completed_project_records,commercial_2024,commercial_2024,commercial_2024,one_chicago_project_records,https://jdlcorp.com/projects/one-chicago,high,Developer and completion records identify 735 rental units completed in 2022,The 77 condominiums are not added to the rental-unit count,codex_audit,2026-07-21,reviewed_evidence
commercial_17201270040000;commercial_17201270180000,merge_source_projects,2021,83407,commercial_17201270040000,2020,59,117208,40105,TRUE,TRUE,commercial_2021,permit_100772247,commercial_2021,commercial_2021,permit_100772247,,high,The later 212-unit row repeats the same building area and is not a separate project,,codex_audit,2026-07-21,reviewed_evidence
commercial_14202300160000,retain_override,2024,39735,commercial_14202300160000,2012,79,79309,163152,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,commercial_2024,,high,Two 2021 rows repeat the full building fields; the single 2024 entity is retained,,codex_audit,2026-07-21,reviewed_evidence
commercial_17173150690000,exclude_outside_period,2024,61022,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,commercial_2024,,high,Latest assessor report and City building evidence identify a 1977 building,The 2021 row's 2020 year is a recode,codex_audit,2026-07-21,reviewed_evidence
commercial_14294190080000,split_source_rows,2021,64746;64837,,,,,,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_2021_rows_64746_64837,,high,Two 2021 eight-unit building rows are later rolled into one 16-unit entity,,codex_audit,2026-07-21,reviewed_evidence
commercial_25074130200000,exclude_multiple_projects_not_separable,2024,32632;32713,,,,,,FALSE,FALSE,official_PD936,official_PD936,commercial_2024,construction_year_parcel_polygon,official_PD936/city_building_footprints,https://gisapps.chicago.gov/gisimages/zoning_pds/PD936a.pdf,high,PD 936 and city footprints establish multiple buildings and completion episodes that cannot be mapped to the conflicting assessor rows,The source is outside the 1500-foot review universe and cannot support a comparable project observation,codex_audit,2026-07-21,reviewed_evidence
commercial_13261040230000,retain_override,2024,26698,commercial_13261040230000,2022,27,67932,24461,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_100801726,,medium,Latest assessor report and an active 27-unit new-construction permit agree,Permit remains active rather than complete,codex_audit,2026-07-21,reviewed_evidence
commercial_14083170400000,retain_override,2024,40757,commercial_14083170400000,2021,54,47862,4025,TRUE,TRUE,commercial_2024,permit_100860516,commercial_2024,commercial_2024,permit_100856500;permit_100860516,,high,Completed full-building permit identifies 10 efficiencies and 44 dwelling units,,codex_audit,2026-07-21,reviewed_evidence
commercial_14301230060000,exclude_not_new_construction,2024,39736,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,lathrop_mixed_redevelopment;permit_100684005,https://www.relatedmidwest.com/press-releases/2019-10-18/related-midwest-heartland-housing-bickerdike-redevelopment-corporation,high,The entity combines rehabilitated historic buildings with a separately retained 59-unit new building,,codex_audit,2026-07-21,reviewed_evidence
commercial_17042230340000,exclude_not_new_construction,2024,43141,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_100832828;city_building_1987,,high,Permit is a revision to an existing building and City records predate the reported 2019 year,,codex_audit,2026-07-21,reviewed_evidence
commercial_17052150110000,exclude_not_new_construction,2024,43197,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_100473521;city_building_1891,,high,Permit constructs a one-story commercial building on an older residential property rather than the reported apartment project,,codex_audit,2026-07-21,reviewed_evidence
commercial_17074210450000,retain_override,2024,60838,commercial_17074210450000,2007,20,24124,18573,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,commercial_2024,,medium,Latest assessor report corrects a 2021 recode to a 2007 building,No completed permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_17092170040000,retain_override,2024,43218,commercial_17092170040000,2009,149,133958,18315,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,commercial_2024,,medium,Latest assessor report corrects the earlier year and retains a coherent entity,No completed permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_17153050150000,exclude_not_new_construction,2024,45767,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,city_building_1971,,high,City building evidence identifies an older building rather than 2020 ground-up construction,,codex_audit,2026-07-21,reviewed_evidence
commercial_14294190020000,exclude_not_new_construction,2024,40446,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,city_building_1933,,medium,Available evidence identifies an older building rather than 2015 ground-up construction,No completed new-construction permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_17164110200000,retain_override,2024,45798,commercial_17164110200000,2011,398,329896,151940,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,commercial_2024,,medium,Latest assessor report corrects the earlier year to 2011,No completed permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_19192130360000,retain_override,2024,31823,commercial_19192130360000,2007,16,34784,23473,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,commercial_2024,,medium,Latest assessor report corrects the earlier year to 2007,No completed permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_20153130320000,exclude_not_new_construction,2024,15957,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,city_building_records,,medium,Available evidence does not establish a 2008 ground-up project,No completed new-construction permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_11323310360000,retain_override,2024,44971,commercial_11323310360000,2019,111,100093,40262,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,city_demolition_record;concord_at_sheridan_project,https://www.transitchicago.com/assets/1/6/LBMM_Final_Market_Analysis_ADA_Locked.pdf;https://lordcompanies.com/6418-n-sheridan-rd-2/,high,Project records and the later assessor report identify a 111-unit building completed in 2019,,codex_audit,2026-07-21,reviewed_evidence
commercial_13141220320000,exclude_not_new_construction,2021,46713,,,,,,FALSE,FALSE,commercial_2021,commercial_2021,commercial_2021,construction_year_parcel_polygon,residential_card_history;city_building_1918,,high,The same preexisting structure persists and the reported 2011 year is an assessor recode,,codex_audit,2026-07-21,reviewed_evidence
commercial_13164300370000,exclude_not_new_construction,2021,46981,,,,,,FALSE,FALSE,commercial_2021,commercial_2021,commercial_2021,construction_year_parcel_polygon,permit_100675167,,high,The permit converts existing commercial spaces and does not construct a new residential building,,codex_audit,2026-07-21,reviewed_evidence
commercial_13252200010000,retain_override,2024,59283,commercial_13252200010000,2014,9,15917,4946,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,commercial_2024;mls_2943_rockwell,https://www.homes.com/property/2943-n-rockwell-st-chicago-il-unit-301/qz89meww4eyfv/,high,Assessor and MLS records identify a nine-unit building constructed in 2014,,codex_audit,2026-07-21,reviewed_evidence
commercial_13253140740000,retain_override,2024,59306,commercial_13253140740000,2020,220,258307,108799,TRUE,TRUE,developer_project_record,developer_project_record,commercial_2024,commercial_single_site_area,permit_100747866;permit_100769962;permit_100764230;permit_100779277;logan_apartments_project,https://www.fifieldco.com/projects/logan/,high,Developer and permits identify one two-building 220-unit project completed in March 2020,Assessor bedroom fields incorrectly imply 236 units,codex_audit,2026-07-21,reviewed_evidence
commercial_14073220300000,exclude_not_new_construction,2024,39930,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,permit_100673736,,high,The residential use was created by adding two stories to an existing three-story office building,,codex_audit,2026-07-21,reviewed_evidence
commercial_14171150220000,exclude_not_new_construction,2024,40066,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,permit_100503753;city_building_1967,,high,The project adds stories above an existing building rather than constructing a new building,,codex_audit,2026-07-21,reviewed_evidence
commercial_14333000110000,exclude_not_new_construction,2021,68720,,,,,,FALSE,FALSE,commercial_2021,commercial_2021,commercial_2021,construction_year_parcel_polygon,permit_100728147;permit_100765869;city_building_1871,,high,The project is an addition to an existing nineteenth-century building,,codex_audit,2026-07-21,reviewed_evidence
commercial_16014000010000,retain_override,2024,59594,commercial_16014000010000,2006,30,34725,14828,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,commercial_2024,,medium,Stable assessor characteristics identify a 30-unit building constructed in 2006,No completed new-construction permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_16242020090000,retain_override,2021,83662,commercial_16242020090000,2010,2,2700,2638,TRUE,TRUE,permit_100349971,permit_100349971,commercial_2021,construction_year_parcel_polygon,permit_100349971,,high,Completed permit identifies the two-unit Ogden North building at the project parcel,,codex_audit,2026-07-21,reviewed_evidence
commercial_17042210990000,retain_override,2024,43134,commercial_17042210990000,2012,250,335000,59883,TRUE,TRUE,developer_project_record,developer_project_record,commercial_2024,commercial_2024,project_1225_old_town,https://www.hines.com/index.php?p=properties%2F1225-old-town-chicago;https://jdlcorp.com/projects/1225-old-town,high,Developer records identify a 250-unit building completed in 2012,,codex_audit,2026-07-21,reviewed_evidence
commercial_17082130110000,retain_override,2024,60889,commercial_17082130110000,2009,141,295452,32634,TRUE,TRUE,building_completion_record,commercial_2024,commercial_2024,construction_year_parcel_polygon,mondial_project,https://www.homes.com/property/910-w-huron-st-chicago-il-unit-1010/s5yvshjqw1h1s/,high,Building records identify the 141-unit Mondial completed in 2009,The assessor reported year is corrected from 2012,codex_audit,2026-07-21,reviewed_evidence
commercial_17083320080000,retain_override,2024,60925,commercial_17083320080000,2020,12,14010,7209,TRUE,TRUE,commercial_2024,permit_100773337,commercial_2024,construction_year_parcel_polygon,permit_100773337,,high,Completed permit and assessor record identify a 12-unit ground-up building,,codex_audit,2026-07-21,reviewed_evidence
commercial_17084190050000,exclude_not_new_construction,2024,60930,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,permit_100468069;permit_100662810;city_building_1911,,high,Permits convert and expand an existing office building rather than construct a new building,,codex_audit,2026-07-21,reviewed_evidence
commercial_17153050620000,retain_override,2024,45768,commercial_17153050620000,2019,479,531320,29082,TRUE,TRUE,project_completion_record,permit_100693664,commercial_2024,commercial_2021,permit_100684545;permit_100693664;essex_on_the_park,https://ohrllc.com/oxford-quadrum-venture-sells-luxury-apartment-building-essex-on-the-park-on-chicagos-michigan-avenue/,high,Completed permits and the developer record identify the 479-unit apartment tower opened in 2019,The adjacent hotel is not included,codex_audit,2026-07-21,reviewed_evidence
commercial_17201020540000,retain_override,2024,61121,commercial_17201020540000,2007,18,23685,20654,TRUE,TRUE,permit_100192136,commercial_2024,commercial_2024,commercial_2024,permit_100192136;permit_100191254,,medium,Completed Roosevelt Square permits establish 2007 construction and the later assessor record supplies as-built attributes,Permit descriptions list 15 and 6 units at nearby addresses while the assessor entity reports 18,codex_audit,2026-07-21,reviewed_evidence
commercial_17201250120000,retain_override,2024,61133,commercial_17201250120000,2021,202,171697,54129,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,permit_100838788;the_rosie_project,https://chicagoyimby.com/2021/04/the-rosie-wraps-up-construction-at-1461-s-blue-island-avenue-in-little-italy.html,high,Completed permit and project records identify a 202-unit building completed in 2021,,codex_audit,2026-07-21,reviewed_evidence
commercial_17202070550000,exclude_outside_period,2021,83415,,,,,,FALSE,FALSE,residential_card_history,commercial_2021,residential_card_history,construction_year_parcel_polygon,residential_card_2005;city_building_2004,,high,Residential card and City building records place construction before 2006,,codex_audit,2026-07-21,reviewed_evidence
commercial_17202070620000,retain_override,2021,83417,commercial_17202070620000,2007,6,8694,7682,TRUE,TRUE,residential_card_history,commercial_2021,commercial_2021,construction_year_parcel_polygon,residential_card_2007,https://www.crexi.com/property-records/17202070620000-CHICAGO-IL-60608-1829/c27618bf159d91e1e3dfbc8818ac9b6a12a6d314,medium,Residential and commercial assessor records identify two three-unit buildings constructed in 2007,No completed new-construction permit was located,codex_audit,2026-07-21,reviewed_evidence
commercial_17223180290000,retain_override,2024,45829,commercial_17223180290000,2020,275,313559,42542,TRUE,TRUE,commercial_2024,permit_100786568,commercial_2024,construction_year_parcel_polygon,permit_100786568;aspire_project,https://yochicago.com/aspire-apartments-2111-s-wabash-south-loop/,high,Completed permit and project records identify a 275-unit building completed in 2020,,codex_audit,2026-07-21,reviewed_evidence
commercial_17282180334000,retain_override,2024,45850,commercial_17282180334000,2022,103,117347,71523,TRUE,TRUE,commercial_2024,permit_100805197,commercial_2024,commercial_2024,permit_100805197;southbridge_building_b4,https://www.23rdplace2344.com/;https://chicagoyimby.com/2022/05/exterior-construction-now-complete-for-23rd-place-at-southbridge-in-near-south-side.html,high,Completed permit and project records identify the 103-unit Southbridge building completed in 2022,,codex_audit,2026-07-21,reviewed_evidence
commercial_20023050190000,retain_override,2021,23582,commercial_20023050190000,2021,6,15480,47436,TRUE,TRUE,mls_project_record,mls_project_record,commercial_2021,construction_year_parcel_polygon,boulevard_44_project,https://www.urbanrealestate.com/property/4434-S-Drexel-Unit-D-Chicago-IL-60653-6W3ojWyukpXT.html,high,MLS records identify six four-bedroom townhomes completed in 2021,The commercial bedroom field was incorrectly interpreted as 18 dwelling units,codex_audit,2026-07-21,reviewed_evidence
commercial_13222030300000,retain_override,2024,26554,commercial_13222030300000,2015,27,24388,10246,TRUE,TRUE,permit_100612738,permit_100612738,commercial_2024,construction_year_parcel_polygon,permit_100612738,,high,Completed permit identifies the 27-unit project built in 2015 and the old card is a predecessor structure,,codex_audit,2026-07-21,reviewed_evidence
commercial_16134200390000,retain_override,2024,60149,commercial_16134200390000,2006,8,13500,4606,TRUE,TRUE,permit_100109708,permit_100109708,commercial_2024,construction_year_parcel_polygon,permit_100109708,,high,Completed permit identifies an eight-unit mixed-use building constructed in 2006,,codex_audit,2026-07-21,reviewed_evidence
commercial_17042000430000,retain_override,2024,43091,commercial_17042000430000,2008,8,4000,3359,TRUE,TRUE,permit_100171360,permit_100171360,commercial_2024,construction_year_parcel_polygon,permit_100171360,,high,Completed permit identifies an eight-unit building issued in 2008 and the old card is a predecessor structure,,codex_audit,2026-07-21,reviewed_evidence
commercial_17064360170000,exclude_not_new_construction,2024,60796,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,residential_component_history;permit_100489987,,high,The commercial entity combines one new residential building with an older structure that remains on the adjacent PIN,The new residential component is adjudicated in the residential source,codex_audit,2026-07-21,reviewed_evidence
commercial_17062340230000,exclude_not_new_construction,2024,60725,,,,,,FALSE,FALSE,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_polygon,permit_100595021;residential_component_history;city_building_1902,,high,The project renovates an existing mixed-use building and old structures persist across assessor history,,codex_audit,2026-07-21,reviewed_evidence
