decision_group_id,source_project_ids,action,source_vintages,source_rows,final_project_id,retained_component_pins,excluded_component_pins,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,membership_source,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_components_021,commercial_17193010330000,exclude_commercial_defer_residential,2024,61087,,,,,,,,FALSE,FALSE,residential_building_record,,,,,permit_100760980/residential_record_17193010340000,,high,The commercial entity combines an old structure with a new residential building; the corrected three-unit residential building is retained separately,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_022,commercial_13312050180000,retain_component_subset,2024,27060,commercial_13312050180000,13312050180000,13315000020000,2020,39,48612,16031,TRUE,TRUE,official_key_PIN_and_project_record,commercial_2024,commercial_2024,commercial_2024,official_key_PIN_land_area,commercial_post_evidence/CCAO_key_PIN,,high,The industrial component PIN is excluded and the 39-unit six-building Natchez site is measured on its residential key PIN,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_023,commercial_20163250190000,exclude_not_new_construction,2024,32069,,,,,,,,FALSE,FALSE,city_building_and_residential_history,,,,,permit_100262796/city_building_history,,high,The 277-unit source row is an older institutional campus and the permit covers only one later eight-unit building,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_024,commercial_17041120710000,retain_site_aggregate,2024,42874,commercial_17041120710000,17041120710000,,2022,48,48834,23901,TRUE,TRUE,commercial_2024_and_three_address_specific_permits,commercial_2024,three_16_unit_permits,commercial_2024,commercial_2024,permits_100891575/100891579/100891583,,high,Schiller Place is retained as one 48-unit site aggregate because the three same-phase buildings share one assessed physical record,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_025,commercial_17334070618002,retain_site_aggregate,2024,45934,commercial_17334070618002,17334070618002/17334070628002/17334270048002,,2022,80,105450,46225,TRUE,TRUE,commercial_2024_and_PD897_site_plan,commercial_2024,commercial_2024,commercial_2024,commercial_2024_supported_by_PD897,PD897,https://gisapps.chicago.gov/gisimages/zoning_pds/PD897.pdf,high,Park Boulevard Phase 3B is a same-phase two-building project and the source site area matches the official plan,The predecessor polygon union covers a broader planned-development area,codex_audit,2026-07-21,reviewed_evidence
commercial_components_026,commercial_17074160420000,retain_site_aggregate,2024,60833,commercial_17074160420000,17074160420000,,2010,68,100336,73436,TRUE,TRUE,commercial_2024_site_aggregate,official_phase_completion,commercial_2024,commercial_2024,commercial_2024,commercial_2024/official_phase_records,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf;https://oldwebsite.lbba.com/work/westhaven-park/,high,The assessor record is a coherent same-phase aggregate of multiple Westhaven Park Phase IIC buildings completed in 2009 and 2010,The permit match covers only one building within the retained site aggregate,codex_audit,2026-07-21,reviewed_evidence
commercial_components_027,commercial_17074170400000,retain_site_aggregate,2024,60834,commercial_17074170400000,17074170400000,,2008,14,9450,22290,TRUE,TRUE,commercial_2024_and_address_specific_permits,completion_evidence,commercial_2024,commercial_2024,commercial_2024,commercial_post_evidence,,high,The site contains same-episode eight-unit and six-unit buildings that share one assessed physical record,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_028,commercial_20151060280000,retain_site_aggregate,2024,15117,commercial_20151060280000,20151060280000/20151060290000,,2007,54,70376,24724,TRUE,TRUE,commercial_2024_and_two_address_specific_permits,commercial_2024,commercial_2024,commercial_2024,construction_year_parcel_union,commercial_post_evidence,,high,The source aggregates two adjacent 27-unit buildings completed in one episode and no building-level assessor areas are available,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_029,commercial_17153000140000,exclude_not_new_construction,2024,45763,,,,,,,,FALSE,FALSE,city_building_and_housing_history,,,,,commercial_post_evidence/CHA_records,,high,The Wabash housing complex predates 2006 and is not a study-period ground-up project,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_030,commercial_19232000170000,exclude_not_new_construction,2021,52648,,,,,,,,FALSE,FALSE,permit_work_description,,,,,permit_100801989,,high,The permit adds domestic-violence housing to an existing facility rather than constructing a conventional ground-up residential project,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_031,commercial_13361030360000,retain_corrected_membership,2021/2024,79682/59351,commercial_13361030360000,13361030360000/13361030370000/13361030380000/13361030390000/13361030400000/13361030410000/13361030420000/13361030430000/13361030440000,,2018,138,131338,30166,TRUE,TRUE,commercial_vintages_and_construction_year_parcel_union,project_completion_record,stable_commercial_2021_2024,stable_commercial_2021_2024,construction_year_parcel_union,permit_100674376/Noca_Blu_completion,https://workwithfocus.com/portfolio/2340-california/,high,The added 2024 component belongs to the same Noca Blu building and the 2018 completion record corrects the reassessment year,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_032,commercial_16013050010000,retain_corrected_membership,2021/2024,79885/59574,commercial_16013050010000,16013050010000/16013050020000/16013050030000/16013050040000/16013050050000/16013050060000/16013050070000/16013050080000/16013050090000,,2015,49,63612,37737,TRUE,TRUE,commercial_2024_components_and_construction_year_parcel_union,permit_100583280_and_commercial_2024,permit_100583280_and_commercial_2024,stable_commercial_building_area,construction_year_parcel_union,permit_100583280/100603885,,high,The expanded component set is one completed 49-unit project and its parcel union agrees with the latest assessor site area,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_033,commercial_16022280210000,retain_corrected_membership,2021/2024,83620/59658,commercial_16022280210000,16022280200000/16022280210000/16022280220000/16022280230000,,2006,9,16131,12401,TRUE,TRUE,commercial_2024_components_and_city_building_footprint,commercial_2024_and_city_building_year,stable_commercial_unit_count,commercial_2024,construction_year_parcel_union,city_building_864011/commercial_2021_2024,,high,The four current components form one 2006 nine-unit project and the City footprint independently supports the construction year,The 2021 source reports a larger building area; the latest assessor area is retained,codex_audit,2026-07-21,reviewed_evidence
commercial_components_034,commercial_17042120010000,retain_corrected_membership,2021/2024,68947/43119,commercial_17042120010000,17042120010000/17042120020000/17042120030000/17042120040000/17042120050000/17042120380000/17042120460000,,2020,105,99503,16235,TRUE,TRUE,commercial_vintages_permits_and_construction_year_parcel_union,project_completion_record,stable_commercial_2021_2024,stable_commercial_2021_2024,construction_year_parcel_union,permit_100782618/Than_Tower_completion,https://www.hotspotrentals.com/old-town-meets-modern-introducing-than-tower-apartments/,high,The added component belongs to the same Than Tower project and the opening record establishes completion in 2020,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_035,commercial_17164050110000,retain_construction_year_membership,2021/2024,74672/45793,commercial_17164050110000,17164050110000/17164050400000/17164050420000,17164050990000,2020,349,458272,30705,TRUE,TRUE,commercial_2021_components_and_2020_parcel_polygons,commercial_2021_2024_and_project_completion,stable_commercial_2021_2024,stable_commercial_2021_2024,construction_year_union_of_2021_components,permit_100772360/Imprint_project_records,https://www.skyscrapercenter.com/building/imprint/33878,high,The 2021 component set matches the construction-year site while the 2024 successor PIN resolves to only part of that site,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_036,commercial_17221060620000,retain_corrected_membership,2021/2024,74456/45814,commercial_17221060620000,17221030440000/17221030450000/17221030480000/17221060620000/17221060670000,,2008,278,367574,40733,TRUE,TRUE,commercial_2024_components_and_construction_year_parcel_union,commercial_2024_and_project_record,stable_commercial_2021_2024,stable_commercial_2021_2024,construction_year_parcel_union,1401_S_State_project_record,https://www.apartments.com/1401-s-state-chicago-il/4nfye8j/,high,The expanded component set is one 278-unit tower and the parcel union agrees with the latest assessor site area,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_037,commercial_19024290170000,retain_corrected_membership,2021/2024,52494/31598,commercial_19024290170000,19024290170000/19024290180000/19024290190000/19024290200000/19024290210000,,2019,30,37470,15510,TRUE,TRUE,commercial_2024_components_permit_and_construction_year_parcel_union,permit_100627244_and_commercial_2024,permit_100627244_and_commercial_2024,stable_commercial_2021_2024,construction_year_parcel_union,permit_100627244,,high,The expanded component set belongs to the completed 30-unit project and its parcel union agrees with the latest assessor site area,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_038,commercial_11293000160000,retain_corrected_membership,2021/2024,70879/44400,commercial_11293000160000,11293000160000/11293000170000/11293000180000/11293000190000,,2020,38,34385,14914,TRUE,TRUE,commercial_2024_components_and_construction_year_parcel_union,commercial_2021_and_project_market_record,stable_commercial_2021_2024,commercial_2024,construction_year_parcel_union,permit_100702395/Elevation_Lofts_market_record,https://citypoint.com/wp-content/uploads/2024/09/Market-Report.pdf,high,The added component completes the 38-unit Elevation Lofts site and the 2020 completion record supersedes the permit-year recode,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_039,commercial_14294190580000,retain_construction_year_membership,2021/2024,66560/40030,commercial_14294190580000,14294190580000/14294190650000,14294190610000,2018,191,268310,46136,TRUE,TRUE,commercial_2021_components_and_project_offering,project_offering,commercial_2024_and_project_offering,commercial_2021,commercial_2021_supported_by_construction_year_parcels,permit_100668624/Elevate_Lincoln_Park_offering,https://res.cloudinary.com/jll-global-cmg/image/upload/v1628777836/IC/Img/Original/ehlw3sbwvd2bfqidrksw.pdf,high,The 2021 component set describes the completed Elevate Lincoln Park building while the later added PIN expands the assessed site beyond the construction project,The assessor gross building area exceeds the offering's rentable residential and retail area because the measures differ,codex_audit,2026-07-21,reviewed_evidence
commercial_components_040,commercial_17092610280000,retain_corrected_membership,2021/2024,68872/43240,commercial_17092610280000,17092610280000/17092610290000,,2013,409,566698,35163,TRUE,TRUE,commercial_2024_components_and_construction_year_parcel_union,city_building_893575,commercial_2024_and_city_building_893575,stable_commercial_2021_2024,construction_year_parcel_union,permits_100414910/100420097/city_building_893575,,high,The two component parcels contain the AMLI River North tower and its completed 409-unit record and the City footprint establishes 2013 completion,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_041,commercial_17164110150000,retain_construction_year_membership,2021/2024,74440/45797,commercial_17164110150000,17164110150000,17164110160000,2008,440,496992,81240,TRUE,TRUE,commercial_2021_component_and_project_site,commercial_2024_and_city_building_886064,commercial_2024,stable_commercial_2021_2024,commercial_2021_project_site,permits_100146629/100157087/city_building_886064,,high,The added 2024 component is not part of the original AMLI 900 building site; the earlier source preserves the completed project footprint while the latest assessor supplies the completed unit count,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_042,commercial_17164160140000,retain_construction_year_membership,2021/2024,74443/45800,commercial_17164160140000,17164160140000/17164160160000,17164160250000,2010,342,542503,338806,TRUE,TRUE,commercial_2021_components_and_construction_year_parcel_union,contemporaneous_completion_record,stable_commercial_2021_2024,stable_commercial_2021_2024,construction_year_parcel_union,Roosevelt_Collection_completion,https://yochicago.com/lofts-at-roosevelt-collection-95-percent-leased-85-percent-occupied/,high,The 2021 component set represents the original Roosevelt Collection residential project and contemporaneous reporting places completion in 2010,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_043,commercial_17274000070000,exclude_not_new_construction,2021/2024,74480/45842,,,,,,,,FALSE,FALSE,project_history,,,,,Prairie_Shores_project_history,https://platform.reverecre.com/api/project-file/476dd394-10ef-4702-8bd6-e93a3e9457b7/Prairie%20Shores%20Flyer%202023.pdf,high,The 2024 construction year is a reassessment recode of the five-tower Prairie Shores complex built from 1957 through 1961,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_044,commercial_20031210430000,retain_corrected_membership,2021/2024,25375/15067,commercial_20031210430000,20031210310000/20031210430000,,2010,8,13280,32083,TRUE,TRUE,commercial_2024_components_and_construction_year_parcel_union,commercial_2024,stable_commercial_2021_2024,stable_commercial_2021_2024,construction_year_parcel_union,permit_100214541/city_building_889090,,high,The two component parcels contain the completed eight-unit Prairie Avenue townhouse building and recover its full site area,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_045,commercial_20042140440000,split_to_source_rows,2021,52759/53717,,,,,,,,TRUE,TRUE,commercial_2021_building_rows,commercial_2021,commercial_2021,commercial_2021,commercial_2021,Park_Boulevard_source_rows/address_specific_permits,,high,The 2024 183-unit Park Boulevard rollup repeats only the larger component's building area and is replaced by the separately measured 16-unit building and 167-unit site record from 2021,The 167-unit source row remains a same-phase multi-building site aggregate because building-level gross areas are unavailable,codex_audit,2026-07-21,reviewed_evidence
commercial_components_046,commercial_20153020180000,retain_corrected_membership,2021/2024,25316/15937,commercial_20153020180000,20153020160000/20153020170000/20153020180000,,2009,19,14652,33915,TRUE,TRUE,commercial_2024_components_and_construction_year_parcel_union,commercial_2024_and_permit_issue_year,permit_100185763_and_commercial_2024,stable_commercial_2021_2024,construction_year_parcel_union,permit_100185763,,high,The three parcels contain the completed 19-unit building authorized and issued at 120 E 60th Street; the earlier 11-unit row covered only one component parcel,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_047,commercial_20153130010000,exclude_outside_period,2021/2024,25403/15953,,,,,,,,FALSE,FALSE,preperiod_property_history,,,,,commercial_2021_2024/property_history,https://www.zillow.com/homedetails/6101-S-Wabash-Ave-Chicago-IL-60637/80840954_zpid/,medium,The 2024 row combines two matching six-unit buildings but public property history dates the key building to 2004 and places residents at the address before the study period,No issued new-construction permit or authoritative completion record was recovered,codex_audit,2026-07-21,reviewed_evidence
