project_id,action,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_17061000020000,retain_source_units,2021,6,13488,6150,TRUE,TRUE,commercial_2024,stable_commercial_2021_2024,commercial_2024,commercial_2024,permit_100849074/commercial_two_vintage_history,,medium,The six-unit permit expired but both later assessor vintages consistently report six completed apartments,The permit confirms the proposed count but not completion by itself,codex_audit,2026-07-21,reviewed_evidence
commercial_17062350680000,retain_unit_override,2018,146,143054,29623,TRUE,TRUE,project_completion_year,final_project_and_permit_count,commercial_2024,construction_year_parcel_union,permit_100695536/Wicker_Park_Connection,https://www.taylorjohnson.com/first-residents-move-into-hubbard-street-groups-wicker-park-connection-ii/,high,The completed project contains 146 apartments; construction-year parcel polygons provide the full site area,The 2024 assessor generic total is 154 and is not used as the dwelling count,codex_audit,2026-07-21,reviewed_evidence
commercial_17102180140000,resolved_by_component_ledger,,,,,FALSE,FALSE,,,,,commercial_components_003,https://www.enr.com/articles/50615-award-of-merit-residentialhospitality-one-bennett-park,high,The cross-vintage duplicate and its fields are resolved in the component ledger,,codex_audit,2026-07-21,reviewed_evidence
commercial_17161000490000,retain_unit_override,2018,492,679914,42324,TRUE,TRUE,project_completion_year,permit_100685260_and_project_records,commercial_2024,commercial_2024,permit_100685260/727_West_Madison,https://www.fifieldco.com/projects/727-west-madison/,high,The completed permit and project records identify 492 apartments and completion in 2018,,codex_audit,2026-07-21,reviewed_evidence
commercial_17164040190000,exclude_not_new_construction,,,,,FALSE,FALSE,historic_building_record,,,,Dwight_Lofts_history,https://students.colum.edu/residence-life/Housing_Options/dwight,high,The 1911 industrial building was renovated into student housing and is not ground-up construction,,codex_audit,2026-07-21,reviewed_evidence
commercial_17172290130000,retain_source_units,2021,198,175808,9520,TRUE,TRUE,commercial_2024,commercial_2024_apartment_breakdown,commercial_2024,commercial_2024,permit_100836738/commercial_2024,,high,The completed new-construction permit and latest assessor report identify a 198-unit high-rise,The older address is attached to a preexisting footprint in the City layer,codex_audit,2026-07-21,reviewed_evidence
commercial_17201010100000,retain_source_units,2007,68,70403,32886,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,city_building_year_support,,high,The source reports 68 senior apartments and the City building year supports study-period construction,,codex_audit,2026-07-21,reviewed_evidence
commercial_19092030020000,retain_source_units,2017,95,85704,26090,TRUE,TRUE,commercial_2024,permit_100616594,commercial_2024,commercial_2024,permit_100616594,,high,The completed permit and assessor source identify 95 senior apartments,,codex_audit,2026-07-21,reviewed_evidence
commercial_19223000110000,retain_source_units,2009,126,122278,76245,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,commercial_two_vintage_history,,medium,Two assessor vintages consistently identify 126 senior apartments and stable physical fields,No issued new-construction permit was recovered from the post-2006 permit extract,codex_audit,2026-07-21,reviewed_evidence
commercial_19232000170000,resolved_by_component_ledger,,,,,FALSE,FALSE,,,,,commercial_components_030/permit_100801989,,high,The existing-facility addition is excluded in the component ledger,,codex_audit,2026-07-21,reviewed_evidence
commercial_20031190090000,retain_source_units,2007,3,4567,8601,TRUE,TRUE,commercial_2021,commercial_apartment_breakdown,commercial_2021,commercial_2021,commercial_2021_class9_record,,medium,The Class 9 row contains an explicit three-apartment breakdown and coherent building and parcel fields,No independent permit or public project record was recovered; the project lies outside 1500 feet,codex_audit,2026-07-21,reviewed_evidence
commercial_20262050130000,retain_source_units,2014,130,89781,45166,TRUE,TRUE,commercial_2024,latest_assessor_apartment_count,commercial_2024,commercial_2024,permit_100623052/commercial_2024,,high,The completed permit establishes supportive-living construction and the later assessor reports 130 completed apartments rather than the 140 authorized units,,codex_audit,2026-07-21,reviewed_evidence
commercial_20262280420000,retain_source_units,2006,136,67885,27216,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,Jackson_Park_supportive_living,https://hfs.illinois.gov/content/dam/soi/en/web/hfs/sitecollectiondocuments/HealthChoiceIllinoisADTParticipantStatus06282023.pdf,medium,The source reports 136 supportive-living apartments rather than beds and the facility was operating in the study period,The City footprint reports 2005 while the assessor reports 2006,codex_audit,2026-07-21,reviewed_evidence
commercial_20294260320000,retain_source_units,2007,85,75077,28269,TRUE,TRUE,commercial_2024,permit_100137674,commercial_2024,commercial_2024,permit_100137674,,high,The completed permit and assessor source identify 85 senior apartments,,codex_audit,2026-07-21,reviewed_evidence
