source_project_id,disposition,final_project_ids,decision_reason,evidence_ids,confidence
residential_tieback_17221060380000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_17321090010000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_17331220760000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_19083020700000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_20111080290000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_20212050090000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_20212080170000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_20212090250000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_24232030360000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_multicard_13362280330000,replace_with_building,residential_adjudicated_armitage_2008,"Later assessor reports consistently correct the construction year to 2008 while preserving the three-unit building fields.",assessor_rows_1336228033_2022_2026/permit_100100122,high
residential_multicard_17044240600000,replace_with_building,residential_adjudicated_dearborn_2007,"The stable card reports one 2007 building; the transient 2010 year and duplicated 2021 card do not persist.",assessor_rows_1704424060_2008_2026/address_1011_dearborn,high
residential_multicard_24132240320000,replace_with_building,residential_adjudicated_western_2007,"The stable later assessor record and permit identify one mixed-use building with three dwellings; an early four-unit report does not persist.",permit_100106040/assessor_rows_2413224032_2016_2026,high
residential_tieback_14283040840000,replace_with_building,residential_adjudicated_geneva_2007,"The 2007 assessor building predates a documented 2013 addition; the 2014 new-construction permit is for accessory storage, not a residence.",permits_100488318_100538073/assessor_rows_1428304084_2008_2014,high
residential_tieback_14324160450000,replace_with_two_buildings,residential_adjudicated_maud_1858_2017/residential_adjudicated_maud_1860_2017,"Two cancelled 2014 permits were replaced by two completed 2017 single-family permits and stable successor assessor buildings.",permits_100681310_100690208/current_pins_1432416045_1432416046,high
residential_tieback_17344230080000,replace_with_site_project,residential_adjudicated_38th_2006,"Two same-year assessor cards describe two houses on one tieback site; one card spans both successor parcels and the lot cannot be divided by building without reusing land.",assessor_cards_1734423008_card1_card3/current_pins_1734423008_1734423021,high
residential_tieback_20213050090000,replace_with_site_project,residential_adjudicated_marquette_2008,"Four same-year three-unit permits and four assessor cards identify one coordinated development on three parcels; the site project counts each construction-year parcel once.",permits_100210270_100211237_100211244_100210380/assessor_cards_2021305009_2021305025,high
