source_project_id,decision_action,final_project_id,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,decision_reason,evidence_ids,confidence
residential_tieback_17063260150000,retain_override,residential_tieback_17063260150000,2008,6,12404,5926,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,An exact six-unit permit and the six-unit successor condominium cohort identify the completed 2008 project.,permit_1837685/condo_base_1706326045,high
residential_tieback_17064340280000,exclude_not_ground_up,,,,,,FALSE,FALSE,,,,,The exact permit history describes deconversion and renovation of an existing building rather than ground-up construction.,permits_2116587_2212722/current_pin_17064340490000,high
residential_tieback_17172000120000,exclude_not_ground_up,,,,,,FALSE,FALSE,,,,,The exact permit history describes alteration of an existing three-story building and provides no ground-up construction permit or demolition.,permits_2082362_2314522/current_pins_17172000120000_17172000130000,high
residential_tieback_17203090110000,retain_override,residential_tieback_17203090110000,2007,6,9700,6204,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,An exact completed six-unit permit and the six-unit successor condominium cohort identify the completed 2007 project.,permit_1725170/condo_base_1720309044,high
residential_tieback_14201150381001,exclude_duplicate_successor,,,,,,FALSE,FALSE,,,,,The completed Wayne permit is already represented by the separately retained successor house on PIN 14201150440000.,permit_100625923/current_pin_14201150440000,high
residential_tieback_17041100661002,exclude_duplicate_successor,,,,,,FALSE,FALSE,,,,,The completed Hudson permit is already represented by the separately retained three-unit successor building on PIN 17041100730000.,permit_100774050/current_pin_17041100730000,high
residential_tieback_14311380110000,exclude_not_ground_up,,,,,,FALSE,FALSE,,,,,Completed permit 100827022 at 2125 W McLean explicitly remodels an existing two-flat with a two-story addition and converts it to one house. The tied parcel 2123 repeats the building area with a 2020 year while 2125 retains 1919. This is alteration and conversion rather than ground-up new construction under the agreed definition.,permit_100827022/permit_B100814586/assessment_2022_2026,high
residential_tieback_14293010030000,retain_override,residential_tieback_14293010030000,2017,6,7516,6264,TRUE,TRUE,user_approved_completion_proxy,completed_permit_and_assessor,assessor_2022,assessor_2022_distinct_parcels,"User approved 2017 completion proxy for 1517 W Diversey, a separate six-flat on two reported 3132-square-foot parcels. Count repeated building area once. Adjacent1513 remains separate.",permits_100580959_100580966/assessment_2022/https://www.loopnet.com/Listing/1513-1517-W-Diversey-Pky-Chicago-IL/20030790/,approved_treatment
residential_tieback_14314280030000,retain_override,residential_tieback_14314280030000,2014,1,,5040,FALSE,TRUE,user_approved_completion_proxy,completed_permit_and_assessor,unresolved_conflicting_source_areas,assessor_2022_distinct_parcels,"User approved one double-lot Wabansia house, Assessor2014 and reported land2520+2520. Floor-area-ratio remains unavailable because competing4046/4258 building areas cannot be reconciled; homes-per-acre retained.",permit_100505358/assessment_2022/MLS_09873883,approved_treatment
residential_tieback_13224160040000,retain_override,residential_tieback_13224160040000,2013,12,16710,19824,TRUE,TRUE,assessor_2022_construction_proxy,permits_100490838_100490842,assessor_two_cards_8355_each,assessor_PIN004_9000_PIN005_9949_PIN024_875,Approved two six-flats with 16710 building square feet and 19824 source-reported land square feet. Include the separate 875-square-foot vacant parcel explicitly named on the 3438 construction permit. Keep the existing Assessor 2013 year proxy; rental listings suggest 2014 but no year override was approved.,permits_100490838_100490842/assessor_2022/https://www.cookcountyassessoril.gov/pin/13224160240000,approved_treatment
residential_tieback_17062290030000,retain_override,residential_tieback_17062290030000,2007,4,,4512,FALSE,TRUE,2012_whole_building_listing_and_2006_permit,permit_100125052_and_broker_sale,unresolved,assessor_two_linked_parcels_2256_each,One four-apartment property at 1261-63 Honore uses the two linked Assessor lots once. The 2012 building sale reports four homes and 4560 land square feet; use 4512 Assessor land and approved 2007 completion proxy. Repeated six-unit tax cards do not establish a second building. Whole-building floor area remains unresolved; homes-per-acre only.,permit_100125052/https://www.redfin.com/IL/Chicago/1261-N-Honore-St-60622/home/183736532/https://interrarealty.com/listing/1261-63-n-honore/,approved_treatment
residential_tieback_17312120510000,exclude_not_ground_up,,,,,,FALSE,FALSE,,,,,The October 2007 permit at 3242 Paulina explicitly adds a second floor and rear addition to an existing single-family residence. Later work is renovation and garage or coach-house removal. The 2008 Assessor date does not identify a wholly new building.,permits_100181387_100569090_100605658,high
residential_17351040310000,retain_override,residential_17351040310000,2022,1,,1117,FALSE,TRUE,assessor_row:1735104031000012022,Assessor_class295_one_townhome;permit100725616_ten_homes_on_ten_residential_parcels,missing_in_assessor_2022_2026;do_not_borrow_other_home_area,assessor_row:1735104031000012022,One of ten separately assessed townhomes matching the ten-home permit. Exact PIN reports three-story townhouse and1117sqft lot but zero floor area throughout2022-2026. Retain homes-per-acre only; listings use old or other parcel numbers and cannot supply this home floor area.,permit100725616/assessor_PINS1735104027_4031_and4033_4037,medium
residential_tieback_17341050010000,retain_override,residential_condo_1734105056,2022,8,,6023,FALSE,TRUE,approved_completion_proxy,completed_assessor_and_permit_review,unresolved,source_reported_assessor_land,3109 Giles completed eight-home building; 3105 completed Assessor2023 remains outside sample; floor area unavailable,User approval2026-09-09; release_review.md firmer recommendations and linked sources,approved_treatment
residential_tieback_20024000560000,retain_override,residential_tieback_20024000560000,2021,4,6701,4900,TRUE,TRUE,approved_completion_proxy,completed_assessor_and_permit_review,assessor_building_once,source_reported_assessor_land,4400 Oakenwald four apartments confirmed by permit100902285 and completed Assessor; exclude neighboring1881 renovation,User approval2026-09-09; release_review.md firmer recommendations and linked sources,approved_treatment
residential_tieback_20024040410000,retain_override,residential_tieback_20024040410000,2010,1,3595,3519,TRUE,TRUE,approved_completion_proxy,completed_assessor_and_permit_review,assessor_building_once,source_reported_assessor_land,4450 Oakenwald surviving house; vacant4442 obsolete card does not establish second house,User approval2026-09-09; release_review.md firmer recommendations and linked sources,approved_treatment
residential_tieback_20032000220000,retain_override,residential_tieback_20032000220000,2022,3,5463,5199,TRUE,TRUE,approved_completion_proxy,completed_assessor_and_permit_review,assessor_building_once,source_reported_assessor_land,418 Oakwood permit100946233 specifies three apartments; repeated building floor counted once; sum two reported parcel land areas,User approval2026-09-09; release_review.md firmer recommendations and linked sources,approved_treatment
residential_tieback_20034020040000,retain_override,residential_tieback_20034020040000,2020,3,5283,4155,TRUE,TRUE,approved_completion_proxy,completed_assessor_and_permit_review,assessor_building_once,source_reported_assessor_land,4317 Forrestville permit100835452 and listing identify three apartments; September2020 passed inspections; repeated floor counted once and two reported lots summed,User approval2026-09-09; release_review.md firmer recommendations and linked sources,approved_treatment
