source_project_id,override_action,override_final_project_id,override_condo_base,override_year,override_units,override_building_sqft,override_land_sqft,override_allow_far,override_allow_dupac,decision_reason,evidence_ids,confidence
residential_297_group_17104000490000,retain_override,residential_adjudicated_harbor_2021,1710400050,2022,350,652094,49926,TRUE,TRUE,User approved the developer-reported figures for Cirrus as a separate building from Cascade; first occupancy is 2022 Q1. The historical project identifier is retained.,permits_100821394_100918242/condo_base_1710400050/https://www.magellandevelopment.com/projects/cirrus/,high
residential_297_group_17104000540000,retain_override,residential_adjudicated_harbor_2021,1710400050,2022,350,652094,49926,TRUE,TRUE,User approved the developer-reported figures for Cirrus as a separate building from Cascade; first occupancy is 2022 Q1. The historical project identifier is retained.,permits_100821394_100918242/condo_base_1710400050/https://www.magellandevelopment.com/projects/cirrus/,high
residential_297_group_17172140050000,retain_override,residential_condo_1717214023,1717214023,2021,17,56295,16695,TRUE,TRUE,Peoria Green is one completed development with two wings: twelve homes at 128 S Green and five at 123 S Peoria. Completed revision permit 100876378 reduces twenty homes to seventeen; August 2021 completion reporting confirms seventeen. The complete 2022 Assessor base contains seventeen records repeating whole-building floor area 56295 and site area 16695. Four parking flags undercount homes; one flagged record reports five bedrooms and 3859 square feet. Retain source-reported whole-project areas once. Approved September 9 2026.,permit_100876378/permit_100852180/condo_base_1717214023/assessment_2022/https://chicagoyimby.com/2021/08/a-final-look-at-the-completed-peoria-green-in-west-loop.html,high
residential_297_group_17101300270000,exclude_not_ground_up,,,,,,,,,435 N Michigan is Tribune Tower: completed permit 100757281 describes adaptive reuse of an existing landmark office and retail building into 162 condominiums with a four-story addition. The developer confirms conversion of the 1925 tower. This is an existing-building conversion and addition rather than ground-up construction; exclude under the agreed definition.,permit_100757281/permit_100867578/https://golubandcompany.com/portfolio/tribune-tower-residences/,high
residential_297_group_14293100350000,retain_override,residential_condo_1429310057,1429310057,2021,3,5168,3112,TRUE,TRUE,User approved modal reported land: two completed records report 3112 and one 3100; all agree on year and building area.,condo_base_1429310057/permit_100881803,high
residential_tieback_13233220250000,retain_override,residential_condo_1323322047,1323322047,2019,6,10764,6270,TRUE,TRUE,Completed six-home permit and six consistent finished Assessor records establish one building.,condo_base_1323322047/permit_100703185,high
residential_297_group_16014270370000,retain_override,residential_condo_1601427051,1601427051,2022,6,14400,6137,TRUE,TRUE,Retain the completed 2022 six-home building; neighboring successor buildings report 2023 and are outside the study period.,condo_base_1601427051/permit_100884053,high
residential_297_group_17053010310000,retain_override,residential_condo_1705301070,1705301070,2021,3,6300,2967,TRUE,TRUE,Retain the separate three-home building at 1522 W Thomas using its finished Assessor measurements.,condo_base_1705301070/permit_100887419,high
residential_297_group_17053010310000,retain_override,residential_condo_1705301071,1705301071,2021,3,8253,2966,TRUE,TRUE,Retain the separate three-home building at 1518 W Thomas using its finished Assessor measurements.,condo_base_1705301071/permit_100882997,high
residential_297_group_14204110080000,retain_override,residential_condo_1420411074,1420411074,2021,3,4497,3116,TRUE,TRUE,User approved 2021 completion supported by all three 2021 apartment sales and repeated Assessor land of 3116 rather than isolated 3069.,condo_base_1420411074/permit_100884488/MLS_11074548/MLS_11217326/MLS_11074561,high
residential_tieback_14202280110000,retain_override,residential_reviewed_14202280110000,,2008,3,7308,3000,TRUE,TRUE,3619 N Sheffield: three apartments plus one commercial club agree with four total Assessor units. Retain own-parcel Assessor building and land areas; operator dates completion to 2008. User approved September 9 2026.,permit_100097576/assessment_2022/https://www.wrigleyrooftopsllc.com/rooftop/3619%20N%20Sheffield,high
residential_tieback_14202280110000,retain_override,residential_reviewed_14202280120000,,2008,3,7308,4968,TRUE,TRUE,3617 N Sheffield: three apartments plus one commercial club agree with four total Assessor units. Retain own-parcel Assessor building and land areas; operator dates completion to 2008. User approved September 9 2026.,permit_100093835/assessment_2022/https://www.wrigleyrooftopsllc.com/rooftop/3619%20N%20Sheffield,high
residential_tieback_14293000710000,retain_override,residential_tieback_14293000710000,,2020,18,45543,16901,TRUE,TRUE,Arden: retain one eighteen-home project containing three permitted buildings on the two reported Assessor parcels. Sum the three primary building cards once; the secondary parcel repeats a building interest. Broker confirms exact two parcels and 2020 completion. User approved September 9 2026.,permit_100797327/permit_100797329/permit_100797331/assessment_2022/https://www.showcase.com/2725-2741-n-ashland-ave-chicago-il-60614/41075318/,high
residential_tieback_16013170270000,retain_override,residential_condo_1601317037,1601317037,2018,6,14315,9369,TRUE,TRUE,User approved one six-home Walton Row project in 2018 using the complete condo cohort reporting whole-site measurements. Do not allocate the common land among six townhomes or count duplicated former parcel cards.,condo_base_1601317037/assessment_2022/permit_100563416/MLS_09683228,high
residential_tieback_14322240250000,retain_override,residential_condo_1432224071,1432224071,2012,3,6015,3113,TRUE,TRUE,2034 N Sheffield is a separate three-home building. User approved 2012 completion supported by 2011 corrected permits and first sales in 2012; use its three consistent completed Assessor records and individual reported lot.,condo_base_1432224071/assessment_2022/permits_100309781_100309785_100391194_100391206/MLS_08001257_08035308,high
residential_tieback_14322240250000,retain_override,residential_condo_1432224070,1432224070,2012,3,5810,3107,TRUE,TRUE,2036 N Sheffield is a separate three-home building. User approved 2012 completion supported by 2011 corrected permits and first sales in 2012; use its three consistent completed Assessor records and individual reported lot.,condo_base_1432224070/assessment_2022/permits_100309781_100309785_100391194_100391206/MLS_08001257_08035308,high
residential_297_group_17082530370000,retain_override,residential_condo_1708253039,1708253039,2017,4,22532,5483,TRUE,TRUE,Four original apartments completed by February 2017 sales; exclude the fifth dwelling created by commercial conversion. Use broker-reported whole-building floor area including commercial space and the repeated completed-Assessor site area.,permits_100634081_100703046/condo_base_1708253039/https://www.loopnet.com/Listing/440-N-Halsted-St-Chicago-IL/7337218/,approved_treatment
residential_tieback_17073250521001,retain_override,residential_condo_1707325052,1707325052,2007,2,2586,2827,TRUE,TRUE,Original two-home Warren building uses repeated whole-building and land fields in the 2022 condo snapshot. The 2025 conversion to one house does not change original construction.,permits_100104697_101064853/condo_2022_17073250521001_17073250521002,approved_treatment
residential_297_group_17104000460000,exclude_unbuilt,,,,,,,FALSE,FALSE,Empty development record has no building area or dwelling count. Historical site contains the successor parcels of already retained Cascade and Cirrus; it provides no additional completed building.,historical_2022_1710400046/current_successor_pins_1710400051_1710400052_1710400053_1710400054,high
