project_id,reported_year,construction_year,reason,evidence
residential_13364220540000,2005,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
residential_13364220550000,2005,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
residential_13364220560000,2005,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
residential_13364220570000,2005,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
residential_16094170260000,2022,2022,Retain Assessor 2022 proxy after conflicting rental year review,User decision 2026-09-08; Redfin reports 2022 and September 29 2022 sale: https://www.redfin.com/IL/Chicago/184-N-Lamon-Ave-60644/home/180693566
residential_14293190620000,2012,2014,User-approved 2014 listing-based completion proxy; sale records straddle December 2013 and January 2014; preserve Assessor measurements,RD Precision 2014 house in listing brokerage MLS 10840959; new-building permit 100487720 issued June 2013; https://www.atproperties.com/10840959/2439-n-greenview-avenue-chicago-illinois-60614-nei; user approval 2026-09-08
residential_14301180540000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180550000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180560000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180570000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180580000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180590000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180600000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180610000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180620000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180630000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180640000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180650000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180660000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180670000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14301180680000,2012,2014,User approved 2014 completion proxy for the fifteen separately recorded Oakley townhomes; retain individual Assessor measurements.,permit_100465982 issued July 2013; December 2014 contemporary completion reporting; https://www.chicagomag.com/real-estate/december-2014/these-riverfront-town-homes-wont-be-on-the-market-long/; original MLS listings built 2014; user approval September 9 2026
residential_14293010050000,2021,2017,User approved2017 completion proxy for1513 and1517Diversey; retain separate six-flat and its Assessor measurements.,permit_100580959/https://www.loopnet.com/Listing/1513-1517-W-Diversey-Pky-Chicago-IL/20030790/; user approval September9 2026
residential_17293300010000,2008,2011,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293300020000,2008,2011,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293300030000,2008,2011,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293300050000,2008,2011,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293300060000,2008,2011,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293300040000,2010,2012,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293100550000,2011,2013,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293100560000,2011,2013,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293100570000,2011,2013,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293100580000,2011,2013,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17293300180000,2011,2013,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; Riverbend Estates exact-address permits and original property listings
residential_17324081410000,2016,2017,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858
residential_17324081420000,2016,2017,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858
residential_17324081430000,2016,2017,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858
residential_17324081440000,2016,2017,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858
residential_17324081450000,2016,2017,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858
residential_17324081460000,2016,2017,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858
residential_17324081470000,2016,2017,User-approved completion proxy supported by new-building permits and dated original sales or listing construction years; preserve individual home measurements.,User approval 2026-09-09; release_review.md September9 three-site focused review; permits100647591_100717485; MRED10513474_11707858
residential_17333050410000,2014,2016,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_17333050420000,2014,2017,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_17333050430000,2015,2016,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_17333050440000,2014,2016,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_17333050450000,2014,2016,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_17333050460000,2014,2016,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_19192130240000,2006,2013,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_19192130250000,2006,2013,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_19192130260000,2006,2013,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_19192130270000,2006,2013,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_19192130280000,2006,2013,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_20024000770000,2008,2010,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_20024000780000,2008,2009,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_20024000790000,2008,2010,User-approved completion-year proxy; retain individual Assessor measurements,User approval 2026-09-09; working_paper_release_audit/release_review.md September 9 firmer recommendations; original listings and City permit/inspection history
residential_16133150550000,2008,2010,Three separately measured Polk three-flats; 2009 new-building permits and first completed assessments in 2010 contradict 2008.,permits_100274822_100274824_100312779; user approval 2026-09-09
residential_16133150560000,2008,2010,Three separately measured Polk three-flats; 2009 new-building permits and first completed assessments in 2010 contradict 2008.,permits_100274822_100274824_100312779; user approval 2026-09-09
residential_16133150570000,2008,2010,Three separately measured Polk three-flats; 2009 new-building permits and first completed assessments in 2010 contradict 2008.,permits_100274822_100274824_100312779; user approval 2026-09-09
residential_17324080800000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080810000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080820000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080830000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080840000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080850000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080860000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080870000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080880000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080890000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080900000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080910000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080920000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080930000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080940000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080950000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080960000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080970000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080980000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324080990000,2011,2013,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324081000000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324081010000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324081020000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17324081030000,2011,2014,Keep each Lexington townhouse separate. Use its row final inspection as an approved completion proxy; some individual homes sold before the row final inspection.,permits_100424830_100424643_100424836_100424838_100424841; user approval 2026-09-09
residential_17083340510000,2008,2010,17 N Bishop is a separate four-flat; listing evidence supports the approved 2010 completion proxy.,permit_100197052/listing_MLS_12016772; user approval 2026-09-09
residential_17083340500000,2008,2011,19 N Bishop is exact current parcel 1708334050. Passed February 2011 construction inspection supplies the user-approved completion proxy.,permit_100197079/inspection_2011_02_10; user approval 2026-09-09
residential_17072080510000,2011,2014,A permit applied for in 2013 describes the six-unit new building and property records report 2014; the Assessor's 2011 year predates the permit.,100507436
residential_tieback_17072080250000,2011,2014,A permit applied for in 2013 describes the six-unit new building and property records report 2014; the Assessor's 2011 year predates the permit.,100507475
residential_17072120520000,2012,2014,A permit applied for in 2013 describes the six-unit new building and property records report 2014; the Assessor's 2012 year predates the permit.,100507392
residential_25173040490000,2013,2009,The 2007 permit identifies the four-unit new building and property records report completion around 2009; the Assessor's 2013 year is too late.,100182858
residential_13254270240000,2015,2016,The completed building is consistently reported as built in 2016; the Assessor's selected 2015 year is one year early.,project_manual_reviews.csv:residential_13254270240000
residential_20034190280000,2013,2014,The 2006 prototype permit was reinstated in 2013 after a change in ownership and contractors. MLS records identify the completed three-unit building as 2014 construction.,100105194/100494941
residential_tieback_17072120260000,2011,2014,The permit was issued in late 2013 and MLS records identify the six-unit building as 2014 construction.,100507411
residential_16113040410000,2006,2008,The exact parcel record confirms a three-unit building and the MLS dates it to 2008. The Assessor's 2006 year is corrected to the independently reported completion year.,https://www.realtor.com/realestateandhomes-detail/306-N-Hamlin-Ave_Chicago_IL_60624_M85388-25076
residential_20034010280000,2006,2007,"The whole-building MLS record identifies three units completed in 2007, correcting the Assessor's four-unit count and 2006 year.",https://www.compass.com/building/4318-s-forrestville-ave-chicago-il-60653/592876679982812709/
residential_20113140040000,2014,2018,Whole-building and unit-level MLS records consistently date the four-unit condominium building to 2018 rather than the Assessor's selected 2015 year.,https://www.compass.com/building/5317-s-maryland-ave-chicago-il-60615/593142463749414757/
residential_14194010470000,2006,2007,The City issued a new-building permit in August 2006 and the completed home is reported as built in 2007. The Assessor selected 2006.,100113290
residential_20211290250000,2006,2008,The completed home is reported as built in 2008 with the same area fields. The Assessor selected 2006.,https://www.redfin.com/IL/Chicago/6613-S-Normal-Blvd-60621/home/40373090
residential_14201130530000,2008,2006,The home is reported as built in 2006 and was marketed and sold by 2007. The Assessor selected 2008.,https://www.zillow.com/homedetails/3752-N-Janssen-Ave-Chicago-IL-60613/89897007_zpid/
residential_16354070670000,2008,2009,"The exact unit record reports a 2009 townhouse with the same area fields. Neighboring units carry nearby but inconsistent years, so the correction is medium confidence.",https://ilfls.com/listing/3533-w-38th-st-chicago-il-60632-651363
residential_17091190240000,2008,2006,"The exact PIN is reported as a 7,910-square-foot home built in 2006 and sold in 2007. The Assessor selected 2008.",https://www.countyoffice.org/n-kingsbury-st-chicago-il-property-records/
residential_20041280450000,2008,2006,The City issued a 2006 exact-address permit for a new two-story single-family residence. A 2008 listing describes the home as two years old. The Assessor selected 2008.,100121909
residential_13124111250000,2010,2008,The home was listed by 2007 and is reported as built in 2008. The Assessor selected 2010 after revising its reported year.,https://www.redfin.com/IL/Chicago/5007-N-Lincoln-Ave-60625/unit-1/home/18501486
residential_17072080540000,2011,2014,The City issued an exact-address permit in March 2014 to erect a new three-story single-family residence. The Assessor selected 2011.,100524262
residential_16024080460000,2016,2014,"The City issued a 2013 exact-site permit for a new single-family residence, and the completed home sold in January 2014. The Assessor selected 2016.",100494203
residential_13354000470000,2019,2018,The City issued a new-house permit in 2017 and the exact PIN record reports the completed home as built in 2018. The Assessor selected 2019.,100713067
residential_17293030050000,2019,2020,This unit is part of a documented 17-townhome development delivered in 2020. The Assessor selected 2019.,https://www.compass.com/building/1501-w-fuller-st-chicago-il-60608/592770053292385485/
residential_17293030060000,2019,2020,This unit is part of a documented 17-townhome development delivered in 2020. The Assessor selected 2019.,https://www.compass.com/building/1501-w-fuller-st-chicago-il-60608/592770053292385485/
residential_17293030070000,2019,2020,This unit is part of a documented 17-townhome development delivered in 2020. The Assessor selected 2019.,https://www.compass.com/building/1501-w-fuller-st-chicago-il-60608/592770053292385485/
residential_17293030080000,2019,2020,This unit is part of a documented 17-townhome development delivered in 2020. The Assessor selected 2019.,https://www.compass.com/building/1501-w-fuller-st-chicago-il-60608/592770053292385485/
residential_17293030090000,2019,2020,This unit is part of a documented 17-townhome development delivered in 2020. The Assessor selected 2019.,https://www.compass.com/building/1501-w-fuller-st-chicago-il-60608/592770053292385485/
residential_17293030100000,2019,2020,This unit is part of a documented 17-townhome development delivered in 2020. The Assessor selected 2019.,https://www.compass.com/building/1501-w-fuller-st-chicago-il-60608/592770053292385485/
residential_17293030110000,2019,2020,This unit is part of a documented 17-townhome development delivered in 2020. The Assessor selected 2019.,https://www.compass.com/building/1501-w-fuller-st-chicago-il-60608/592770053292385485/
