case_number,project_id,address,in_main_500ft_sample,current_units,current_land_sqft,recommended_units,recommended_land_sqft,recommendation,evidence,permit_numbers,source_urls,remaining_issue,assessor_row_ids,assessor_history,review_date,adopted,permit_evidence,current_construction_year,current_building_sqft,other_measurement_concern,followup_reviewed,recommended_construction_year,recommended_building_sqft,followup_evidence,proposed_sample_action
11,commercial_17042140160000,321 W EVERGREEN CHICAGO,TRUE,15,7650,15,7650,Retain,"The original new-building permit specifies 15 apartments, agreeing with the newer Assessor count and the individual parcel.",100667281,,Permit gross floor area differs from the Assessor floor measure; this review does not replace floor area.,43121;68826,"17042140160000 cardNA classNA built2017: 15 homes / 15416 floor / 7650 land, assessment 2024; 17042140160000 cardNA classNA built2020: 8 homes / 15416 floor / 7650 land, assessment 2021",2026-09-15,TRUE,"100667281 | COMPLETE | 2016-12-19T00:00:00.000 | 317 W EVERGREEN AVE | NEW CONSTRUCTION 15 UNIT, 4 STORY, 3B, 19,909 S.F. BUILDING WITH BASEMENT & INDOOR GARAGE.",2017,15416,,FALSE,,,,Keep
12,commercial_17043040290000,531 W DIVISION CHICAGO,FALSE,112,30195,111,30195,Correct count; retain year,Original new-building permit explicitly specifies 112 apartments. Retain the same reported parcel group and lot.,100186134;100349748,https://www.thecha.org/sites/default/files/2025-06/Cabrini-NOW-Appendix-Vol-1-for-Public-Comment_06.25_Development.pdf;https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/132960.pdf;https://www.loopnet.com/property/531-w-division-st-chicago-il-60610/17031-17043040290000/,The earlier 112/2011 recommendation was for the wrong phase and is superseded. Retain the Division parcel and its existing location; do not relocate this record to Oak Street.,42879;68911,"17043040290000 cardNA classNA built2009: 112 homes / 171458 floor / 30195 land, assessment 2024; 17043040290000 cardNA classNA built2011: 111 homes / 171458 floor / 30195 land, assessment 2021",2026-09-15,TRUE,"100349748 | COMPLETE | 2010-06-23T00:00:00.000 | 544 W OAK ST | NEW CONSTRUCTION- 8 STORY 112 UNIT/COMMERCIAL BUILDING WITH INDOOR PARKING. | Adoption check: permit 100186134, COMPLETE, CERTIFICATE OF OCCUPANCY ISSUED, issued 2007-07-02, 545 W Division: NEW CONSTRUCTION; ERECT 8-STORY MID-RISE, 111-DWELLING UNITS WITH FIRST FLOOR COMMERCIAL SPACE AND PRIVATE GARAGE. Coordinate (-87.64307539539742, 41.90360900854368). The original cited 100349748 is at 544 W Oak, not this building.",2009,171458,Construction year,TRUE,2009,171458,"Adoption check corrected an erroneous building match in the earlier review. Permit 100349748 describes 544 W Oak, the separate 112-apartment Parkside IIA building; its PIN field points to the Division parcel but its address and coordinate do not. The original completed permit 100186134 at 545 W Division specifies 111 apartments, matching the earlier Assessor count for 531 W Division. CHA's May 2025 Cabrini NOW table identifies Parkside IB-Rental as 111 units completed in 2009. Use 111 and retain the selected Assessor year 2009, with its 171458-square-foot floor and 30195-square-foot lot.",Keep
13,commercial_17043060300000,465 W DIVISION CHICAGO,FALSE,106,28001,106,28001,Retain,"The completed-building LISC account reports 106 apartments. Reuse the recorded correction, which supersedes the initial 94-unit permit. Keep the Assessor site for the completed building.",100547342,https://map.lisc-cnda.org/2017/driehaus/459-terrace-at-parkside-of-old-town/,Existing documented completed-building decision already applied.,42880;68968,"17043060300000 cardNA classNA built2015: 106 homes / 118924 floor / 28001 land, assessment 2024; 17043060300000 cardNA classNA built2017: 94 homes / 118924 floor / 28001 land, assessment 2021",2026-09-15,TRUE,100547342 | COMPLETE | 2014-06-25T00:00:00.000 | 459 W DIVISION ST | CONSTRUCT A 9 STORY 94 UNIT BUILDING- 459 WEST DIVISION STREET,2015,118924,,FALSE,,,,Keep
14,commercial_17043230020000,943 N CROSBY CHICAGO,FALSE,27,10400,27,10400,Retain,"Original new-building permit specifies 27 dwellings and office space. It supports 27 apartments, not the older 28, on the recorded parcel.",100544624,,Do not count the office as another apartment.,43145;68835,"17043230020000 cardNA classNA built2017: 27 homes / 29578 floor / 10400 land, assessment 2024; 17043230020000 cardNA classNA built2020: 28 homes / 29578 floor / 10400 land, assessment 2021",2026-09-15,TRUE,100544624 | COMPLETE | 2016-10-07T00:00:00.000 | 943 N CROSBY ST | NEW 27 UNIT RESIDENTIAL / COMMERCIAL OFFICE AT GRADE MIXED USE BUILDING WITH 22-REQUIRED ENCLOSED PARKING PER PLANS,2017,29578,,FALSE,,,,Keep
15,commercial_17044480130000,801 N LA SALLE CHICAGO,FALSE,292,28593,292,28593,Correct year,"Completed-building descriptions report 292 apartments, supporting the newer Assessor count over 296. Keep the recorded ten-parcel site.",,https://www.luxurychicagoapartments.com/properties/805-n-lasalle-st/;https://yochicago.com/805-north-lasalle-805-n-lasalle-st-near-north-side/,Recommend 2015; retain the selected 292 apartments and recorded building/site areas.,43181;68854,"17044480130000 cardNA classNA built2016: 292 homes / 330644 floor / 28593 land, assessment 2024; 17044480130000 cardNA classNA built2017: 296 homes / 330644 floor / 28593 land, assessment 2021",2026-09-15,TRUE,,2016,330644,Construction year,TRUE,2015,330644,"The Eight O Five building account records first occupancy in June 2015 and completion in 2015. Its narrative and separate rental marketing support 292 apartments. The same page has an inconsistent 295-unit sidebar, so that sidebar is not an additional count confirmation. Prefer documented occupancy to the competing 2016/2017 Assessor years. Adoption location check: Location checked against completed full-building permit 100539813 at 805 N LaSalle. Its underlying PIN 1704448009 belongs to the reported parcel group; the separate foundation permit repeats the same point.",Keep
16,commercial_17044490470000,833 N CLARK CHICAGO,FALSE,368,37399,368,37399,Correct year,The full-building permit and developer Daiwa House completed-project data both specify 368 rental homes. The developer records completion in July 2017. Retain 368 and the Assessor floor and lot areas.,100608737;100631673,https://www.daiwahouse.com/English/global/americas/united_states/aurelien.html,Recommend 2017; retain 368. Conflicting publicity is documented rather than treated as independent proof of 373.,43186;68857,"17044490470000 cardNA classNA built2015: 368 homes / 531961 floor / 37399 land, assessment 2024; 17044490470000 cardNA classNA built2017: 373 homes / 531961 floor / 37399 land, assessment 2021",2026-09-15,TRUE,"100608737 | COMPLETE | 2015-08-10T00:00:00.000 | 833 N CLARK ST | FOUNDATION AND SUPERSTRUCTURE ONLY FOR A NEW 31-STORY RESIDENTIAL TOWER WITH THREE LEVELS OF PARKING AND 369 DWELLING UNITS
100631673 | COMPLETE | 2016-01-25T00:00:00.000 | 833 N CLARK ST | NEW 31-STPU. 368-UNIT RESIDENTIAL TOWER WITH 3 LEVELS OF PARKING, AS PER PLANS",2015,531961,Construction year,TRUE,2017,531961,"Daiwa House distinguishes the completed-project data (368 homes, July 2017) from unrevised proposal prose on the same page (373). Other publicity repeats 373, as does the older Assessor. The final project data and 368-home full permit support retaining the newer count. Neither the 2015 start year nor proposed 373 should automatically replace the completed figures.",Keep
17,commercial_17044510080000,228 W HILL CHICAGO,TRUE,456,64231,456,64231,Retain,"Original full-building permit and revision both specify 456 apartments, supporting the newer count over 458. Retain the same recorded site.",100819099;100866514,,,43192;68952,"17044510080000 cardNA classNA built2021: 456 homes / 602197 floor / 64231 land, assessment 2024; 17044510080000 cardNA classNA built2020: 458 homes / 602197 floor / 64231 land, assessment 2021",2026-09-15,TRUE,"100819099 | COMPLETE | 2019-12-31T00:00:00.000 | 228 W HILL ST | *DIRECT DEVELOPER SERVICES* NEW CONSTRUCTION FOR A 41 STORY BUILDING.  456 DWELLING UNITS AS PER PLANS. 209 PARKING SPACES, A 6-STORY PODIUM WITH 3,694 SF OF GROUND FLOOR RETAIL, 4TH & 5TH FLOOR OFFICE SPACES, AND A 6TH FLOOR AMENITY DECK WITH A GREEN ROOF.* FOUNDATION AND PARTIAL SUPERSTRUCTURE UNDER 100814234
100866514 | COMPLETE | 2020-05-28T00:00:00.000 | 228 W HILL ST | *DIRECT DEVELOPER SERVICES* REVISION TO PERMIT #100819099 TO UPDATE UNIT 3910, 4001-4003 AND PRIVATE ROOF DECK W/ POOL AS PER PLANS. EXISTING 41 STORY BUILDING WITH A 6 STORY PODIUM. 456 DWELLING UNITS.",2021,602197,,FALSE,,,,Keep
18,commercial_17062350680000,1640 W DIVISION CHICAGO,FALSE,146,21959,146,21959,Retain,Original 140-unit permit plus the documented six-unit revision yields the completed 146. Reuse the existing correction. Both commercial snapshots independently report 21959 square feet for the same parcel group.,100695536;100722337,,"The old correction reason mentions polygons, but the current numeric lot area is also reported by both Assessor sources.",60729;80981,"17062350680000 cardNA classNA built2017: 150 homes / 143054 floor / 21959 land, assessment 2024; 17062350680000 cardNA classNA built2020: 142 homes / 143054 floor / 21959 land, assessment 2021",2026-09-15,TRUE,"100695536 | COMPLETE | 2017-04-26T00:00:00.000 | 1640 W DIVISION ST | ***DIRECT DEVELOPER SERVICES*** FULL BUILDING PERMIT FOR A PROPOSED 15 STORY RESIDENTIAL BUILDING WITH 140 DWELLING UNITS, 50 PARKING SPACES AND RETAIL ON THE GROUND FLOOR; AS PER PLANS.  REFERENCE FOUNDATION PERMIT #100669848.  [SEE REVISION #100722337 TO ADD (6) DWELLING UNITS (TOTAL 146)]
100722337 | COMPLETE | 2017-12-07T00:00:00.000 | 1640 W DIVISION ST | ***DIRECT DEVELOPER SERVICES*** REVISION TO FULL BUILDING PERMIT 100695536; LEVEL 1 LAYOUT REVISION TO RELOCATE THE RESIDENTIAL LOBBY TO THE WEST FACE OF THE BUILDING.  SIX ADDITIONAL RESIDENTIAL UNITS ADDED TO LEVEL 2. LEVEL 2 ADDITIONAL BUSINESS CENTER AMENITY SPACE AND A SMALLER COMMERCIAL SPACE. AS PER PLANS.",2018,143054,,FALSE,,,,Keep
19,commercial_17062351420000,1664 W DIVISION CHICAGO,FALSE,65,19987,60,19987,Correct count and year,"Original foundation and full-building permits specify 60 apartments. A 2018 permit converts a fitness center into the 61st apartment, proving a later change. Use 60 for the original building, not the later 65.",100618763;100633291;100654380;100755351,https://rejournals.com/wicker-park-connection-adds-retail-users-hits-the-market/,"Recommend original count 60 and completion proxy 2016, with the recorded 19987-square-foot parcel and 56667-square-foot building.",60731;80983,"17062351420000 cardNA classNA built2019: 65 homes / 56667 floor / 19987 land, assessment 2024; 17062351420000 cardNA classNA built2020: 60 homes / 56667 floor / 19987 land, assessment 2021",2026-09-15,TRUE,"100618763 | COMPLETE | 2015-10-14T00:00:00.000 | 1664 W DIVISION ST | FOUNDATION,SUPERSTRUCTURE AND STAIRS FOR PROPOSED 6-STORY RESIDENTIAL BUILDING WITH 60 DWELLING UNITS
100633291 | COMPLETE | 2016-01-29T00:00:00.000 | 1664 W DIVISION ST | FULL BUILDING FOR NEW 6-STORY WITH RETAIL ON THE GROUND FLOOR AND 60 DWELLING UNITS ON THE FLOORS ABOVE, MIXED USE BUILDING
100654380 | COMPLETE | 2016-06-22T00:00:00.000 | 1664 W DIVISION ST | ***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100633291; REVISIONS INCLUDE: UNIT HVAC HAS BEEN REVISED TO BE GAS-FIRED FORCED AIR FURNACES; UNIT LAYOUTS HAVE BEEN REVISED TO REFLECT HVAC REVISION; EXTERIOR ELEVATIONS HAVE BEEN REVISED TO REFLECT HVAC REVISION; 2ND FLOOR ROOF TERRACES / GREEN ROOF REVISED THRU V.E. PROCESS; AMENITY AND FITNESS ROOMS RELOCATED TO 6TH FLOOR; BLACK IRON DUCT ADDED; ALL AS PER PLANS
100755351 | COMPLETE | 2018-08-17T00:00:00.000 | 1664 W DIVISION ST | SELF-CERT: CONVERSION OF EXISTING FITNESS CENTER TO RESIDENTIAL UNIT IN EXISTING 6-STORY, 60-RESIDENTIAL UNIT INCREASED TO 61 D.U. MIXED-USE BUILDING OF TYPE 1-C CONSTRUCTION. ALL WORK TO BE PERFORMED AS PER PLANS.",2019,56667,Construction year,TRUE,2016,56667,"A November 2018 completed-property account explicitly distinguishes 60-unit Centrum Wicker Park at 1664 W Division, opened in 2016, from the newer 146-unit building at 1640. This supports the original 60 and 2016; the 2018 fitness-center conversion adds an apartment later.",Keep
20,commercial_17064360090000,1834 W CHICAGO CHICAGO,FALSE,59,37362,59,37362,Correct year,"Original new-building permit specifies 59 apartments, supporting the newer count and the same five-parcel Assessor site.",100593850,https://www.multihousingnews.com/cushman-wakefield-represents-fifield-cos-in-chicago-deal/;https://kassmanagement.com/news/luxury-living-neighborhood-feeling-boutique-west-town-building,Recommend 2016; retain 59 and the recorded five-parcel site and building area.,60795;81044,"17064360090000 cardNA classNA built2014: 59 homes / 84306 floor / 37362 land, assessment 2024; 17064360090000 cardNA classNA built2017: 56 homes / 84306 floor / 37362 land, assessment 2021",2026-09-15,TRUE,100593850 | COMPLETE | 2015-05-06T00:00:00.000 | 1838 W CHICAGO AVE | NEW 4 STORY MIXED USE BUILDING; 59 DWELLING UNITS WITH 1ST FLOOR RETAIL- 1838 WEST CHICAGO AVE,2014,84306,Construction year,TRUE,2016,84306,The 2019 sale account describes Luxe on Chicago at 1838 W Chicago as a 59-apartment building completed in 2016. A November 2016 management-company news item already describes the new building. This fits the May 2015 building permit and rules out selected year 2014. Adoption location check: Location checked against completed original 59-apartment permit 100593850 at 1838 W Chicago on exact base PIN 1706436009. The later daycare buildout is not used as the building location.,Keep
21,commercial_17074170400000,1805 W LAKE CHICAGO,FALSE,14,22290,,,Hold identity,The Assessor switches from eight to fourteen while floor and land stay fixed. Existing notes infer an eight-unit and a six-unit building. The located six-unit permit is at 156 N Wood; no matching eight-unit construction permit establishes that both belong to this parcel and its 9450-square-foot floor measure.,100143189;100853644,https://projects.propublica.org/hud/properties/IL002132000,"Recommend withholding density; the physical coverage of the count, floor and lot is unresolved. Do not sum apartments on the strength of nearby addresses.",60834;83676,"17074170400000 cardNA classNA built2010: 14 homes / 9450 floor / 22290 land, assessment 2024; 17074170400000 cardNA classNA built2012: 8 homes / 9450 floor / 22290 land, assessment 2021",2026-09-15,TRUE,"100143189 | COMPLETE | 2006-10-19T00:00:00.000 | 156 N WOOD ST | CONSTRUCT NEW 6 UNIT BUILDING PER PLANS. WESTHAVEN PARK IIB BUILDING 15, BUILDING TYPE A.
100853644 | COMPLETE | 2020-01-29T00:00:00.000 | 1813 W LAKE ST | INTERIOR FIRE DAMAGE REPAIRS TO 2 DWELLING UNITS AS PER PLANS CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS.",2008,9450,,TRUE,,9450,"The additional exact-address searches do not establish the suggested eight-plus-six building combination. The preserved six-unit permit names 156 N Wood, while later work names 1813 W Lake. The assessment of the combined PIN repeats only 9450 square feet of building while changing eight to fourteen apartments. No located source assigns both building measurements and the 22290-square-foot site to a coherent new-construction observation.",Withhold density
22,commercial_17074220480000,1804 W WASHINGTON CHICAGO,FALSE,6,14645,6,14645,Retain,"Exact-address original permit specifies a new six-unit Westhaven building, matching the newer Assessor count. Keep the site's reported parcel and land.",100143313,,The original permit is from 2006; selected completion proxy remains 2010 and has not been newly established.,60843;83683,"17074220480000 cardNA classNA built2010: 6 homes / 11280 floor / 14645 land, assessment 2024; 17074220480000 cardNA classNA built2012: 7 homes / 11280 floor / 14645 land, assessment 2021",2026-09-15,TRUE,"100143313 | COMPLETE | 2006-10-19T00:00:00.000 | 1804 W WASHINGTON BLVD | CONSTRUCT NEW 6 UNIT BUILDING PER PLANS.  WESTHAVEN PARK IIB BUILDING 2, BUILDING TYPE E.",2010,11280,,FALSE,,,,Keep
23,commercial_17082440010000,505 N MILWAUKEE CHICAGO,FALSE,48,17987,48,17987,Retain,"Original new-building permit specifies 48 apartments plus commercial space, supporting the current count and its recorded nine-parcel site.",100613760,,,60905;83179,"17082440010000 cardNA classNA built2015: 48 homes / 55076 floor / 17987 land, assessment 2024; 17082440010000 cardNA classNA built2017: 47 homes / 55076 floor / 17987 land, assessment 2021",2026-09-15,TRUE,100613760 | COMPLETE | 2015-09-11T00:00:00.000 | 505 N GREEN ST | NEW CONSTRUCTION OF MULTI-FAMILY LOW RISE RESIDENTIAL BUILDING WITH 48 DWELLINGS UNITS WITH FIRST FLOOR COMMERCIAL SPACE,2015,55076,,FALSE,,,,Keep
