project_id,prior_flag_assessment,assessment,earlier_decision,original_count_source,original_evidence,original_urls,original_caveat,record_reference
commercial_17102120370000,count_decision_does_not_resolve_land,The 490-home building identity was reviewed. The current flag also concerns its 100946-square-foot land value being repeated on another tower; that question was not resolved by the count decision.,The assessor parcel address is 240 E Illinois but the permit chain and physical fields identify the 490-unit Optima Signature tower at 220 E Illinois completed in 2017,permit_chain_commercial_2021_and_project_record,permits_100561443/100600523/100609789/100625206/100820991/Optima_Signature,https://www.optima.inc/projects/optima-signature/,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row266
commercial_17161000490000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The completed permit and project records identify 492 apartments and completion in 2018,permit_100685260_and_project_records,permit_100685260/727_West_Madison,https://www.fifieldco.com/projects/727-west-madison/,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row292
commercial_17164010220000_tower_a,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.","Alta Grand Central consists of two 14-story towers completed in 2020. Contemporary project records identify 173 apartments in each tower, not the Assessor's 176.",project_manual_reviews.csv:commercial_17164010220000_tower_a,project_manual_reviews.csv:commercial_17164010220000_tower_a,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row13
commercial_17164010230000_tower_b,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.","Alta Grand Central consists of two 14-story towers completed in 2020. Contemporary project records identify 173 apartments in each tower, not the Assessor's 176.",project_manual_reviews.csv:commercial_17164010230000_tower_b,project_manual_reviews.csv:commercial_17164010230000_tower_b,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row14
commercial_17164110150000,preference_does_not_resolve_count,The earlier decision separates the original project site from a later added parcel but keeps the latest apartment count. The mixed-vintage count and site still need same-building evidence.,The added 2024 component is not part of the original AMLI 900 building site; the earlier source preserves the completed project footprint while the latest assessor supplies the completed unit count,commercial_2024,permits_100146629/100157087/city_building_886064,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row42
commercial_17172290130000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The completed new-construction permit and latest assessor report identify a 198-unit high-rise,commercial_2024_apartment_breakdown,permit_100836738/commercial_2024,,The older address is attached to a preexisting footprint in the City layer,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row294
commercial_17201020540000,preference_does_not_resolve_count,The old note explicitly acknowledges 15- and six-home permits against an 18-home assessment. Its timing decision does not settle which units the selected record covers.,Completed Roosevelt Square permits establish 2007 construction and the later assessor record supplies as-built attributes,commercial_2024,permit_100192136;permit_100191254,,Permit descriptions list 15 and 6 units at nearby addresses while the assessor entity reports 18,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row61
commercial_17344170280000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later Oakwood Shores entities are rollups and are replaced by fourteen separately measured 2021 building rows,commercial_2021,commercial_manual_decision_020/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row16
commercial_17344190130000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344190150000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344190250000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later Oakwood Shores entities are rollups and are replaced by fourteen separately measured 2021 building rows,commercial_2021,commercial_manual_decision_020/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row16
commercial_17344220010000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344220080000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344220090000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344230010000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344230040000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344230100000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344240090000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,commercial_2021,commercial_post_evidence/address_specific_permits,,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row17
commercial_17344270310000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 76-unit Oakwood Shores rollup is replaced by seven separately measured 2021 building rows,commercial_2021,commercial_manual_decision_021/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row18
commercial_17344280080000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 76-unit Oakwood Shores rollup is replaced by seven separately measured 2021 building rows,commercial_2021,commercial_manual_decision_021/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row18
commercial_17344280090000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.","The 76-unit Oakwood Shores rollup is replaced by seven separately measured 2021 building rows | The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",commercial_2021,commercial_manual_decision_021/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row18
commercial_17344280100000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 76-unit Oakwood Shores rollup is replaced by seven separately measured 2021 building rows,commercial_2021,commercial_manual_decision_021/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row18
commercial_17344290080000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 76-unit Oakwood Shores rollup is replaced by seven separately measured 2021 building rows,commercial_2021,commercial_manual_decision_021/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row18
commercial_17344300020000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.","The later Oakwood Shores entities are rollups and are replaced by fourteen separately measured 2021 building rows | The parcel is a separately measured Oakwood Shores component. Official housing records corroborate continued phased development, and the component's 2012 year and physical fields are stable in the Assessor history.",commercial_2021,commercial_manual_decision_020/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row16
commercial_17344310080000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later Oakwood Shores entities are rollups and are replaced by fourteen separately measured 2021 building rows,commercial_2021,commercial_manual_decision_020/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row16
commercial_17344320190000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later Oakwood Shores entities are rollups and are replaced by fourteen separately measured 2021 building rows,commercial_2021,commercial_manual_decision_020/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row16
commercial_17344330040000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later Oakwood Shores entities are rollups and are replaced by fourteen separately measured 2021 building rows,commercial_2021,commercial_manual_decision_020/address_specific_permits,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row16
commercial_19191150430000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",Two six-unit buildings share one assessed site and are aggregated with land counted once,permit_100757336_plus_100757340,permit_100757336;permit_100757340,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row16
commercial_20023050190000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",MLS records identify six four-bedroom townhomes completed in 2021,mls_project_record,boulevard_44_project,https://www.urbanrealestate.com/property/4434-S-Drexel-Unit-D-Chicago-IL-60653-6W3ojWyukpXT.html,The commercial bedroom field was incorrectly interpreted as 18 dwelling units,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row67
commercial_20153010080000,outside_common_density_sample,Both density measures were already withheld by user decision because counts and area coverage could not be reconciled.,User approved exclusion from both density measures. Preserve reported fields as unverified source values: the four commercial counts total 77 versus the developer 53 and parcel-specific permit counts do not reconcile.,stable_commercial_2021_2024_reports,permits_100163994_100185626_100185763/user_approval_2026_09_09,https://www.stedmundsrc.org/properties,Counts and area coverage remain unresolved; do not use for density.,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row274
commercial_20153020060000,outside_common_density_sample,Both density measures were already withheld by user decision because counts and area coverage could not be reconciled.,User approved exclusion from both density measures. Preserve reported fields as unverified source values: the four commercial counts total 77 versus the developer 53 and parcel-specific permit counts do not reconcile.,commercial_2024_apartment_unit_sum_rows:15934,permits_100163994_100185626_100185763/user_approval_2026_09_09,https://www.stedmundsrc.org/properties,Counts and area coverage remain unresolved; do not use for density.,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row276
commercial_20153020180000,outside_common_density_sample,The recorded permit supports 19 homes; both density measures are already withheld and land area is missing.,The three parcels contain the completed 19-unit building authorized and issued at 120 E 60th Street; the earlier 11-unit row covered only one component parcel,permit_100185763_and_commercial_2024,permit_100185763,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row47
residential_19102040040000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The permit identifies a new mixed-use building with one dwelling above a ground-floor restaurant. The Assessor's two-unit count mixes residential and commercial units.,,100094913,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row246
residential_condo_1708253039,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",Four original apartments completed by February 2017 sales; exclude the fifth dwelling created by commercial conversion. Use broker-reported whole-building floor area including commercial space and the repeated completed-Assessor site area. | Reviewed completed condo cohort and original building permit identify one building at this exact parcel point. Historical polygon containment is checked in the location producer. Land is independently source-reported.,,permits_100634081_100703046/condo_base_1708253039/https://www.loopnet.com/Listing/440-N-Halsted-St-Chicago-IL/7337218/,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row239
