permit_number,field,value,source,note
100194695,assign_lot,assessor_residential_14201060460000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","1444 W Grace is the corner lot 24 ft away, with a 2006 demolition of a four-unit building preceding this 2007 permit; 3754 N Janssen had wiring before this permit."
100458997,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Later permits at 2736 N Lakewood (2015 rooftop HVAC to existing residence citing this permit, 2025 pergola on existing terrace) put the house on its own lot."
100526743,assign_lot,assessor_condominium_1325315075,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","2489 N Milwaukee had a 2016 address-change revision; 2491 N Milwaukee is the adjacent 6-unit condo at 63 ft with first-floor commercial, while 2503 is tied to 2501 N Milwaukee."
100575094,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","2721 N Southport has a 2015 demolition, a revision citing this permit, and 2025-2026 work on its existing building and brick garage; the 2019 condo matches 100728257."
100635413,assign_lot,assessor_residential_14313220440000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","1766 N Wilmont belongs to permit 100685890 at 1766; 1760 N Wilmont, built 2017, is the adjacent lot matching this 2016 permit at 1764."
100685890,assign_lot,assessor_residential_14313220460000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate is at 1766 N Wilmont, the permit's own address."
100763750,assign_lot,assessor_condominium_1705117068,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",2-unit condo 45 ft from 1447 W Blackhawk after its 2018 demolition; 1437 W Blackhawk has its own SFR permit 100601611.
100862944,assign_lot,assessor_residential_20033110560000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Paired lots at 4457/4459 S Calumet: the 1-unit candidate matches this SFR, and the 2-unit candidate 20033110550000 matches the 2 DU permit 100866709 at 4457."
100866709,assign_lot,assessor_residential_20033110550000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",The 2-unit candidate 36 ft away qualifies only for this 2 DU permit; the 1-unit neighbor goes with SFR permit 100862944 at 4459.
100868800,assign_lot,assessor_residential_20043090410000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate is at 4351 Halsted, the permit's own house number."
100881263,assign_lot,assessor_residential_20031170380000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate is at 4143 Calumet, the permit's own house number."
100911559,assign_lot,assessor_residential_20031170440000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate is at 4129 Calumet, the permit's own house number."
100075525,assign_lot,assessor_condominium_1708226017,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Permit says deed address should be 848 W Erie and 2010 permits at 848 W Erie revise permit 100075525 to change address.
100090161,assign_lot,assessor_residential_19111210230000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Permit 100227286 at 3644 W 51st changes address from 3632 to 3644 W 51st St.
100095888,assign_lot,assessor_residential_17313100410000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Townhome pair at the 35th Pl/Oakley corner; candidate 2249 carries the same house number as the permit (2247 pairs with sibling permit 100095887).
100119246,assign_lot,assessor_residential_13303020540000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate is 2709 N Montclaire (spelling variant of Mont Clare) with the same house number; 2711 belongs with sibling 100119293.
100134355,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Expired permit at 742 E Pershing; the only candidate, 726 E Pershing, was built 2006 at a different number and also fits permit 100134190."
100155551,assign_lot,assessor_residential_14304031630000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 2705 Hartland Ct has the permit's exact address.
100157240,assign_lot,assessor_residential_14304031620000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 2701 Hartland Ct has the permit's exact address.
100161486,assign_lot,assessor_residential_16222280480000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",1530 S Karlov has its own erect-3-DU permit 100150682; the remaining candidate 1524 S Karlov is the adjacent lot and qualifies only for this permit.
100164445,assign_lot,assessor_residential_14304031300000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 2730 Hartland Ct has the permit's exact address; 2716/2720 were built 2006 and shared with 100165758.
100179561,assign_lot,assessor_residential_25044090060000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 9331 S LaSalle has the permit's exact address; 9333 goes with sibling 100179579.
100202139,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","3618 W 51st was renumbered from 3620 (permit 100227274), 3605 W 50th is on another street, and a 2024 new-construction permit 101038572 at 3610 W 51st shows the lot stayed unbuilt."
100205723,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The only candidate has no Assessor data, and the lot was permitted again for a new single-family house in 2014 (100489467), so the 2007 permit was likely never built."
100214021,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",2015 permits at 4148 S Prairie repair fire damage to an existing 3-story residential building with units 1N/2N; the building is on its own lot and 4116 S Prairie is elsewhere.
100214309,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",A 2023 permit at 4142 S Prairie repairs an existing porch on the building; the only candidate is 4116 S Prairie (built 2006) on another lot.
100225118,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","3623 and 3625 W 50th were renumbered from 3619/3621, 3618 W 51st from 3620, and 3640 W 51st is on another street; none ties to 3607 W 50th Pl."
100528447,assign_lot,assessor_condominium_1325315074,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",The 2015 elevator permit at 2503 N Milwaukee is for '2501 N Milwaukee Ave'; 2491 is an existing building with a first-floor restaurant.
100693524,assign_lot,assessor_commercial_17044510060000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Full-building permit for the 32-story 1140 N Wells tower; the single candidate is the 370-unit tower built 2020 next to the site.
100747714,assign_lot,assessor_condominium_1708116042,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 1462 Ohio Unit 1 has the permit's exact house number and street.
100768840,assign_lot,assessor_condominium_1704111061,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 1529 Hudson Unit 1 has the permit's exact house number and street.
100799509,assign_lot,assessor_condominium_1705314069,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 1504 Walton Unit 1 has the permit's exact house number and street.
100833161,assign_lot,assessor_condominium_1708116041,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate '1748 Ohio 1' is a digit transposition of 1474 Ohio; the other permit it fits (1462 W Ohio, 100747714) has its own exact-address condo."
100863309,assign_lot,assessor_residential_20031170370000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 4145 Calumet has the permit's exact house number and qualifies only for this permit.
100868807,assign_lot,assessor_residential_20043090400000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 4355 Halsted has the permit's exact house number; 4357 is shared with prototype 100868800 and others.
100893551,assign_lot,assessor_condominium_1601208052,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 1439 California Ave Unit 1 has the permit's exact house number and qualifies only for this permit.
100911592,assign_lot,assessor_residential_20031170420000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 4133 Calumet has the permit's exact house number and qualifies only for this permit.
100919557,assign_lot,assessor_residential_20101020370000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate 4735 Michigan has the permit's exact house number; 4733 goes with sibling 100919558.
100979765,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",A 2025 reinstatement of permit 100979765 says work must still begin; the house at 2844/2848 N Sayre was not built and the candidates have no data.
100080630,assign_lot,assessor_commercial_17103180820000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Only candidate is the 608-unit 2007 Lakeshore East tower (360 E Wacker) matching this 607-unit 360 E South Water tower; note 100120255 at the same address is the full-tower permit for the same building, and this one is foundation-only."
100095781,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","2446 W Walton has its own 2006-08 demolition and later revisions to 100095781 (2013 rooftop access), so the building is on its own lot; 2442 already had an alarm permit in 2006-09 and 2458 had its own 2006-03 demolition."
100119293,assign_lot,assessor_residential_13303020530000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Same house number: permit 2711 N Mont Clare, parcel 2711 N Montclaire."
100131218,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","1135 W 34th Pl got a new 2010 NC permit (100337241), so the 2006 house was not built there; candidate 1139 W 34th Pl is a different lot and also fits 100131220."
100132484,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",A 2022 NC permit (100971986) for a new SFR at 4212 W Fifth Ave shows the lot was still unbuilt; 4204 and 4202 W 5th Ave are different lots that also fit 100132460.
100137652,assign_lot,assessor_condominium_1420300030,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The 22-unit 2008 condo at 1550 W Cornelia is on the Ashland/Cornelia corner of this 22-unit 3505 N Ashland permit; the other qualifying permit, 100298401 (26 units), was cancelled."
100152028,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The only candidate (3709 N Ashland) is on Ashland near 100159573 (3707 N Ashland), which got a 2007 temporary electric service; this 1552 W Waveland mixed-use permit expired with no follow-up permits."
100155578,assign_lot,assessor_residential_14304031640000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Same house number: permit 2709 N Hartland Ct, parcel 2709 Hartland Ct."
100159573,assign_lot,assessor_condominium_1420111044,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate 3709 N Ashland is on the same side of the same street, two numbers from 3707, and 3707 got a 2007-04 temporary electric service; the competing 1552 W Waveland permit expired with no activity."
100165758,assign_lot,assessor_residential_14304031310000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Same house number: permit 2726 N Hartland Ct, parcel 2726 Hartland Ct."
100172917,assign_lot,assessor_residential_20021020510000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","3952 S Drexel is at the Oakwood Blvd (3950 S) corner; the candidate, 801 E Oakwood, is a large-lot 2007 SFR addressed on the cross street, 106 ft away (also fits 100173820)."
100179579,assign_lot,assessor_residential_25044090070000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Same house number: permit 9333 S La Salle, parcel 9333 S Lasalle."
100202140,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate 3618 W 51st was re-addressed from 3620 (100227274), so it belongs to that lot; 3605 W 50th is on a different street across the alley, not a corner."
100205731,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","This is a detached-garage single-family house on Lot 85 at 1925 N Lotus; the candidates are seven identical 918 sq ft-lot townhouses on W Hanson, which do not fit that design."
100214011,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","A 2023 porch repair on a three-story building at 3916 S Indiana shows the building on its own lot; candidates 3900 and 3904 S Indiana are separate addresses about 100 ft away, built 2006, before this Dec 2007 permit."
100214022,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",2020 fire repairs to unit 2N of a '3 story 6 units apt building' at 4220 S Wabash show the permitted building on its own lot; the candidates are addressed 4238 S Wabash.
100298401,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","This 26-unit 3519 N Ashland permit was cancelled; the only candidate, the 22-unit 1550 W Cornelia condo built 2008, belongs to 100137652 (22 units, 3505 N Ashland, 2006)."
100558345,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The only candidate is a 2019 condo 54 ft from 1038 N Paulina, which had a 2018 demolition and permit 100773050; this 2015 permit at 1050 got 2015 alarm permits, which suggests it was built on its own lot."
100663598,assign_lot,assessor_condominium_1704110072,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",The new 4-unit no-address condo PIN 54 ft away (built 2018) follows this permit's 2016-09 demolition and 2017-01 revision at 1522 N Hudson; the competing 100768840 is at another address and is a mid-2018 permit.
100728257,assign_lot,assessor_condominium_1429303064,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",The new 3-unit no-address condo PIN 58 ft away (built 2019) follows the 2017-11 demolition and 2018 and 2019 revisions to this permit at 2731 N Southport; the competing 100575094 is an older 2015 permit.
100741203,assign_lot,assessor_condominium_1705319143,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The new 3-unit no-address condo PIN 51 ft away (built 2019) follows the 2018-01 demolition at 1513 W Walton; the competing 100799509 is a 2019 permit, less consistent with a 2019 completion."
100751695,assign_lot,assessor_condominium_1420411073,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The no-address 3-unit condo built 2019 follows the 2018-05 demolition at 1117 W Newport; the other candidate has its own address, 1121 Newport, and was built 2021."
100773050,assign_lot,assessor_condominium_1706418065,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The 3-unit condo built 2019 is 54 ft from 1038 N Paulina and follows its 2018-08 demolition and 2019 revision; the competing 100558345 (1050 N Paulina, 2015) is 119 ft away and too early."
100783654,assign_lot,assessor_residential_14283111000000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Same house number: permit 2464 N Burling, parcel 2464 BURLING UNIT, 2 units, built 2020."
100806942,assign_lot,assessor_residential_14184090220000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Same house number: permit 4251 N Hermitage, parcel 4251 Hermitage Av."
100935847,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The only candidate, a 118 E 41st building completed 2021, fits the 2020 permits 100867290 and 100867314; this permit was issued 2021-10 and expired, too late for a 2021 building."
100991194,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The 2025-06 reinstatement of this permit says work must begin, so the house at 2846 N Sayre was not built; the candidates have no data."
100100775,add_homes,13221020530000/13221020540000/13221020550000/13221020560000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","4525-4533 W Irving Park share the 2006-10-17 alarm permits, forming the 5-unit row; 4517-4523 (2006-10-03) and 4537-4543 (2006-11-15) are separate 4-unit rows."
100124316,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",2006 permit expired and the address has a new 2017 permit for 8 townhomes; 2007-era candidates are on Emerald or the even side / far odd side (759-763) of 15th St.
100132600,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidates are the 4 units of 807 W 37th Pl (alarm permit 2006-09-20, before this 2006-11-17 permit), not the 6-unit 3739-3749 S Lituanica row."
100179564,add_homes,13243050470000/13243050460000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","PD building #10: 3014 (2324 sq ft end), 3016 (1762 middle), 3018 (2324 end) form the 3-unit row; 3012 is the end unit of the adjacent building."
100185577,add_homes,13333270760000/13333270770000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Description lists lots 75-77 at 1910/1912/1914 N Lotus.
100190745,add_homes,13333270970000/13333270980000/13333270990000/13333271000000/13333271010000/13333271020000/13333271030000/13333271040000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Description lists lots 97-105 at 5418/5416/5414/5412/5408/5406/5404/5402/5400 W Hanson.
100199964,add_homes,13333271330000/13333271340000/13333271350000/13333271360000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Description lists lots 133-137 at 5252/5250/5246/5244/5240 W Hanson.
100202302,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","2008-03-12 revision 100227375 changed this permit from four units to one; 3623 and 3625 were renumbered under their own address-change permits (from 3619, 3621)."
100261678,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Parent parcel: measured no-address PIN (first assessed 2009, land 4649) was split into 4421/4423/4425 S Lake Park PINs first assessed 2010, so adding them double-counts."
100494413,add_homes,13043120550000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Member permit 100494413 is at 5212 W Olive and the candidate is the 2011 house at that address; the Latrobe houses have their own permits.
100520950,add_homes,13354180420000/13354180430000/13354180460000/13354180470000/13354180480000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Description lists the row 3565-3575 W Wabansia; the candidates are exactly 3567/3569/3571/3573/3575.
100526918,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Parent parcel: measured no-address PIN (first assessed 2015, land 5000) was split into 3001 and 3003 S Canal (first assessed 2016, land 2401/2501)."
100551077,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Parent parcel: measured no-address PIN (first assessed 2015, land 12000) was split into 11237 and 11243 S Albany (first assessed 2016, land ~6048 each)."
100559794,add_homes,13031300270000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Member permit 100559794 is at 6028 N Hiawatha and candidate 6028 (class 278, first assessed 2016, same year as the measured 6032 home) is its house."
100573918,add_homes,14313200330000/14313200340000/14313200350000/14313200360000/14313200380000/14313200390000/14313200400000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Floor areas repeat in 8-unit buildings; 1741-1755 N Winnebago (2209 ends, 2211 center pair incl. 1749) is this building, while 1705-1719 belongs to permit 100545392."
100641306,add_homes,17223030590000/17223030600000/17223030610000/17223030620000/17223030630000/17223030640000/17223030650000/17223030660000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Building 2 is the 9-unit run 1702-1728 S Prairie (larger end lots at 1702 and 1728); the 1628-1646 run belongs to sibling permit 100641307 (revision at 1630).
100658165,add_homes,20232131100000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Measured no-address PIN (land 6870, first assessed 2018) matches the earlier 1373 E 64th house (permit 2016-10, land 6919); 1375 E 64th (built 2018, first assessed 2019) is the second member's house at its own address."
100688738,add_homes,17202240630000/17202240640000/17202240650000/17202240660000/17202240690000/17202240700000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Seven same-year (2019) class-295 homes wrap the corner: 1426/1428/1430/1434 S Halsted and 802/806/810 W 14th Pl, exactly completing the 7 units."
100708162,add_homes,17211330270000/17211330280000/17211330290000/17211330310000/17211330320000/17211330330000/17211330340000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","The 8 townhomes are the 2018-built, 2019-assessed row 725-739 W 15th St on the permit's own side of the street."
100733208,add_homes,17301220380000/17301220390000/17301220400000/17301220410000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Assessor lists 2241 (W) Coulter units 1-4 (built 2018, first assessed 2019, end lots 2334/1880) as one 4-unit building at the permit address."
100766406,add_homes,13081030300000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Member permit 100766494 is at 6225 W Gregory and the candidate is the new house at that address.
100768528,add_homes,17301220570000/17301220580000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","2257 W Coulter units 3-4 are PINs 0590/0600; PINs 0570 (end lot 4104) and 0580 (1549) complete the 4-unit building, with 0620-0640 forming the next building."
100805767,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Parent parcel: measured no-address PIN (land 7500, first assessed 2020) was later split into the two 4022 Belle Plaine PINs (land ~3766 each, first assessed 2021)."
100818415,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","3450 N Keating is a renovation of an existing house, and 3408/3410 N Keating have their own new-construction permits (100797790/100797792); the measured PIN (land 13500) looks like a parent lot."
100926668,add_homes,17332080650000/17332080670000/17332080690000/17332080710000/17332080730000/17332080750000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Permit covers 3213-3227 S Stewart; the 2023-built odd Stewart homes 3215/3217/3219/3223/3225/3227 complete the 7, while 3201-3211 belong to 100821143 and Shields to 100926667."
100960932,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidates are 3853-3857 S Calumet (built 2023, about 1940 sq ft), not the permit's 336/338 E Pershing units (measured 334 built 2024, 1720 sq ft)."
100100776,add_homes,13221020510000/13221020500000/13221020490000/13221020480000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","4537-4543 W Irving Park got alarm permits on 2006-11-15 with 4535 (B100145741-54), same 2057 sq ft class 295; 4517-4533 were wired on separate dates as other rows."
100126553,add_homes,14304032190000/14304032200000/14304032210000/14304032220000/14304032230000/14304032240000/14304032250000/14304032260000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Description says nine units 2664 thru 2714 N Hermitage; 2664 plus 2700-2714 even (block jump at 2700) is exactly nine, all class 295 first assessed 2008."
100132618,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","No parcels at 817-827 W 37th Pl; candidates are 807 W 37th Pl units and 3740-3746 S Halsted, a separate development with an alarm permit (2006-09-20) before this permit was issued."
100182684,add_homes,13243050380000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Two-unit building 5 with 3019 W Cornelia (2324 sq ft); 3021 is the adjacent address with the same 2324 sq ft end-unit size, while 3015 (past a skipped 3017) fits as the end of the 3003-3015 row."
100185611,add_homes,13333270790000/13333270800000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Description lists lots 78-80 at 1916, 1918 and 1920 N Lotus; 1918 and 1920 are candidates."
100199949,add_homes,13333270210000/13333270220000/13333270230000/13333270240000/13333270250000/13333270260000/13333270270000/13333270280000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Description lists lots 20-28 at 5227-5243 W Galewood (9 units); 5229-5243 are candidates with matching GW-6 sizes.
100202293,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",2008-03-12 permit 100227373 changed this permit from four units to one unit townhome; 3623/3625 were readdressed under their own permits.
100202309,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",2008-03-12 permit 100227376 changed this permit from four units to one unit townhome; 3623/3625 were readdressed under their own permits.
100234536,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Only candidate is 606 W Stratford Pl, class 209, with a 2009 renovation/addition of an existing home, not one of the Cornelia townhomes; measured parcel (land 13000) may already cover the group."
100305798,add_homes,16144070130000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Member permit 100305832 is the new house at 3227 W Flournoy, matching the candidate parcel (class 207, built 2008, 1846 sq ft)."
100427054,add_homes,14293040750000/14293040760000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Member permits 100465843 and 100486813 are new houses at 2740 and 2744 N Lakewood, which match these candidates (first assessed 2015); measured parcel covers 2728."
100504426,add_homes,13263110250000/13263110260000/13263110270000/13263110280000/13263110290000/13263110300000/13263110310000/13263110320000/13263110330000/13263110340000/13263110350000/13263110360000/13263110370000/13263110380000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Description gives range 2630-2658 N Ridgeway (15 even addresses); 2632-2658 are the 14 matching candidates, while Hamlin homes belong to permit 100553627."
100522158,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Measured no-address parcel (first assessed 2015) is the parent lot; the six units 3634 W George A-F appear a year later (2016) as split parcels, so adding them double-counts."
100527454,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Measured no-address parcel has land 71206 sq ft covering the whole Hobbie/Cleveland/Oak development (first assessed 2015); the individual rowhome parcels appear in 2016, so adding them double-counts."
100553156,add_homes,13362070070000/13362070080000/13362070090000/13362070100000/13362070110000/13362070130000/13362070140000/13362070210000/13362070220000/13362070290000/13362070300000/13362070310000/13362070320000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","14 single-house member permits on W Medill/W Belden; the 13 candidates (incl. second 2647 PIN between 2647 and 2643, likely 2645) each carry a member permit or fill the two members without listed addresses."
100562095,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Measured 2522 W Grenshaw is member 100591506; the only candidate, 2530 W Grenshaw, has its own new-construction permit 100597156 and no house at 2520 is offered."
100583215,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Only candidate 1752 N Central Park is a class 207 existing home renovated in 2015, not one of the 8 townhomes; the two measured parcels (dwelling_units 4) already cover the row."
100641307,add_homes,17223030760000/17223030750000/17223030740000/17223030720000/17223030710000/17223030700000/17223030690000/17223030680000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Description gives 1626-46 S Prairie (building 3, 9 units); 1628, 1630 and 1636-1646 plus measured 1626 make exactly 9, while 1704-1728 are a different building."
100661550,add_homes,17312170280000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Member permit 100663890 is the new house at 1822 W 33rd Pl, matching this candidate; 1816 and 1814 have their own permits 100662079 and 100662080."
