duplicate_review_group_id,source_project_ids,action,final_project_ids,identity_evidence,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_duplicate_review_011,commercial_17041120620000/commercial_17041120710000,keep_separate_projects,commercial_17041120620000/commercial_17041120710000,distinct_years/distinct_component_pins/distinct_permit_chains,,high,The 199-unit project and the later Schiller Place buildings are separate phases at the same address,The 48-unit Schiller Place row is a three-building site aggregate,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_012,commercial_17043040290000/commercial_17043180320000,keep_separate_projects,commercial_17043040290000/commercial_17043180320000,separate_pins/separate_addresses/separate_buildings,,high,531 W Division and 544 W Oak are separate 112-unit buildings,Shared development permit evidence does not make them one building,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_013,commercial_17082430070000/commercial_17082440010000,keep_separate_projects,commercial_17082430070000/commercial_17082440010000,separate_pins/separate_addresses/separate_buildings,,high,504 N Green and 505 N Milwaukee are separate buildings,The projects have different unit counts and physical fields,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_014,commercial_17093180010000/commercial_17093180030000,keep_separate_projects,commercial_17093180010000/commercial_17093180030000,separate_pins/separate_addresses/separate_buildings,,high,730 W Couch and 727 W Lake are separate buildings,Nearby permit chains do not establish one physical project,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_015,commercial_17102180140000/commercial_17102180170000,merge_same_project,commercial_17102180170000,same_city_footprint/same_land_area/same_unit_count/alternate_One_Bennett_Park_addresses,https://www.goldcoastcondos.com/one-bennett-park.php,high,451 E Grand and 514 N Peshtigo are two source identities for One Bennett Park,The correct year and building area require a separate field decision,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_016,commercial_17172040020000/commercial_17172040380000,keep_separate_projects,commercial_17172040020000/commercial_17172040380000,separate_pins/separate_addresses/address_specific_50_and_70_unit_permits,,high,33 S Aberdeen and 1050 W Monroe are separate buildings,The permit evidence identifies each project independently,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_017,commercial_17173320070000/commercial_17173320160000/commercial_17201020620000/commercial_17201020640000/commercial_17201030600000,keep_separate_projects,commercial_17173320070000/commercial_17173320160000/commercial_17201020620000/commercial_17201020640000/commercial_17201030600000,separate_pins/separate_addresses/address_specific_permits,,high,The five Roosevelt Square records identify separate buildings,The common development and construction year do not justify aggregation,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_018,commercial_17204330140000/commercial_17204330150000,keep_separate_projects,commercial_17204330140000/commercial_17204330150000,separate_pins/distinct_building_fields/distinct_city_footprints/Casa_Maravilla_and_Casa_Morelos_records,https://www.crexi.com/property-records/17204330150000-CHICAGO-IL-60608-3793/1b2c33d7bc383303e54aa2f83976474361ce663e,high,The 72-unit and 45-unit records are separate affordable-housing projects,The commercial workbook gives both rows the same street address,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_019,commercial_17344170280000/commercial_17344220200000/commercial_17344270230000/commercial_17344330060000,keep_separate_projects,commercial_17344170280000/commercial_17344220200000/commercial_17344270230000/commercial_17344330060000,separate_pins/separate_addresses/address_specific_permits,,high,The four Oakwood Shores records are separate project sites,Later rollup records are handled through component splits rather than this identity screen,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_020,commercial_17344320100000/commercial_17344320120000,keep_separate_projects,commercial_17344320100000/commercial_17344320120000,separate_pins/separate_addresses/address_specific_permits,,high,630 E 37th and 636 E 37th are separate six-unit buildings,Their adjacency is the only source of the duplicate flag,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_021,commercial_20031180360000/commercial_20031180370000/commercial_20031180380000/commercial_20031180390000/commercial_20031180400000/commercial_20031180410000/commercial_20031180420000,keep_separate_projects,commercial_20031180360000/commercial_20031180370000/commercial_20031180380000/commercial_20031180390000/commercial_20031180400000/commercial_20031180410000/commercial_20031180420000,separate_pins/distinct_building_fields/multi_building_site,,medium,The seven PINs identify separate buildings within one Wabash site rather than duplicate records,The commercial workbook reuses one site address and no building-specific permit chain was recovered,codex_audit,2026-07-21,reviewed_evidence
