project_id,review_status,project_exists,new_construction,construction_year_status,reviewed_construction_year,confidence,evidence_type,evidence_ids,evidence_url,notes,reviewed_dwelling_units,reviewed_building_sqft,reviewed_land_sqft,field_notes,reviewed_multifamily
commercial_17164010230000_tower_b,retain,yes,yes,corrected,2020,high,developer_architect_and_project_records,,https://www.pappageorgehaymes.com/projects/alta-grand-central/,"Alta Grand Central consists of two 14-story towers completed in 2020. Contemporary project records identify 173 apartments in each tower, not the Assessor's 176.",173,,,Tower-specific unit count corrected from approved project records.,
commercial_13312050690000,retain,yes,yes,confirmed,2017,high,city_planned_development_and_assessor_cards,,https://occprodstoragev1.blob.core.usgovcloudapi.net/lsmatterattachmentspublic/05c8ca58-9f67-4168-b3ab-babe85160854.pdf,"The PIN contains twelve six-unit buildings in the Natchez planned development. City records authorize fourteen six-unit buildings across the larger development; the Assessor cards and parcel area support the twelve-building, 72-unit subset represented by this PIN.",72,,,The single mailing address is not a single-family structure; it identifies the multi-building development.,
commercial_17083380230000,exclude,yes,no,not_applicable,,high,city_permit,100575789,,The 2015 work is explicitly a 42-unit addition to an existing 56-unit building rather than a new freestanding building.,,,,,
residential_297_group_17042060100000,retain,yes,yes,confirmed,2019,high,city_permits_and_successor_condominium_records,100731726/100747957,,"The completed permit chain identifies one new 32-unit condominium building. Whole-building square footage remains unavailable, so the project contributes to DUPAC but not FAR.",32,,,The condominium successor records are used only to recover the whole-building unit count.,
commercial_17074210450000,retain,yes,yes,confirmed,2007,medium,stable_assessor_history_and_exact_pin_record,,,The 20-unit building is consistently reported as a 2007 project in the final Assessor vintages. The 2010 footprint year is treated as a conflicting administrative field rather than proof of later construction.,20,,,,
commercial_20032050340000,exclude,yes,no,not_applicable,,high,city_permits,100397253/100405368/100505790,,"The records show partial demolition and exterior work on an existing multifamily building in 2011, followed by full demolition in 2013. They do not support a seven-unit new building in 2011.",,,,,
commercial_13243180370000,retain,yes,yes,confirmed,2006,high,city_permits,100113769/100114303,,"A completed permit identifies a new four-story, six-unit mixed-use building after demolition of the prior commercial structure.",6,,,,
commercial_16134200390000,retain,yes,yes,confirmed,2006,high,city_permits,100109708/100146296,,A completed permit identifies a new five-story building with eight apartments and ground-floor commercial space after demolition of the prior structure.,8,,,,
residential_condo_1601430013,retain,yes,yes,confirmed,2022,high,city_permit_and_successor_condominium_records,100850870,,The permit identifies a 17-unit building and the 2022 successor condominium cohort confirms completion. The expired permit status does not imply the completed building is absent.,17,,,Whole-building square footage is unavailable; the project contributes to DUPAC but not FAR.,
commercial_17074290130000_building_a,exclude,yes,yes,corrected,2003,high,exact_pin_property_and_listing_records,,https://www.compass.com/homedetails/1712-W-Warren-Blvd-Chicago-IL-60612/1WP7YJ_pid/,"The component parcels and rental records consistently identify this Warren-Paulina complex as built in 2003, before the sample. The commercial source's 2008 year is not credible.",,,,,
commercial_17074290160000_building_b,exclude,yes,yes,corrected,2003,high,exact_pin_property_and_listing_records,,https://www.zillow.com/homedetails/36-N-Paulina-St-1-Chicago-IL-60612/89827451_zpid/,"The component parcels and rental records consistently identify this Warren-Paulina complex as built in 2003, before the sample. The commercial source's 2008 year is not credible.",,,,,
residential_17083340520000,retain,yes,yes,confirmed,2007,high,city_permit,100124927,,The completed permit identifies one four-unit building at 15 N Bishop. This is one of two adjacent four-unit buildings and is retained separately.,4,,,The permit supports the building-specific Assessor row.,
residential_17083340580000,retain,yes,yes,confirmed,2007,high,city_permit_and_successor_condominium_records,100197052,,The completed permit identifies the adjacent four-unit building at 17 N Bishop. The successor condominium base supplies the whole-building physical fields.,4,,,The prior audit linked the 15 N Bishop permit; permit 100197052 is the correct building-specific record.,
residential_tieback_17083340230000,exclude,yes,yes,confirmed,2008,high,duplicate_project_resolution,100124927/100197052,,The tieback row combines the same adjacent 15 and 17 N Bishop buildings already retained as separate four-unit projects. Keeping it would count both buildings twice.,,,,,
missing_footprint_100152499,retain,yes,yes,confirmed,2008,high,city_permits,100121268/100152499,,A demolition permit for the prior two-flat is followed by a completed permit for a new three-unit mixed-use building at 2410 S Canal.,3,,,,
residential_16123100040000,retain,yes,yes,confirmed,2008,high,city_permit,100083192,,A completed permit identifies a new three-unit building at 2953 W Fulton. The Assessor's 2008 year is retained as the completion year.,3,,,,
residential_16132190550000,retain,yes,yes,confirmed,2010,high,city_permit,100335100,,A completed Rockwell Gardens Phase II permit identifies the three-unit building at 333 S Maplewood.,3,,,,
residential_16132190560000,retain,yes,yes,confirmed,2010,high,city_permit,100335498,,A completed Rockwell Gardens Phase II permit identifies the six-unit building at 329 S Maplewood.,6,,,,
residential_16132190590000,retain,yes,yes,confirmed,2010,high,city_permit,100335505,,A completed Rockwell Gardens Phase II permit identifies the three-unit building at 319 S Maplewood.,3,,,,
residential_17074350350000,retain,yes,yes,confirmed,2014,high,city_permit_and_exact_pin_record,100531754,https://augrented.com/chicago/17074350350000-1639-w-warren-blvd,The issued permit and exact-PIN record identify a four-unit building completed in 2014.,4,,,,
residential_20034190280000,retain,yes,yes,corrected,2014,high,city_permit_reinstatement_and_mls_record,100105194/100494941,https://www.compass.com/building/4541-s-champlain-ave-chicago-il-60653/593252249044189765/,The 2006 prototype permit was reinstated in 2013 after a change in ownership and contractors. MLS records identify the completed three-unit building as 2014 construction.,3,,,,
residential_tieback_14313080420000,retain,yes,yes,corrected,2017,high,city_ordinance_permit_and_listing_record,100618984,https://www.apartments.com/1851-n-winnebago-ave-chicago-il/bhxnb7c/,"The 2014 rezoning application proposed a five-unit building, the permit was issued in 2016, and listings identify the completed building as 2017 construction.",5,,,,
residential_tieback_17072120260000,retain,yes,yes,corrected,2014,high,city_permit_and_mls_record,100507411,https://www.homes.com/property/1956-w-ohio-st-chicago-il-unit-3e/5z16xhr7jbzqr/,The permit was issued in late 2013 and MLS records identify the six-unit building as 2014 construction.,6,,,,
residential_14291020720000,retain,yes,yes,confirmed,2012,high,exact_pin_mls_record,,https://www.compass.com/homedetails/1349-W-Belmont-Ave-Chicago-IL-60657/1WT8V9_pid/,The exact-PIN record identifies a six-unit 2012 building and confirms the Assessor's building and lot areas.,6,13929,6235,The independent listing confirms all density fields.,
residential_20081270070000,retain,yes,yes,confirmed,2007,medium,exact_pin_property_records,,https://www.redfin.com/IL/Chicago/5017-S-Bishop-St-60609/home/21869701/,Multiple exact-PIN records consistently identify one four-unit building completed in 2007 with matching building and lot areas.,4,4712,3125,"Public sites appear to derive from county records, so this is corroboration rather than independent permit evidence.",
residential_19102040040000,retain,yes,yes,confirmed,2008,high,city_permit,100094913,,The permit identifies a new mixed-use building with one dwelling above a ground-floor restaurant. The Assessor's two-unit count mixes residential and commercial units.,1,,,The project remains in all construction but is not multifamily.,false
residential_20322020220000,retain,yes,yes,confirmed,2006,medium,exact_pin_property_records,,https://www.crexi.com/property-records/20-32-202-022-0000-CHICAGO-IL-60620/0eb7fa05bd9c61da9d1c2b24ced750ad4f297152,"Exact-PIN records consistently identify one three-unit building completed in 2006 and confirm the Assessor's building and lot areas.",3,3744,4875,Property sites appear to reproduce county records and therefore corroborate rather than independently establish timing.,true
commercial_16014000010000,retain,yes,yes,confirmed,2006,medium,exact_pin_property_record,,https://www.loopnet.com/property/2751-w-division-st-chicago-il-60622/17031-16014000010000/,"The exact commercial parcel record confirms the apartment use, 34,725 square feet of building area, and parcel identity. No conflicting pre-period structure or later conversion was found.",30,34725,14828,Construction timing remains based principally on the stable Assessor history.,true
residential_16012050160000,retain,yes,yes,confirmed,2006,medium,exact_pin_property_records,,https://www.redfin.com/IL/Chicago/1533-N-Maplewood-Ave-60622/home/12740577,"The exact parcel consistently identifies a three-unit building with the Assessor's physical fields, and no permit, sale, or footprint evidence contradicts the 2006 construction designation.",3,3355,3159,Timing remains based principally on the Assessor history.,true
residential_13362270720000,retain,yes,yes,confirmed,2006,medium,exact_pin_property_record,,https://www.redfin.com/IL/Chicago/2726-W-Chanay-St-60647/home/18954253,"The exact-PIN record identifies one three-unit 2006 building and confirms 4,483 square feet of building area and 3,750 square feet of land.",3,4483,3750,The record corroborates the Assessor rather than independently dating construction.,true
residential_16262070100000,exclude,yes,yes,corrected,2004,medium,mls_owner_history,,https://www.redfin.com/IL/Chicago/2215-S-Sawyer-Ave-60623/home/18952018,"The current MLS description states that the building has had one owner since it was built in 2004. That specific ownership history is more informative than the conflicting public-record field that reports 2006.",2,2250,3128,The completed building exists but predates the analysis period.,true
residential_16133050490000,exclude,yes,yes,corrected,2005,high,mls_building_record,,https://www.redfin.com/IL/Chicago/3046-W-Lexington-St-60612/unit-3/home/144935182,"Unit-level MLS records date the three-unit condominium building to 2005, before the analysis period.",3,4023,3123,The Assessor's 2006 year is one year too late.,true
residential_16113040410000,retain,yes,yes,corrected,2008,medium,mls_and_exact_pin_records,,https://www.realtor.com/realestateandhomes-detail/306-N-Hamlin-Ave_Chicago_IL_60624_M85388-25076,"The exact parcel record confirms a three-unit building and the MLS dates it to 2008. The Assessor's 2006 year is corrected to the independently reported completion year.",3,4827,4121,,true
residential_17173230250000,retain,yes,yes,confirmed,2006,medium,affordable_housing_project_and_exact_pin_records,,https://affordablehousingonline.com/housing-search/Illinois/Chicago/Roosevelt-Square-Phase-I/10028214,"The address is part of Roosevelt Square Phase I, and the exact parcel record confirms one six-unit 2006 building with matching physical fields.",6,4202,3633,The project record corroborates the development identity; the Assessor history supplies the building-specific timing.,true
commercial_17073270380000,retain,yes,yes,corrected,2007,medium,mls_building_record,,https://www.realtor.com/realestateandhomes-detail/2006-W-Warren-Blvd-Unit-4SW_Chicago_IL_60612_M78740-41962,"MLS and building records consistently date the 2000-2006 W Warren development to 2007 rather than the Assessor's selected 2006 year.",16,30464,9000,,true
residential_16123200350000,retain,yes,yes,confirmed,2006,medium,exact_pin_mls_record,,https://www.redfin.com/IL/Chicago/3020-W-Washington-Blvd-60612/home/185189364,"The exact-PIN MLS record identifies a three-unit 2006 building and confirms the Assessor's 4,320-square-foot building and 4,997-square-foot lot.",3,4320,4997,,true
residential_16133170480000,exclude,yes,yes,corrected,2004,high,mls_building_record,,https://ilfls.com/listing/3015-w-arthington-st-unit-2-chicago-il-60612-124643,"The unit-level MLS record dates the two-unit building to 2004, before the analysis period.",2,3649,3135,,true
residential_16134060100000,exclude,yes,yes,corrected,2005,high,mls_sale_and_building_record,,https://www.compass.com/homedetails/2535-W-Flournoy-St-Chicago-IL-60612/1X6LVN_pid/,"The building is recorded as three residences completed in 2005 and sold in August 2005, before the analysis period.",3,3498,3125,,true
residential_tieback_14292270330000,retain,yes,yes,corrected,2007,high,mls_building_record,,https://www.compass.com/building/1130-w-diversey-pkwy-chicago-il-60614/593000926977793293/,"The whole-building MLS record identifies a six-unit building completed in 2007. The predecessor tieback's four-unit count and 2006 year are corrected.",6,6592,12400,The land area remains the whole-building predecessor parcel area.,true
residential_20034010280000,retain,yes,yes,corrected,2007,high,mls_building_record,,https://www.compass.com/building/4318-s-forrestville-ave-chicago-il-60653/592876679982812709/,"The whole-building MLS record identifies three units completed in 2007, correcting the Assessor's four-unit count and 2006 year.",3,4170,3125,,true
residential_20102070400000,exclude,yes,yes,corrected,2005,medium,mls_unit_and_sale_record,,https://www.redfin.com/IL/Chicago/434-E-48th-Pl-60615/home/113099116,"Unit-level MLS records date the building to 2005, and the later whole-building listing describes a renovation rather than new construction. The conflicting Assessor year is not sufficient to place it in the sample.",3,4226,2995,,true
residential_20103130180000,retain,yes,yes,confirmed,2007,high,mls_building_record,,https://www.zillow.com/homedetails/5331-S-Calumet-Ave-Chicago-IL-60615/449587971_zpid/,"The whole-building MLS listing explicitly describes a four-unit 2007 construction project and confirms the parcel and unit count.",4,6148,5131,,true
residential_20103130190000,retain,yes,yes,confirmed,2007,high,mls_building_record,,https://www.nwsrealestate.com/property-search/detail/28/12474522/5333-s-calumet-ave-chicago-il/,"The whole-building MLS listing explicitly describes a four-unit 2007 construction project and confirms the parcel and unit count.",4,6171,3871,,true
residential_16133010550000,exclude,yes,unclear,unclear,,high,invalid_whole_building_denominator_and_conflicting_history,,https://www.redfin.com/IL/Chicago/3046-W-Flournoy-St-60612/home/28813622,"The row attaches 3,675 square feet of building area to a 622-square-foot remnant parcel. Public records date the structure to 2010, while related Assessor rows and older snapshots report earlier structures at the same site. It is not a defensible whole-building density observation.",,,,"The building may exist, but this PIN cannot supply a coherent project-level land denominator.",true
residential_13352240480000,retain,yes,yes,confirmed,2008,medium,exact_pin_property_records,,https://www.zillow.com/homedetails/3312-W-Dickens-Ave-Chicago-IL-60647/441025200_zpid/,"Exact-PIN records consistently identify one two-unit 2008 building and confirm the Assessor's building and lot areas.",2,2654,3482,,true
residential_14292270580000,retain,yes,yes,corrected,2007,medium,mls_listing_history,,https://www.realtor.com/realestateandhomes-detail/1136-W-Diversey-Pkwy-Unit-3_Chicago_IL_60614_M88250-34331,"MLS history shows the completed building offered for rent in late 2006 and consistently treats it as 2007 construction. The Assessor's selected 2008 year is corrected to 2007.",4,7744,3155,Other public records report 2006-2009; 2007 best matches the contemporaneous listing history.,true
commercial_17344220040000,retain,yes,yes,confirmed,2008,medium,official_hud_development_record,,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",6,6987,6389,HUD confirms the project and delivery period; the Assessor supplies the building-specific allocation.,true
commercial_17344220060000,retain,yes,yes,confirmed,2008,medium,official_hud_development_record,,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",6,8829,9487,HUD confirms the project and delivery period; the Assessor supplies the building-specific allocation.,true
commercial_17344280090000,retain,yes,yes,confirmed,2008,medium,official_hud_development_record,,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",14,21831,27171,HUD confirms the project and delivery period; the Assessor supplies the building-specific allocation.,true
commercial_17344280170000,retain,yes,yes,confirmed,2008,medium,official_hud_development_record,,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",7,10868,13709,HUD confirms the project and delivery period; the Assessor supplies the building-specific allocation.,true
commercial_20211270100000,retain,yes,yes,confirmed,2008,medium,exact_pin_and_stable_assessor_history,,,"The exact parcel consistently identifies one eight-unit 2008 building with stable physical fields, and no permit, sale, or footprint evidence contradicts the new-construction designation.",8,9124,11401,Timing remains based principally on the Assessor history.,true
commercial_17344220050000,retain,yes,yes,confirmed,2009,medium,official_hud_development_record,,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores building. HUD records document delivery of Oakwood Shores Phase 2A units in 2008 and 2009, consistent with the Assessor's component-level year.",6,6987,6363,HUD confirms the project and delivery period; the Assessor supplies the building-specific allocation.,true
residential_16132140720000,retain,yes,yes,confirmed,2010,medium,exact_pin_property_record,,https://www.redfin.com/IL/Chicago/201-S-Maplewood-Ave-60612/home/45511010,"The exact parcel record identifies a six-unit 2010 building and confirms 8,782 square feet of building area and 7,184 square feet of land.",6,8782,7184,,true
residential_16132140680000,retain,yes,yes,confirmed,2011,medium,exact_pin_property_record,,https://www.crexi.com/property-records/16132140680000-CHICAGO-IL-60612-5358/255ec4dba7fc2ab44783ea6beb6758e4424f29b2,"The exact PIN identifies the four-unit 2011 building. A different older PIN shares the mailing address, but it is a separate parcel and does not duplicate this project.",4,4894,6216,,true
commercial_17344300020000,retain,yes,yes,confirmed,2012,medium,official_housing_development_and_stable_assessor_history,,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf,"The parcel is a separately measured Oakwood Shores component. Official housing records corroborate continued phased development, and the component's 2012 year and physical fields are stable in the Assessor history.",12,19168,19006,The official record establishes the development; the Assessor supplies building-specific timing.,true
residential_16121090030000,retain,yes,yes,confirmed,2015,medium,exact_pin_property_record,,https://www.redfin.com/IL/Chicago/3143-W-Franklin-Blvd-60612/home/167620713,"The exact parcel record identifies one six-unit 2015 building with the Assessor's physical fields and no contradictory evidence.",6,8400,7302,,true
residential_20113140040000,retain,yes,yes,corrected,2018,high,whole_building_mls_record,,https://www.compass.com/building/5317-s-maryland-ave-chicago-il-60615/593142463749414757/,"Whole-building and unit-level MLS records consistently date the four-unit condominium building to 2018 rather than the Assessor's selected 2015 year.",4,7260,6000,,true
residential_13364310320000,exclude,yes,unclear,unclear,,high,official_older_footprint_without_new_building_evidence,,https://www.realtor.com/realestateandhomes-detail/1624-N-Artesian-Ave_Chicago_IL_60647_M77730-00388,"The official 2008 footprint reports a 2005 structure and no demolition, replacement, or new-building permit was found. Public property sites merely repeat the conflicting Assessor year.",,,,The conservative rule excludes an administratively re-dated existing building.,true
residential_16133010230000,exclude,yes,unclear,unclear,,high,official_older_footprint_without_new_building_evidence,,,"The 2008 and 2015 official snapshots preserve an older footprint reported as 1892/2005, and no demolition, replacement, or new-building permit supports a 2007 project.",,,,The conservative rule excludes an administratively re-dated existing building.,true
residential_16133010590000,exclude,yes,unclear,unclear,,high,official_older_footprint_without_new_building_evidence,,,"The 2008 and 2015 official snapshots preserve a footprint reported as 2005, and no demolition, replacement, or new-building permit supports a 2007 project.",,,,The conservative rule excludes an administratively re-dated existing building.,true
residential_16133010600000,exclude,yes,unclear,unclear,,high,official_older_footprint_without_new_building_evidence,,,"The 2008 and 2015 official snapshots preserve a footprint reported as 2005, and no demolition, replacement, or new-building permit supports a 2007 project.",,,,The conservative rule excludes an administratively re-dated existing building.,true
residential_20231120340000,exclude,yes,unclear,unclear,,high,official_older_footprint_without_new_building_evidence,,,"The official footprint predates the claimed construction year and no demolition, replacement, or new-building permit supports a new sample-period building.",,,,The conservative rule excludes an administratively re-dated existing building.,true
residential_17053081080000,exclude,yes,unclear,unclear,,high,preperiod_sale_and_official_older_footprint,,,"The property sold before the claimed construction year and the official footprint records an older structure. No replacement or new-building permit was found.",,,,The evidence is more consistent with an existing building or later record change.,true
residential_17053150600000,exclude,yes,unclear,unclear,,high,official_older_footprint_without_new_building_evidence,,,"The official footprint reports an older structure and no demolition, replacement, or new-building permit supports the conflicting 2007/2009 public-record dates.",,,,The conservative rule excludes an administratively re-dated existing building.,true
residential_13154180310000,retain,yes,yes,confirmed,2021,high,distinct_historical_parcel_geometry,,,"The two Belle Plaine rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and separate land records. The shared 4022 address is an address-history artifact rather than evidence that the projects are duplicated.",1,2451,3762,,false
residential_13154180320000,retain,yes,yes,confirmed,2021,high,distinct_historical_parcel_geometry,,,"The two Belle Plaine rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and separate land records. The shared 4022 address is an address-history artifact rather than evidence that the projects are duplicated.",1,2451,3770,,false
residential_13222210370000,retain,yes,yes,confirmed,2022,high,distinct_historical_parcel_geometry,,,"The two Keeler rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and distinct building-area records. The shared 3604 address is an address-history artifact rather than evidence that the projects are duplicated.",1,2882,3929,,false
residential_13222210380000,retain,yes,yes,confirmed,2022,high,distinct_historical_parcel_geometry,,,"The two Keeler rows have separate PINs, separate nonoverlapping construction-year parcel polygons, and distinct building-area records. The shared 3604 address is an address-history artifact rather than evidence that the projects are duplicated.",1,2878,3929,,false
residential_17171050970000,retain,yes,yes,confirmed,2008,high,distinct_historical_parcel_geometry,,,"The Monroe rows have separate PINs and nonoverlapping construction-year parcel polygons. The repeated unit number reflects the collapsed historical address; the neighboring parcels are separate townhouses.",1,1651,775,,false
residential_17171051160000,retain,yes,yes,confirmed,2008,high,distinct_historical_parcel_geometry,,,"The Monroe rows have separate PINs and nonoverlapping construction-year parcel polygons. The repeated unit number reflects the collapsed historical address; the neighboring parcels are separate townhouses.",1,1879,906,,false
residential_multicard_17211230250000,retain,yes,yes,confirmed,2006,high,stable_multicard_parent_record,100144628,,"The five-card PIN is the original Emerald project and is supported by a new-building permit. Its five cards have distinct dwelling records and share one project-level land record.",5,9680,7114,,true
